"feature","R2","F","p"
"s__Pauljensenia sp000278725",0.00606959678377251,0.604559514075712,0.92
"s__Pauljensenia sp000308055",0.00856991695746435,0.855755532639582,0.43
"s__Pauljensenia sp000411415",0.00838560964374687,0.837195751498409,0.47
"s__Pauljensenia sp000466265",0.00690799468943882,0.688648655509593,0.77
"s__Pauljensenia sp000758755",0.00873527019739829,0.872412508528013,0.575
"s__Pauljensenia sp001064145",0.00821903324629424,0.82042741155487,0.445
"s__Pauljensenia sp001072465",0.0142448200399354,1.43061605216291,0.07
"s__Pauljensenia sp001838165",0.00902234884924971,0.901344783142686,0.385
"s__Pauljensenia sp018375675",0.0147025425772921,1.47727136022382,0.06
"s__Pauljensenia sp018382595",0.0150932886236372,1.51713411684641,0.025
"s__Pauljensenia sp902373435",0.00499118173475519,0.496605640744223,0.995
"s__Pauljensenia sp902373545",0.00639737434390555,0.637417860715135,0.925
"g__Peptidiphaga_HROM_Genome_0348",0.008438511171682,0.842522239325456,0.48
"s__Peptidiphaga gingivicola",0.00657182223296053,0.654914381959137,0.87
"s__Peptidiphaga sp000466165",0.0103874253503712,1.03914919437118,0.22
"s__Peptidiphaga sp905373325",0.0087515082200148,0.874048556911972,0.435
"s__Alloscardovia omnicolens",0.0053649801587225,0.533997923980482,0.99
"s__Bifidobacterium dentium",0.00727631174380995,0.725634807710245,0.64
"s__Parascardovia denticolens",0.008302729697365,0.828851973937869,0.44
"s__Scardovia wiggsiae",0.00594071527799627,0.591645610639919,0.935
"g__Rothia_HROM_Genome_0029",0.00999671373298382,0.999668054938629,0.31
"g__Rothia_HROM_Genome_0036",0.010666072065462,1.06732530308069,0.19
"g__Rothia_HROM_Genome_0045",0.0076948788744768,0.767700369931719,0.585
"g__Rothia_HROM_Genome_0056",0.0086514509690353,0.863968224669023,0.425
"g__Rothia_HROM_Genome_0064",0.00886017707468193,0.88499877626207,0.4
"g__Rothia_HROM_Genome_0065",0.0076133671853057,0.759505747480182,0.65
"g__Rothia_HROM_Genome_0069",0.00803296904686296,0.801703999048536,0.585
"g__Rothia_HROM_Genome_0083",0.0111080918290398,1.11205388777924,0.185
"g__Rothia_HROM_Genome_0121",0.00831282989031047,0.829868716613233,0.595
"g__Rothia_HROM_Genome_0142",0.00944208901648112,0.943677095772731,0.32
"g__Rothia_HROM_Genome_0162",0.0091366832563589,0.912872267137884,0.475
"g__Rothia_HROM_Genome_0195",0.00714710883252179,0.712657213081835,0.785
"g__Rothia_HROM_Genome_0196",0.0069871467272975,0.696594735629761,0.83
"s__Rothia aeria",0.00784157035467809,0.78245111054557,0.59
"s__Rothia dentocariosa",0.00553451158546455,0.550965974530225,0.95
"s__Rothia mucilaginosa",0.00935256807685653,0.934645575985938,0.39
"s__Rothia mucilaginosa_A",0.00751026048686004,0.749142040061664,0.7
