"feature","R2","F","p"
"g__Actinomyces_HROM_Genome_0303",0.0152152641158281,1.52958417467201,0.17
"g__Actinomyces_HROM_Genome_0320",0.0432118896800622,4.47118545076366,0.02
"g__Actinomyces_HROM_Genome_0322",0.0317679643582148,3.24821773675213,0.025
"g__Actinomyces_HROM_Genome_0328",0.00463148258679695,0.460650269796062,0.675
"g__Actinomyces_HROM_Genome_0330",0.00488490813308898,0.485979872206066,0.66
"g__Actinomyces_HROM_Genome_0334",0.00267076317394741,0.265113609886992,0.83
"g__Actinomyces_HROM_Genome_0335",0.00574577915506448,0.572119408120772,0.62
"g__Actinomyces_HROM_Genome_0338",0.0055409032998248,0.551605821197532,0.585
"g__Actinomyces_HROM_Genome_0339",0.00387601553762866,0.385218651704629,0.68
"g__Actinomyces_HROM_Genome_0340",0.00475921876444888,0.473415746785928,0.69
"s__Actinomyces dentalis",0.00520088383320325,0.517579369663202,0.625
"s__Actinomyces gerencseriae",0.0040279356751927,0.400378330003071,0.645
"s__Actinomyces graevenitzii",0.0126420278676498,1.26758561152283,0.255
"s__Actinomyces israelii",0.0596630639880723,6.28141159685791,0.01
"s__Actinomyces johnsonii",0.0064650239974556,0.64420215815982,0.57
"s__Actinomyces massiliensis",0.0159895642000267,1.60868909333846,0.16
"s__Actinomyces naeslundii",0.00735268730681948,0.733307826523197,0.53
"s__Actinomyces oricola",0.0345954095720307,3.54767895407742,0.05
"s__Actinomyces oris",0.00517280277339346,0.514770279696427,0.605
"s__Actinomyces oris_A",0.00387540059383352,0.385157297609393,0.74
"s__Actinomyces oris_B",0.00555754541586753,0.553271829490599,0.64
"s__Actinomyces oris_C",0.00414088702009831,0.411652421157295,0.73
"s__Actinomyces oris_D",0.00228567613472291,0.226800329437912,0.925
"s__Actinomyces oris_E",0.0050021651505238,0.497703947242028,0.685
"s__Actinomyces sp000195595",0.00479246182173908,0.476738471274708,0.68
"s__Actinomyces sp000220835",0.00224440819443425,0.222696232498079,0.935
"s__Actinomyces sp001278845",0.00530511068407655,0.528007093798156,0.63
"s__Actinomyces sp002999235",0.0308137821570428,3.14755242840395,0.03
"s__Actinomyces sp900323545",0.00218065363484507,0.216356508456249,0.9
"s__Actinomyces timonensis",0.00174640355360408,0.1731964226548,0.915
"g__Mobiluncus_HROM_Genome_0351",0.0118537646481799,1.18760023383785,0.265
"g__Pauljensenia_HROM_Genome_0220",0.0114218393566458,1.1438267011402,0.245
"g__Pauljensenia_HROM_Genome_0222",0.0179157717604197,1.80601760346045,0.15
"g__Pauljensenia_HROM_Genome_0224",0.0212135247509786,2.14565587434437,0.1
"g__Pauljensenia_HROM_Genome_0232",0.0196478656885691,1.98412247506815,0.13
"g__Pauljensenia_HROM_Genome_0239",0.00736348924125771,0.734393130802028,0.465
"g__Pauljensenia_HROM_Genome_0243",0.00828013028829108,0.826577064326755,0.455
"g__Pauljensenia_HROM_Genome_0247",0.00705231708732363,0.70313814479835,0.505
"g__Pauljensenia_HROM_Genome_0252",0.00724160659560846,0.722148568804099,0.505
"g__Pauljensenia_HROM_Genome_0253",0.00281008567832654,0.278982446732394,0.865
"g__Pauljensenia_HROM_Genome_0255",0.00506034640083383,0.50352229089502,0.7
"g__Pauljensenia_HROM_Genome_0257",0.00426152095857083,0.423696164985665,0.73
"g__Pauljensenia_HROM_Genome_0258",0.00457433500711231,0.454940214654154,0.65
"g__Pauljensenia_HROM_Genome_0259",0.0212227363297445,2.14660778772701,0.09
"g__Pauljensenia_HROM_Genome_0260",0.00378531099948938,0.37616970828389,0.755
"g__Pauljensenia_HROM_Genome_0261",0.0272005122984164,2.76814569866353,0.035
"g__Pauljensenia_HROM_Genome_0264",0.00685945454917216,0.683776333046375,0.57
"g__Pauljensenia_HROM_Genome_0265",0.00670945467813651,0.668722778308815,0.56
"g__Pauljensenia_HROM_Genome_0267",0.00709997572942044,0.70792383928986,0.56
