"from","to","r","p","fdr"
"g__Streptococcus_HROM_Genome_2387","s__Burkholderia contaminans",0.454082702387886,1.84754197778868e-06,0.277072175325013
"f__Nanosyncoccaceae_HROM_Genome_4791","s__Lawsonella sp018376445",0.436552125800815,5.02316241025102e-06,0.376656810170263
"g__Centipeda_HROM_Genome_2745","s__Moraxella_A cinereus",0.426616191030868,8.64311707182081e-06,0.432063660342275
"s__Flexilinea sp001717545","s__Neisseria subflava_C",-0.40521840419336,2.62828858542213e-05,0.606500364637309
"s__Treponema_D sp014334325","s__Sphingobium yanoikuyae",0.404053581828771,2.78632954647412e-05,0.606500364637309
"g__Treponema_D_HROM_Genome_5084","s__Sphingobium yanoikuyae",0.40345952242283,2.87031449875645e-05,0.606500364637309
"f__Lachnospiraceae_HROM_Genome_1882","s__Lawsonella sp018376445",0.400232964472918,3.3693923100476e-05,0.606500364637309
"g__Streptococcus_HROM_Genome_2534","s__Lactobacillus iners",-0.400232964472918,3.3693923100476e-05,0.606500364637309
"g__Nanoperiomorbus_HROM_Genome_3257","s__Lawsonella sp018376445",0.39648223645894,4.05121592357764e-05,0.606500364637309
"g__Nanogingivalis_HROM_Genome_3860","s__Moraxella_A cinereus",-0.39602795573675,4.1420350964391e-05,0.606500364637309
"g__Alloprevotella_HROM_Genome_1051","s__Kocuria palustris",-0.394560279557367,4.44861837926118e-05,0.606500364637309
"s__Leptotrichia buccalis","s__Escherichia coli",-0.390401863715783,5.43627387526866e-05,0.652275332683877
"s__Granulicatella sp905371865","s__Prevotella jejuni",-0.387874199184624,6.13287298906005e-05,0.652275332683877
"s__Peptoanaerobacter yurii","s__Lawsonella sp018376445",0.386895748398369,6.42420336800802e-05,0.652275332683877
"g__JABCPO02_HROM_Genome_1961","s__Neisseria flavescens",0.386569598136284,6.52414514446959e-05,0.652275332683877
"s__Prevotella sp018127805","s__Neisseria flavescens",-0.382003494467094,8.08439929055485e-05,0.720764361447034
"g__Brachymonas_HROM_Genome_4814","s__Prevotella jejuni",-0.379312754804892,9.15977938878885e-05,0.720764361447034
"s__Treponema sp010365865","s__Sphingobium yanoikuyae",0.378276062900408,9.60850897340001e-05,0.720764361447034
"s__Treponema_D buccale","s__Sphingobium yanoikuyae",0.37804309842749,9.71212034992365e-05,0.720764361447034
"g__Leptotrichia_HROM_Genome_2872","s__Escherichia coli",-0.376924868957484,0.000102240714704428,0.720764361447034
"g__CAJPSE01_HROM_Genome_5107","s__Neisseria subflava_C",-0.375981362842166,0.000106754214799413,0.720764361447034
"s__Prevotella seregens","s__Prevotella salivae",-0.375725101921957,0.000108011688112355,0.720764361447034
"g__Neisseria_HROM_Genome_4825","s__Porphyromonas gingivalis",-0.374735002912056,0.000113000530865151,0.720764361447034
"s__Prevotella oralis","s__Neisseria subflava_C",-0.372731508444962,0.000123756826165395,0.720764361447034
"s__Treponema_D socranskii","s__Sphingobium yanoikuyae",0.372265579499126,0.000126390903755043,0.720764361447034
"g__Aggregatibacter_HROM_Genome_4966","s__Acidovorax_A wautersii",-0.372242283051835,0.000126523963663627,0.720764361447034
"s__F0058 sp905372135","s__Bifidobacterium swidsinskii",-0.370599883517764,0.000136239201562394,0.720764361447034
"s__Scardovia wiggsiae","s__CAISGS01 sp017418605",-0.37009900990099,0.000139336947919338,0.720764361447034
"g__Porphyromonas_HROM_Genome_1125","s__Alloprevotella sp015257125",0.369796156086197,0.000141241563436326,0.720764361447034
"g__Nanosyncoccus_HROM_Genome_4502","s__Streptococcus agalactiae",-0.368211997670355,0.000151603683839512,0.720764361447034
"g__Prevotella_HROM_Genome_1016","s__Pauljensenia sp000466265",-0.367676179382644,0.000155265049070738,0.720764361447034
"s__Treponema sp018336815","s__Sphingobium yanoikuyae",0.367454863133372,0.000156801130374937,0.720764361447034
"s__Capnocytophaga granulosa","s__Brevundimonas sp002434505",0.366371578334304,0.000164525082107725,0.720764361447034
"s__Neisseria elongata","s__Prevotella histicola",-0.365987186953989,0.000167349520091235,0.720764361447034
"g__Eubacterium_B_HROM_Genome_1922","s__Veillonella tobetsuensis",0.365870704717531,0.000168214236708139,0.720764361447034
"g__Streptococcus_HROM_Genome_2297","s__Lactobacillus gasseri",-0.364111822947,0.000181784774707312,0.757274974814062
"s__Campylobacter_A showae_B","s__Neisseria flavescens",-0.363203261502621,0.000189185161959627,0.758472794662663
"s__Streptococcus mitis_AZ","s__Prevotella aurantiaca",-0.362387885847408,0.000196062927825102,0.758472794662663
"g__Gemella_HROM_Genome_2693","s__Burkholderia contaminans",-0.361467676179383,0.000204102453603292,0.758472794662663
"g__Rothia_HROM_Genome_0196","s__Prevotella jejuni",0.36039603960396,0.00021384878739531,0.758472794662663
"g__Streptococcus_HROM_Genome_2093","s__Acidovorax_A wautersii",0.36,0.000217558310552276,0.758472794662663
"s__Treponema medium","s__Sphingobium yanoikuyae",0.359778683750728,0.000219657100876583,0.758472794662663
"g__Nanogingivalis_HROM_Genome_3868","s__Moraxella_A cinereus",-0.359697146185207,0.000220435046087076,0.758472794662663
"s__HOT-345 sp013333295","s__Acinetobacter johnsonii",0.358730343622598,0.00022985544375182,0.758472794662663
"s__Streptococcus mitis_BO","s__Veillonella tobetsuensis",-0.358625509609784,0.000230898985431958,0.758472794662663
"s__Treponema_C sp905372025","s__Sphingobium yanoikuyae",0.358450786255096,0.000232647955260339,0.758472794662663
"g__JABCPE02_HROM_Genome_1193","s__Lawsonella sp018376445",-0.356831683168317,0.000249447342252968,0.771480411561193
"s__Streptococcus mitis_Q","s__Neisseria mucosa_A",-0.356517181129878,0.000252837734416623,0.771480411561193
"s__Centipeda sp000318175","s__Cutibacterium modestum",0.356307513104252,0.000255121581693508,0.771480411561193
"s__Porphyromonas catoniae","s__Neisseria mucosa_A",-0.355981362842167,0.000258712121847901,0.771480411561193
"g__Porphyromonas_HROM_Genome_1133","s__Alloprevotella sp015257125",0.355294117647059,0.000266431130180366,0.771480411561193
"s__Streptococcus mitis_BO","s__Veillonella rogosae",-0.353453698311008,0.00028816148617257,0.771480411561193
"s__Treponema_D paredis","s__Sphingobium yanoikuyae",0.353057658707047,0.000293046422796057,0.771480411561193
"s__Saccharimonas sp905373345","s__Streptococcus agalactiae",-0.352824694234129,0.000295955477819843,0.771480411561193
"s__Prevotella seregens","s__Prevotella aurantiaca",-0.352580081537565,0.000299038631374323,0.771480411561193
