"saliva_microbe","urine_microbe","urine_metab","ACME","ACME_p","ADE","prop_med","total_p","ACME_fdr"
"s__Haemophilus seminalis","s__Porphyromonas gingivalis","P_Kainic acid",-0.00425552081109265,0.706666666666667,-0.0496192390285388,0.0165013445914303,0.493333333333333,1
"s__Haemophilus haemolyticus","s__Porphyromonas gingivalis","P_Kainic acid",-0.0052691821395485,0.706666666666667,-7.75058246264757e-05,0.00665954908942376,0.906666666666667,1
"g__JABCPE02_HROM_Genome_1196","s__Escherichia coli","P_2,6-Xylidine",0.00321265783047152,0.72,0.0160157775137949,0.0176087310674375,0.76,1
"g__Prevotella_HROM_Genome_1016","s__Pauljensenia sp000466265","P_Oxolinic acid",-0.0205033086852628,0.733333333333333,0.18461572187826,0.0093458016989064,0.866666666666667,1
"s__Haemophilus seminalis","s__Porphyromonas gingivalis","P_PYRIDOXINE",-0.00581951720565238,0.74,-0.0343316994371784,0.0329518391313778,0.64,1
"g__Leptotrichia_HROM_Genome_2872","s__Escherichia coli","P_Deprenyl",0.0195779833712518,0.746666666666667,0.0173523819757427,0.13471850606429,0.826666666666667,1
"g__Neisseria_HROM_Genome_4825","s__Porphyromonas gingivalis","P_N-(2,5-dioxocyclopentyl)acetamide",-0.00600316476967745,0.766666666666667,-0.0861579877461182,0.0320230945423479,0.446666666666667,1
"g__Streptococcus_HROM_Genome_2387","s__Burkholderia contaminans","N_Uridine 5'-monophosphate",-0.00332027032182012,0.786666666666667,0.062004447720113,-0.00603985139271908,0.546666666666667,1
"s__Leptotrichia buccalis","s__Escherichia coli","P_N-(2-Furoyl)glycine",-0.00881928295550203,0.786666666666667,0.0869634542278368,-3.75917721495096e-06,0.673333333333333,1
"s__Leptotrichia buccalis","s__Escherichia coli","N_3-Hydroxypropanoic acid",-0.00303838324097328,0.786666666666667,0.036197629168536,-0.000204372007063457,0.653333333333333,1
