"feature","Genus","term","lfc","q","diff_abn"
"g__Pauljensenia_HROM_Genome_0253","g__Pauljensenia","Periodontitis",-0.0480542919111938,0.993205612069886,FALSE
"g__Pauljensenia_HROM_Genome_0255","g__Pauljensenia","Periodontitis",0.0977312400222485,0.986063025603315,FALSE
"g__Pauljensenia_HROM_Genome_0257","g__Pauljensenia","Periodontitis",0.491062313827203,0.737213585905188,FALSE
"g__Pauljensenia_HROM_Genome_0258","g__Pauljensenia","Periodontitis",-0.0106415783920423,0.998561134449853,FALSE
"g__Pauljensenia_HROM_Genome_0259","g__Pauljensenia","Periodontitis",0.700535238087458,0.524165590440861,FALSE
"g__Pauljensenia_HROM_Genome_0260","g__Pauljensenia","Periodontitis",0.522403649867167,0.669097016071113,FALSE
"g__Pauljensenia_HROM_Genome_0261","g__Pauljensenia","Periodontitis",-0.0366324002563483,0.993205612069886,FALSE
"g__Pauljensenia_HROM_Genome_0264","g__Pauljensenia","Periodontitis",0.0866384547971832,0.993205612069886,FALSE
"g__Pauljensenia_HROM_Genome_0265","g__Pauljensenia","Periodontitis",0.236835997202815,0.894906920580375,FALSE
"g__Pauljensenia_HROM_Genome_0267","g__Pauljensenia","Periodontitis",0.545238328644535,0.636848448076859,FALSE
"g__Pauljensenia_HROM_Genome_0275","g__Pauljensenia","Periodontitis",-0.340308796531103,0.837442987171314,FALSE
"g__Pauljensenia_HROM_Genome_0276","g__Pauljensenia","Periodontitis",-0.245176658887399,0.921952594817993,FALSE
"g__Pauljensenia_HROM_Genome_0277","g__Pauljensenia","Periodontitis",0.0907940516592036,0.993205612069886,FALSE
"g__Pauljensenia_HROM_Genome_0278","g__Pauljensenia","Periodontitis",0.210633249677172,0.921306873937482,FALSE
"g__Pauljensenia_HROM_Genome_0279","g__Pauljensenia","Periodontitis",-0.322946433185055,0.933365023937575,FALSE
"g__Pauljensenia_HROM_Genome_0280","g__Pauljensenia","Periodontitis",0.429254516620662,0.813092850542769,FALSE
"g__Pauljensenia_HROM_Genome_0281","g__Pauljensenia","Periodontitis",-0.519683070840173,0.689080473733352,FALSE
"g__Pauljensenia_HROM_Genome_0282","g__Pauljensenia","Periodontitis",1.27999915615615,0.356566182099603,FALSE
"g__Pauljensenia_HROM_Genome_0283","g__Pauljensenia","Periodontitis",-0.165257943664403,0.986063025603315,FALSE
"g__Pauljensenia_HROM_Genome_0284","g__Pauljensenia","Periodontitis",0.319409381690612,0.917767683852436,FALSE
"g__Pauljensenia_HROM_Genome_0285","g__Pauljensenia","Periodontitis",0.767854340037791,0.406569787334878,FALSE
"g__Pauljensenia_HROM_Genome_0286","g__Pauljensenia","Periodontitis",0.828074512178009,0.306273938343778,FALSE
"g__Pauljensenia_HROM_Genome_0287","g__Pauljensenia","Periodontitis",-0.0385896630767848,0.993205612069886,FALSE
"g__Pauljensenia_HROM_Genome_0288","g__Pauljensenia","Periodontitis",0.257110366413225,0.874099444441123,FALSE
"g__Pauljensenia_HROM_Genome_0290","g__Pauljensenia","Periodontitis",0.0473394986357019,0.993205612069886,FALSE
"g__Pauljensenia_HROM_Genome_0291","g__Pauljensenia","Periodontitis",0.457259807144429,0.616877997890361,FALSE
"g__Pauljensenia_HROM_Genome_0292","g__Pauljensenia","Periodontitis",-0.22180356528719,0.910580668436813,FALSE
"g__Pauljensenia_HROM_Genome_0294","g__Pauljensenia","Periodontitis",-0.187734511436904,0.952506079663812,FALSE
"g__Pauljensenia_HROM_Genome_0295","g__Pauljensenia","Periodontitis",-0.147611142320536,0.975270489795552,FALSE
"g__Pauljensenia_HROM_Genome_0296","g__Pauljensenia","Periodontitis",-0.224086754402438,0.919951392789877,FALSE
"g__Pauljensenia_HROM_Genome_0298","g__Pauljensenia","Periodontitis",0.249109155763163,0.886483614471518,FALSE
"g__Pauljensenia_HROM_Genome_0299","g__Pauljensenia","Periodontitis",-0.386204225036297,0.834185406156091,FALSE
"s__Pauljensenia bouchesdurhonensis","g__Pauljensenia","Periodontitis",-0.267026466044568,0.952560975117108,FALSE
"s__Pauljensenia cardiffensis","g__Pauljensenia","Periodontitis",1.61555947812955,0.0080147328608971,TRUE
"s__Pauljensenia georgiae","g__Pauljensenia","Periodontitis",0.261068493387385,0.866351871793429,FALSE
"s__Pauljensenia hongkongensis","g__Pauljensenia","Periodontitis",-0.255540072068448,0.896376142025515,FALSE
"s__Pauljensenia marseillensis","g__Pauljensenia","Periodontitis",0.535096428117812,0.5793624660411,FALSE
"s__Pauljensenia meyeri","g__Pauljensenia","Periodontitis",-0.152914024198639,0.961579976636398,FALSE
"s__Pauljensenia odontolytica","g__Pauljensenia","Periodontitis",1.29556280490974,0.0784313849203372,FALSE
"s__Pauljensenia odontolytica_A","g__Pauljensenia","Periodontitis",0.37370310422387,0.866351871793429,FALSE
"s__Pauljensenia odontolytica_B","g__Pauljensenia","Periodontitis",0.72045910041366,0.554517687246784,FALSE
"s__Pauljensenia odontolytica_C","g__Pauljensenia","Periodontitis",-0.237396135418522,0.914769212350038,FALSE
"s__Pauljensenia pyogenes_A","g__Pauljensenia","Periodontitis",-0.7547226329177,0.539794346298907,FALSE
"s__Pauljensenia sp000185285","g__Pauljensenia","Periodontitis",0.159592310948717,0.968071182757557,FALSE
"s__Pauljensenia sp000278725","g__Pauljensenia","Periodontitis",-0.399362035266005,0.764769942981404,FALSE
"s__Pauljensenia sp000308055","g__Pauljensenia","Periodontitis",0.0460679550012022,0.993205612069886,FALSE
"s__Pauljensenia sp000411415","g__Pauljensenia","Periodontitis",-0.410867883399901,0.854829204666196,FALSE
"s__Pauljensenia sp000466265","g__Pauljensenia","Periodontitis",-0.160404313935341,0.962232273569955,FALSE
"s__Pauljensenia sp000758755","g__Pauljensenia","Periodontitis",0.0561989301631926,0.993205612069886,FALSE
"s__Pauljensenia sp001064145","g__Pauljensenia","Periodontitis",0.758541107235782,0.57897572851312,FALSE
"s__Pauljensenia sp001072465","g__Pauljensenia","Periodontitis",0.410929639992322,0.757222354754074,FALSE
"s__Pauljensenia sp001838165","g__Pauljensenia","Periodontitis",0.644266926444692,0.590298851854493,FALSE
"s__Pauljensenia sp018375675","g__Pauljensenia","Periodontitis",0.505979354952716,0.679609493864416,FALSE
"s__Pauljensenia sp018382595","g__Pauljensenia","Periodontitis",0.0561834266605308,0.993205612069886,FALSE
"s__Pauljensenia sp900541895","g__Pauljensenia","Periodontitis",-0.542871081836775,0.669097016071113,FALSE
"s__Pauljensenia sp900556405","g__Pauljensenia","Periodontitis",0.0865392593972037,0.987581614325146,FALSE
"s__Pauljensenia sp902373435","g__Pauljensenia","Periodontitis",0.401856782762008,0.678490846917568,FALSE
"s__Pauljensenia sp902373545","g__Pauljensenia","Periodontitis",0.101264715463906,0.98613227013856,FALSE
"s__Pauljensenia turicensis","g__Pauljensenia","Periodontitis",-0.0945689377386041,0.917767683852436,FALSE
"g__Peptidiphaga_HROM_Genome_0348","g__Peptidiphaga","Periodontitis",0.401911535321119,0.821022192567943,FALSE
"g__Peptidiphaga_HROM_Genome_0349","g__Peptidiphaga","Periodontitis",-0.61487108214677,0.667806944081249,FALSE
"s__Peptidiphaga gingivicola","g__Peptidiphaga","Periodontitis",-0.0729514476281843,0.993205612069886,FALSE
"s__Peptidiphaga sp000466165","g__Peptidiphaga","Periodontitis",-0.545916320220271,0.681013655857238,FALSE
"s__Peptidiphaga sp905373325","g__Peptidiphaga","Periodontitis",0.39133314001324,0.854829204666196,FALSE
"s__Alloscardovia omnicolens","g__Alloscardovia","Periodontitis",0.215572120284978,0.921952594817993,FALSE
"s__Bifidobacterium breve","g__Bifidobacterium","Periodontitis",0.256080421806194,0.875454712173965,FALSE
"s__Bifidobacterium dentium","g__Bifidobacterium","Periodontitis",-0.10861875916048,0.984618492404848,FALSE
"s__Bifidobacterium longum","g__Bifidobacterium","Periodontitis",0.536786172301442,0.766288435308458,FALSE
"s__Parascardovia denticolens","g__Parascardovia","Periodontitis",-0.531071740747605,0.716263128335144,FALSE
"s__Scardovia inopinata","g__Scardovia","Periodontitis",-0.792223384967047,0.360133243979935,FALSE
"s__Scardovia wiggsiae","g__Scardovia","Periodontitis",-0.205328534690931,0.964470178160285,FALSE
"s__Kocuria palustris","g__Kocuria","Periodontitis",-0.374310959077627,0.741638862629429,FALSE
"s__Micrococcus luteus","g__Micrococcus","Periodontitis",-0.0115165005779633,0.996384718877082,FALSE
"g__Rothia_HROM_Genome_0029","g__Rothia","Periodontitis",-0.026179946836677,0.993205612069886,FALSE
"g__Rothia_HROM_Genome_0036","g__Rothia","Periodontitis",-0.494782388680303,0.772468351076811,FALSE
"g__Rothia_HROM_Genome_0045","g__Rothia","Periodontitis",-0.149387460570102,0.972053408022358,FALSE
"g__Rothia_HROM_Genome_0065","g__Rothia","Periodontitis",-0.802201988133611,0.590298851854493,FALSE
"g__Rothia_HROM_Genome_0069","g__Rothia","Periodontitis",-1.84895083716117,0.0905179275844671,FALSE
"g__Rothia_HROM_Genome_0083","g__Rothia","Periodontitis",-0.603834945569033,0.564432239320413,FALSE
"g__Rothia_HROM_Genome_0087","g__Rothia","Periodontitis",0.28939640392268,0.874099444441123,FALSE
"g__Rothia_HROM_Genome_0113","g__Rothia","Periodontitis",-0.446878450262227,0.765895270604458,FALSE
"g__Rothia_HROM_Genome_0121","g__Rothia","Periodontitis",-0.35016439351977,0.875454712173965,FALSE
"g__Rothia_HROM_Genome_0122","g__Rothia","Periodontitis",-0.492191052418072,0.712798227582366,FALSE
"g__Rothia_HROM_Genome_0124","g__Rothia","Periodontitis",-1.04063364534159,0.28680540910578,FALSE
"g__Rothia_HROM_Genome_0125","g__Rothia","Periodontitis",-0.275562781049636,0.772468351076811,FALSE
"g__Rothia_HROM_Genome_0128","g__Rothia","Periodontitis",-0.295952389686812,0.875454712173965,FALSE
"g__Rothia_HROM_Genome_0129","g__Rothia","Periodontitis",-0.816976244170735,0.390866571710863,FALSE
"g__Rothia_HROM_Genome_0137","g__Rothia","Periodontitis",-0.0800248632833645,0.98613227013856,FALSE
"g__Rothia_HROM_Genome_0138","g__Rothia","Periodontitis",-0.308067127119293,0.845906548531125,FALSE
"g__Rothia_HROM_Genome_0142","g__Rothia","Periodontitis",-0.399374024559663,0.767364328049604,FALSE
"g__Rothia_HROM_Genome_0143","g__Rothia","Periodontitis",-0.602862252871754,0.622963658356444,FALSE
"g__Rothia_HROM_Genome_0144","g__Rothia","Periodontitis",-0.573296413591756,0.524165590440861,FALSE
"g__Rothia_HROM_Genome_0145","g__Rothia","Periodontitis",-0.539737556435006,0.679609493864416,FALSE
"g__Rothia_HROM_Genome_0146","g__Rothia","Periodontitis",-0.63297242799576,0.652894089385848,FALSE
"g__Rothia_HROM_Genome_0162","g__Rothia","Periodontitis",-0.117038903967963,0.98613227013856,FALSE
"g__Rothia_HROM_Genome_0165","g__Rothia","Periodontitis",-0.441006048821983,0.77317034353726,FALSE
