"feature","Genus","term","lfc","q","diff_abn"
"s__Pauljensenia sp000278725","g__Pauljensenia","Periodontitis",0.514384388823977,0.982340534947217,FALSE
"s__Pauljensenia sp000466265","g__Pauljensenia","Periodontitis",0.145214030605731,0.982340534947217,FALSE
"s__Bifidobacterium piotii","g__Bifidobacterium","Periodontitis",0.92892693262161,0.982340534947217,FALSE
"s__Bifidobacterium swidsinskii","g__Bifidobacterium","Periodontitis",0.701060515158822,0.982340534947217,FALSE
"s__Kocuria palustris","g__Kocuria","Periodontitis",0.291840790328203,0.982340534947217,FALSE
"s__Micrococcus luteus","g__Micrococcus","Periodontitis",-1.18383679004385,0.982340534947217,FALSE
"s__Rothia dentocariosa","g__Rothia","Periodontitis",0.277680543264957,0.982340534947217,FALSE
"g__Corynebacterium_HROM_Genome_0366","g__Corynebacterium","Periodontitis",-1.11428140947245,0.738989892901918,FALSE
"s__Corynebacterium argentoratense","g__Corynebacterium","Periodontitis",0.236707203727813,0.982340534947217,FALSE
"s__Corynebacterium aurimucosum_E","g__Corynebacterium","Periodontitis",-0.0852500410754542,0.982340534947217,FALSE
"s__Lawsonella sp018376445","g__Lawsonella","Periodontitis",-0.772391348695345,0.982340534947217,FALSE
"s__Cutibacterium acnes","g__Cutibacterium","Periodontitis",-0.644591129655026,0.982340534947217,FALSE
"s__Cutibacterium modestum","g__Cutibacterium","Periodontitis",-0.500557586128566,0.982340534947217,FALSE
"s__Fannyhessea vaginae","g__Fannyhessea","Periodontitis",2.96462553544361,0.385671235557846,FALSE
"g__Alloprevotella_HROM_Genome_1059","g__Alloprevotella","Periodontitis",-0.018879022362955,0.982340534947217,FALSE
"s__Alloprevotella sp015257125","g__Alloprevotella","Periodontitis",0.728402974798551,0.908641519990316,FALSE
"s__Alloprevotella sp015259235","g__Alloprevotella","Periodontitis",0.671633110893244,0.982340534947217,FALSE
"s__Alloprevotella sp900095835","g__Alloprevotella","Periodontitis",-0.0157981219420842,0.983903284105748,FALSE
"s__Alloprevotella sp905369775","g__Alloprevotella","Periodontitis",0.406792690529034,0.982340534947217,FALSE
"g__Prevotella_HROM_Genome_0987","g__Prevotella","Periodontitis",-0.854568340841859,0.908641519990316,FALSE
"g__Prevotella_HROM_Genome_1010","g__Prevotella","Periodontitis",-0.298005725073828,0.982340534947217,FALSE
"s__Prevotella aurantiaca","g__Prevotella","Periodontitis",-1.29290605604291,0.385671235557846,FALSE
"s__Prevotella histicola","g__Prevotella","Periodontitis",-0.455353324363158,0.982340534947217,FALSE
"s__Prevotella intermedia","g__Prevotella","Periodontitis",-0.62876671575031,0.982340534947217,FALSE
"s__Prevotella jejuni","g__Prevotella","Periodontitis",0.13021625420719,0.982340534947217,FALSE
"s__Prevotella melaninogenica","g__Prevotella","Periodontitis",0.150194027338888,0.982340534947217,FALSE
"s__Prevotella melaninogenica_A","g__Prevotella","Periodontitis",0.0680512395667854,0.982340534947217,FALSE
"s__Prevotella nanceiensis","g__Prevotella","Periodontitis",1.87202905324827,0.385671235557846,FALSE
"s__Prevotella pallens","g__Prevotella","Periodontitis",0.661766967543773,0.982340534947217,FALSE
"s__Prevotella salivae","g__Prevotella","Periodontitis",-0.21498330674322,0.982340534947217,FALSE
"s__Prevotella shahii","g__Prevotella","Periodontitis",0.354436142352352,0.982340534947217,FALSE
"s__Prevotella sp013333285","g__Prevotella","Periodontitis",0.603451002954095,0.982340534947217,FALSE
"s__Prevotella sp905372445","g__Prevotella","Periodontitis",1.83151661040397,0.385671235557846,FALSE
"s__Prevotella timonensis","g__Prevotella","Periodontitis",0.043460941128251,0.982340534947217,FALSE
"s__Porphyromonas endodontalis","g__Porphyromonas","Periodontitis",-0.0677479326007317,0.982340534947217,FALSE
"s__Porphyromonas gingivalis","g__Porphyromonas","Periodontitis",0.314074178159996,0.982340534947217,FALSE
"s__Porphyromonas pasteri","g__Porphyromonas","Periodontitis",0.592994747479608,0.982340534947217,FALSE
"s__Lactobacillus crispatus","g__Lactobacillus","Periodontitis",0.637024409668271,0.982340534947217,FALSE
"s__Lactobacillus gasseri","g__Lactobacillus","Periodontitis",-0.250615696185429,0.982340534947217,FALSE
"s__Lactobacillus iners","g__Lactobacillus","Periodontitis",-0.261927670238226,0.982340534947217,FALSE
"g__Streptococcus_HROM_Genome_2214","g__Streptococcus","Periodontitis",-2.47009030419524,0.88850598536481,FALSE
"s__Streptococcus agalactiae","g__Streptococcus","Periodontitis",-3.28816059555053,0.385671235557846,FALSE
"s__Paraclostridium bifermentans","g__Paraclostridium","Periodontitis",-0.102056088110326,0.982340534947217,FALSE
"s__Anaeroglobus micronuciformis","g__Anaeroglobus","Periodontitis",-0.150084730647015,0.982340534947217,FALSE
"s__Brevundimonas sp002434505","g__Brevundimonas","Periodontitis",-0.134001886886624,0.982340534947217,FALSE
"s__CAISGS01 sp017418605","g__CAISGS01","Periodontitis",0.263984145785513,0.982340534947217,FALSE
"s__Agrobacterium pusense","g__Agrobacterium","Periodontitis",-0.148448354947763,0.982340534947217,FALSE
"s__Sphingobium yanoikuyae","g__Sphingobium","Periodontitis",-0.616598030848375,0.982340534947217,FALSE
"s__Sphingomonas echinoides","g__Sphingomonas","Periodontitis",0.184544407694575,0.982340534947217,FALSE
"s__Sphingomonas sp017418975","g__Sphingomonas","Periodontitis",-0.212381448544163,0.982340534947217,FALSE
"s__Achromobacter xylosoxidans","g__Achromobacter","Periodontitis",-0.0535294475024913,0.982340534947217,FALSE
"s__Acidovorax_A wautersii","g__Acidovorax_A","Periodontitis",-0.716937547397569,0.982340534947217,FALSE
"s__Burkholderia contaminans","g__Burkholderia","Periodontitis",-0.66981818869113,0.982340534947217,FALSE
"s__Comamonas tsuruhatensis","g__Comamonas","Periodontitis",-0.142715482297522,0.982340534947217,FALSE
"g__Cupriavidus_HROM_Genome_4891","g__Cupriavidus","Periodontitis",-0.0974884196980779,0.982340534947217,FALSE
"s__Ralstonia pickettii_B","g__Ralstonia","Periodontitis",0.161883044020892,0.982340534947217,FALSE
"g__Neisseria_HROM_Genome_4825","g__Neisseria","Periodontitis",-1.34579167454446,0.557986329642302,FALSE
"g__Neisseria_HROM_Genome_4837","g__Neisseria","Periodontitis",-0.144913458778041,0.982340534947217,FALSE
"s__Neisseria elongata","g__Neisseria","Periodontitis",-0.109373107623829,0.982340534947217,FALSE
"s__Neisseria flavescens","g__Neisseria","Periodontitis",-0.185801782816195,0.982340534947217,FALSE
"s__Neisseria mucosa_A","g__Neisseria","Periodontitis",0.0693460651991976,0.982340534947217,FALSE
"s__Neisseria sicca_A","g__Neisseria","Periodontitis",-0.197038080782065,0.982340534947217,FALSE
"s__Neisseria sp000090875","g__Neisseria","Periodontitis",0.105532281112456,0.982340534947217,FALSE
"s__Neisseria sp000186165","g__Neisseria","Periodontitis",0.703271869650883,0.982340534947217,FALSE
"s__Neisseria subflava","g__Neisseria","Periodontitis",1.45199595877048,0.88850598536481,FALSE
"s__Neisseria subflava_C","g__Neisseria","Periodontitis",-1.35341139550317,0.832667205915495,FALSE
"s__Escherichia coli","g__Escherichia","Periodontitis",1.05602647540161,0.982340534947217,FALSE
"s__Klebsiella aerogenes","g__Klebsiella","Periodontitis",0.0589001015889618,0.982340534947217,FALSE
"s__Klebsiella pneumoniae","g__Klebsiella","Periodontitis",-0.1462407232784,0.982340534947217,FALSE
"s__Acinetobacter baumannii","g__Acinetobacter","Periodontitis",-1.48321290298408,0.738989892901918,FALSE
"s__Acinetobacter johnsonii","g__Acinetobacter","Periodontitis",0.348657646513903,0.982340534947217,FALSE
"s__Acinetobacter junii","g__Acinetobacter","Periodontitis",-1.08329392508332,0.939931239970297,FALSE
"s__Moraxella_A cinereus","g__Moraxella_A","Periodontitis",-0.197703547970267,0.982340534947217,FALSE
"s__Pseudomonas aeruginosa","g__Pseudomonas","Periodontitis",0.522767532041917,0.982340534947217,FALSE
"s__Pseudomonas_E juntendi","g__Pseudomonas_E","Periodontitis",2.8237279828619,0.11716543984009,FALSE
"s__Stenotrophomonas maltophilia","g__Stenotrophomonas","Periodontitis",0.800366618433032,0.982340534947217,FALSE
"s__Pauljensenia sp000278725","g__Pauljensenia","Diabetes",-0.238298261173912,0.926781227270131,FALSE
"s__Pauljensenia sp000466265","g__Pauljensenia","Diabetes",0.228405218608391,0.926781227270131,FALSE
"s__Bifidobacterium piotii","g__Bifidobacterium","Diabetes",1.23870356970887,0.901977148110566,FALSE
"s__Bifidobacterium swidsinskii","g__Bifidobacterium","Diabetes",-0.58276088709228,0.926781227270131,FALSE
"s__Kocuria palustris","g__Kocuria","Diabetes",0.0328883523686914,0.976858928059314,FALSE
"s__Micrococcus luteus","g__Micrococcus","Diabetes",-0.17089678961787,0.966881776245879,FALSE
"s__Rothia dentocariosa","g__Rothia","Diabetes",-0.307800604006773,0.926781227270131,FALSE
"g__Corynebacterium_HROM_Genome_0366","g__Corynebacterium","Diabetes",1.59380898467474,0.764179461720991,FALSE
"s__Corynebacterium argentoratense","g__Corynebacterium","Diabetes",-0.0334637509406674,0.966881776245879,FALSE
"s__Corynebacterium aurimucosum_E","g__Corynebacterium","Diabetes",1.33750929506153,0.901977148110566,FALSE
"s__Lawsonella sp018376445","g__Lawsonella","Diabetes",0.642004913419732,0.926781227270131,FALSE
"s__Cutibacterium acnes","g__Cutibacterium","Diabetes",-0.476592400372684,0.926781227270131,FALSE
"s__Cutibacterium modestum","g__Cutibacterium","Diabetes",-0.391375695837038,0.926781227270131,FALSE
"s__Fannyhessea vaginae","g__Fannyhessea","Diabetes",-0.0777410749817163,0.966881776245879,FALSE
"g__Alloprevotella_HROM_Genome_1059","g__Alloprevotella","Diabetes",-0.363871672215221,0.926781227270131,FALSE
"s__Alloprevotella sp015257125","g__Alloprevotella","Diabetes",-0.318529508894766,0.926781227270131,FALSE
"s__Alloprevotella sp015259235","g__Alloprevotella","Diabetes",1.18660671822738,0.764179461720991,FALSE
"s__Alloprevotella sp900095835","g__Alloprevotella","Diabetes",0.326984954953148,0.926781227270131,FALSE
"s__Alloprevotella sp905369775","g__Alloprevotella","Diabetes",0.542824255768266,0.926781227270131,FALSE
"g__Prevotella_HROM_Genome_0987","g__Prevotella","Diabetes",0.0225481958110966,0.976858928059314,FALSE
"g__Prevotella_HROM_Genome_1010","g__Prevotella","Diabetes",0.93823784815265,0.901977148110566,FALSE
"s__Prevotella aurantiaca","g__Prevotella","Diabetes",0.233432006718572,0.926781227270131,FALSE
"s__Prevotella histicola","g__Prevotella","Diabetes",0.0964652531315541,0.966881776245879,FALSE
"s__Prevotella intermedia","g__Prevotella","Diabetes",-0.0810107198839876,0.966881776245879,FALSE
"s__Prevotella jejuni","g__Prevotella","Diabetes",-0.476458434647286,0.926781227270131,FALSE
"s__Prevotella melaninogenica","g__Prevotella","Diabetes",-1.35796345172608,0.764179461720991,FALSE
