"feature","rho","p","padj","Genus","Phylum"
"s__Escherichia coli",-0.43215442962682,6.4004869160663e-06,0.000486437005621039,"g__Escherichia","p__Proteobacteria"
"s__Lawsonella sp018376445",-0.328570129492612,0.000794700978242548,0.0301986371732168,"g__Lawsonella","p__Actinobacteriota"
"s__Prevotella timonensis",-0.273063777114357,0.00573059370371033,0.144526490851054,"g__Prevotella","p__Bacteroidota"
"s__Acinetobacter junii",-0.264133886451379,0.00760665741321334,0.144526490851054,"g__Acinetobacter","p__Proteobacteria"
"s__Paraclostridium bifermentans",0.255477545876783,0.00992306301919491,0.150830557891763,"g__Paraclostridium","p__Firmicutes_A"
"s__Lactobacillus iners",-0.222596825253195,0.0252618391903135,0.287830239867686,"g__Lactobacillus","p__Firmicutes"
"s__Corynebacterium argentoratense",-0.218499652818309,0.0281522390524556,0.287830239867686,"g__Corynebacterium","p__Actinobacteriota"
"s__Streptococcus agalactiae",0.205673193118592,0.0390768778668621,0.287830239867686,"g__Streptococcus","p__Firmicutes"
"s__Klebsiella pneumoniae",-0.201265997250206,0.0435679649865015,0.287830239867686,"g__Klebsiella","p__Proteobacteria"
"s__CAISGS01 sp017418605",-0.200141402442411,0.0447803234772831,0.287830239867686,"g__CAISGS01","p__Proteobacteria"
"s__Ralstonia pickettii_B",-0.198354208531644,0.0467645563214844,0.287830239867686,"g__Ralstonia","p__Proteobacteria"
"s__Lactobacillus crispatus",-0.194871004072906,0.0508413042090187,0.287830239867686,"g__Lactobacillus","p__Firmicutes"
"s__Alloprevotella sp015257125",-0.193636989229758,0.0523541330694846,0.287830239867686,"g__Alloprevotella","p__Bacteroidota"
"s__Neisseria subflava_C",-0.193102046834699,0.0530213599756264,0.287830239867686,"g__Neisseria","p__Proteobacteria"
"g__Prevotella_HROM_Genome_1010",-0.1815521542141,0.0692175427127724,0.35070221641138,"g__Prevotella","p__Bacteroidota"
"s__Micrococcus luteus",-0.172366950135298,0.0847746180422115,0.398311285649727,"g__Micrococcus","p__Actinobacteriota"
"g__Prevotella_HROM_Genome_0987",-0.170056971611178,0.0890959454742811,0.398311285649727,"g__Prevotella","p__Bacteroidota"
"s__Prevotella salivae",-0.16547956679891,0.0981739873239354,0.414512390923283,"g__Prevotella","p__Bacteroidota"
"s__Acinetobacter baumannii",-0.159643831580081,0.110784761382387,0.439489800671751,"g__Acinetobacter","p__Proteobacteria"
"g__Corynebacterium_HROM_Genome_0366",0.157528377563256,0.115655210703092,0.439489800671751,"g__Corynebacterium","p__Actinobacteriota"
"s__Prevotella intermedia",-0.152987446096105,0.126668205786193,0.458418268559555,"g__Prevotella","p__Bacteroidota"
"s__Pseudomonas aeruginosa",0.144227764377009,0.150160610378722,0.507292931211458,"g__Pseudomonas","p__Proteobacteria"
"g__Neisseria_HROM_Genome_4837",-0.143060617333243,0.153522860761362,0.507292931211458,"g__Neisseria","p__Proteobacteria"
"s__Neisseria mucosa_A",0.136811517536414,0.172489301471386,0.531603023991119,"g__Neisseria","p__Proteobacteria"
"s__Cutibacterium acnes",-0.136063813961502,0.174869415786552,0.531603023991119,"g__Cutibacterium","p__Actinobacteriota"
"s__Sphingomonas sp017418975",0.133747756546529,0.182395059362686,0.533154788906312,"g__Sphingomonas","p__Proteobacteria"
"s__Comamonas tsuruhatensis",-0.129018379462937,0.198491615272932,0.534775117818407,"g__Comamonas","p__Proteobacteria"
"s__Neisseria elongata",0.127638471239318,0.203375340439407,0.534775117818407,"g__Neisseria","p__Proteobacteria"
"s__Klebsiella aerogenes",-0.12634366748764,0.208035662159061,0.534775117818407,"g__Klebsiella","p__Proteobacteria"
"s__Prevotella sp013333285",-0.125504780549934,0.211095441244108,0.534775117818407,"g__Prevotella","p__Bacteroidota"
"s__Sphingobium yanoikuyae",-0.122702411866725,0.221548862475308,0.543152049939464,"g__Sphingobium","p__Proteobacteria"
"g__Streptococcus_HROM_Genome_2214",0.116641757686338,0.245392283617919,0.582806673592558,"g__Streptococcus","p__Firmicutes"
