"feature","rho","p","padj","Genus","Phylum"
"s__Prevotella jejuni",-0.10983947882189,0.274198365011812,0.627482039488785,"g__Prevotella","p__Bacteroidota"
"s__Prevotella melaninogenica",-0.108368387235477,0.280715649244983,0.627482039488785,"g__Prevotella","p__Bacteroidota"
"s__Sphingomonas echinoides",-0.106356274363152,0.289796247420926,0.629271851542581,"g__Sphingomonas","p__Proteobacteria"
"s__Corynebacterium aurimucosum_E",0.100131490129735,0.319109355899499,0.673675306898943,"g__Corynebacterium","p__Actinobacteriota"
"s__Acinetobacter johnsonii",-0.0940465203859354,0.349547845375383,0.715846347763644,"g__Acinetobacter","p__Proteobacteria"
"s__Agrobacterium pusense",-0.0923626676196692,0.358281300128859,0.715846347763644,"g__Agrobacterium","p__Proteobacteria"
"s__Acidovorax_A wautersii",0.0906423415082853,0.367342204773449,0.715846347763644,"g__Acidovorax_A","p__Proteobacteria"
"s__Neisseria flavescens",0.0850801563778393,0.397587733754864,0.74449413939561,"g__Neisseria","p__Proteobacteria"
"g__Alloprevotella_HROM_Genome_1059",-0.0782778775133922,0.436518422148127,0.74449413939561,"g__Alloprevotella","p__Bacteroidota"
"s__Alloprevotella sp905369775",-0.0781684574780391,0.437161818407419,0.74449413939561,"g__Alloprevotella","p__Bacteroidota"
"s__Alloprevotella sp015259235",0.0779131440622153,0.438665165326972,0.74449413939561,"g__Alloprevotella","p__Bacteroidota"
"s__Burkholderia contaminans",-0.0776578306463916,0.440171433579887,0.74449413939561,"g__Burkholderia","p__Proteobacteria"
"s__Prevotella shahii",-0.0766548136556554,0.446117119862337,0.74449413939561,"g__Prevotella","p__Bacteroidota"
"s__Prevotella aurantiaca",-0.0759010311898901,0.450614873844711,0.74449413939561,"g__Prevotella","p__Bacteroidota"
"s__Neisseria subflava",0.0734694748487115,0.465294768333551,0.744967486633956,"g__Neisseria","p__Proteobacteria"
"s__Prevotella histicola",-0.0720895666250926,0.473740625971674,0.744967486633956,"g__Prevotella","p__Bacteroidota"
"s__Anaeroglobus micronuciformis",-0.071025760725827,0.480307984803472,0.744967486633956,"g__Anaeroglobus","p__Firmicutes_C"
"s__Fannyhessea vaginae",-0.0673784262140591,0.503190878801713,0.764850135778603,"g__Fannyhessea","p__Actinobacteriota"
"s__Stenotrophomonas maltophilia",-0.0650988421442041,0.517775380011539,0.77158684080151,"g__Stenotrophomonas","p__Proteobacteria"
"s__Pauljensenia sp000278725",-0.0600959149722292,0.550521539246824,0.804608403514589,"g__Pauljensenia","p__Actinobacteriota"
"s__Moraxella_A cinereus",-0.0563817126610788,0.575464446459838,0.811016321140682,"g__Moraxella_A","p__Proteobacteria"
"s__Achromobacter xylosoxidans",-0.0562662137348729,0.576248438705222,0.811016321140682,"g__Achromobacter","p__Proteobacteria"
"s__Neisseria sicca_A",0.0528985082023405,0.599323064835472,0.828155507772652,"g__Neisseria","p__Proteobacteria"
"s__Porphyromonas pasteri",0.0498772994484261,0.620367339132786,0.841927103108782,"g__Porphyromonas","p__Bacteroidota"
"s__Pseudomonas_E juntendi",-0.0453728413263927,0.652315558078584,0.869754077438112,"g__Pseudomonas_E","p__Proteobacteria"
"s__Neisseria sp000186165",0.0404367819538002,0.688059011282506,0.901594566508111,"g__Neisseria","p__Proteobacteria"
"s__Lactobacillus gasseri",-0.0379140422498274,0.706601709906317,0.910198812760679,"g__Lactobacillus","p__Firmicutes"
"s__Cutibacterium modestum",0.0353669869824428,0.725498688262546,0.918965005132558,"g__Cutibacterium","p__Actinobacteriota"
"s__Alloprevotella sp900095835",-0.0320053603407634,0.750691545783765,0.935287827533871,"g__Alloprevotella","p__Bacteroidota"
"s__Pauljensenia sp000466265",-0.0288929682240547,0.774252986759208,0.949084306349997,"g__Pauljensenia","p__Actinobacteriota"
"g__Cupriavidus_HROM_Genome_4891",-0.0253915270927576,0.801005507143155,0.966292357823488,"g__Cupriavidus","p__Proteobacteria"
"s__Prevotella sp905372445",0.0181090158509276,0.857354523865333,0.974212295568113,"g__Prevotella","p__Bacteroidota"
"s__Bifidobacterium piotii",-0.0159874829432493,0.873919098239,0.974212295568113,"g__Bifidobacterium","p__Actinobacteriota"
"s__Prevotella nanceiensis",-0.0156470650554843,0.876582291892756,0.974212295568113,"g__Prevotella","p__Bacteroidota"
"s__Prevotella pallens",0.0145954169379246,0.88481822503822,0.974212295568113,"g__Prevotella","p__Bacteroidota"
"g__Neisseria_HROM_Genome_4825",0.0130939308972468,0.89659810040926,0.974212295568113,"g__Neisseria","p__Proteobacteria"
"s__Neisseria sp000090875",-0.0113128158773334,0.910600756524747,0.974212295568113,"g__Neisseria","p__Proteobacteria"
"s__Kocuria palustris",-0.0112641847505099,0.91098348522681,0.974212295568113,"g__Kocuria","p__Actinobacteriota"
"s__Bifidobacterium swidsinskii",0.0108204257182448,0.914476813371804,0.974212295568113,"g__Bifidobacterium","p__Actinobacteriota"
"s__Porphyromonas endodontalis",0.00852868386668395,0.932542146726147,0.974212295568113,"g__Porphyromonas","p__Bacteroidota"
"s__Brevundimonas sp002434505",-0.00812139817953653,0.935756547058845,0.974212295568113,"g__Brevundimonas","p__Proteobacteria"
"s__Rothia dentocariosa",-0.00546492287679891,0.956745094998065,0.982603070538553,"g__Rothia","p__Actinobacteriota"
"s__Porphyromonas gingivalis",-0.00325220660632638,0.974250734476033,0.987240744269047,"g__Porphyromonas","p__Bacteroidota"
"s__Prevotella melaninogenica_A",-0.00128872486082466,0.989795081980709,0.989795081980709,"g__Prevotella","p__Bacteroidota"
