"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","Genus"
"s__Anaeroglobus micronuciformis","KidneyDisease","KidneyDisease",0.429925027413637,0.262115791729388,0.104268633370399,"KidneyDisease",0.628065688486554,101,11,"g__Anaeroglobus"
"s__Pseudomonas_E juntendi","Diabetes","Diabetes",1.3056090987542,0.797898057696387,0.10508344010735,"Diabetes",0.628065688486554,101,34,"g__Pseudomonas_E"
"s__Neisseria elongata","Diabetes","Diabetes",0.758775925156565,0.477485035735716,0.115358376030561,"Diabetes",0.660113026878868,101,19,"g__Neisseria"
"g__Corynebacterium_HROM_Genome_0366","KidneyDisease","KidneyDisease",0.808396677506485,0.531024972568345,0.1312475563299,"KidneyDisease",0.667036299552616,101,13,"g__Corynebacterium"
"s__Cutibacterium acnes","Diabetes","Diabetes",-0.757221933403362,0.501376998938468,0.134289917646846,"Diabetes",0.667036299552616,101,99,"g__Cutibacterium"
"s__Prevotella nanceiensis","KidneyDisease","KidneyDisease",-1.22714415800561,0.811779332462427,0.1339367422742,"KidneyDisease",0.667036299552616,101,71,"g__Prevotella"
"s__Lactobacillus gasseri","KidneyDisease","KidneyDisease",2.25347228166971,1.44666835131372,0.122630144882337,"KidneyDisease",0.667036299552616,101,54,"g__Lactobacillus"
"g__Streptococcus_HROM_Genome_2214","Diabetes","Diabetes",1.59010548909858,1.03764028243078,0.128741187961434,"Diabetes",0.667036299552616,101,45,"g__Streptococcus"
"g__Cupriavidus_HROM_Genome_4891","Diabetes","Diabetes",1.43582074447936,0.922122602206106,0.122776225546993,"Diabetes",0.667036299552616,101,28,"g__Cupriavidus"
"g__Corynebacterium_HROM_Genome_0366","Periodontitis","Periodontitis",-0.915241446987473,0.624584108090104,0.146124251598815,"Periodontitis",0.6797686897214,101,13,"g__Corynebacterium"
"g__Streptococcus_HROM_Genome_2214","Periodontitis","Periodontitis",-2.00290052185638,1.35756756357756,0.143422540253165,"Periodontitis",0.6797686897214,101,45,"g__Streptococcus"
"s__Neisseria sicca_A","KidneyDisease","KidneyDisease",0.569448587874212,0.389050883558892,0.146580639645713,"KidneyDisease",0.6797686897214,101,11,"g__Neisseria"
"s__Pseudomonas aeruginosa","Diabetes","Diabetes",1.56141636936971,1.06705347325433,0.146686927781986,"Diabetes",0.6797686897214,101,35,"g__Pseudomonas"
"s__Prevotella melaninogenica_A","KidneyDisease","KidneyDisease",0.499427749286359,0.352600089483558,0.159924980242239,"KidneyDisease",0.714958735200597,101,11,"g__Prevotella"
"s__Prevotella salivae","KidneyDisease","KidneyDisease",0.308395815367382,0.230552971442696,0.184208863420371,"KidneyDisease",0.757500413174127,101,14,"g__Prevotella"
"s__Paraclostridium bifermentans","Diabetes","Diabetes",1.1540700968874,0.856886741119858,0.181243211695531,"Diabetes",0.757500413174127,101,39,"g__Paraclostridium"
"s__Acidovorax_A wautersii","KidneyDisease","KidneyDisease",1.48740779580249,1.11319446600045,0.184688222135222,"KidneyDisease",0.757500413174127,101,31,"g__Acidovorax_A"
"s__Moraxella_A cinereus","KidneyDisease","KidneyDisease",-1.42005237687463,1.06033756914462,0.183686191572506,"KidneyDisease",0.757500413174127,101,88,"g__Moraxella_A"
"s__Kocuria palustris","KidneyDisease","KidneyDisease",0.663964409141006,0.523686873764931,0.207944692865008,"KidneyDisease",0.767767101157024,101,13,"g__Kocuria"
"s__Micrococcus luteus","Periodontitis","Periodontitis",-1.51997589079246,1.17315056976886,0.19824028288619,"Periodontitis",0.767767101157024,101,43,"g__Micrococcus"
"s__Prevotella melaninogenica","KidneyDisease","KidneyDisease",0.64674774453611,0.502869670987842,0.201529041411411,"KidneyDisease",0.767767101157024,101,12,"g__Prevotella"
"s__Lactobacillus gasseri","Diabetes","Diabetes",-1.66069728599012,1.30055982900005,0.204746462439249,"Diabetes",0.767767101157024,101,54,"g__Lactobacillus"
"s__Acinetobacter junii","Periodontitis","Periodontitis",-0.47723961165245,0.379926006099331,0.212146172688125,"Periodontitis",0.767767101157024,101,14,"g__Acinetobacter"
"s__Acinetobacter junii","Diabetes","Diabetes",-0.370505512943234,0.290391829363407,0.205108225571689,"Diabetes",0.767767101157024,101,14,"g__Acinetobacter"
"s__Bifidobacterium piotii","Diabetes","Diabetes",0.708384919064274,0.589140232866476,0.232195251078022,"Diabetes",0.784281671931916,101,19,"g__Bifidobacterium"
"s__Cutibacterium acnes","Periodontitis","Periodontitis",-0.782874903994832,0.655962535772242,0.235655308592814,"Periodontitis",0.784281671931916,101,99,"g__Cutibacterium"
