"feature","rho","p","padj","Genus","Phylum"
"g__Ottowia_HROM_Genome_4903",0.564042045572347,8.14214674172799e-10,1.59993183474955e-06,"g__Ottowia","p__Proteobacteria"
"g__Saccharimonas_HROM_Genome_3578",-0.536948429040765,7.1012994770698e-09,6.97702673622107e-06,"g__Saccharimonas","p__Patescibacteria"
"g__Veillonella_HROM_Genome_2827",-0.52204298866934,2.15964876787541e-08,1.41456994295839e-05,"g__Veillonella","p__Firmicutes_C"
"g__Veillonella_HROM_Genome_2848",-0.516116070087717,3.31194975784329e-08,1.57240883718001e-05,"g__Veillonella","p__Firmicutes_C"
"s__Veillonella rogosae",-0.51345959478498,4.00104029816795e-08,1.57240883718001e-05,"g__Veillonella","p__Firmicutes_C"
"s__Pauljensenia odontolytica_C",-0.50904632002574,5.45771868090783e-08,1.78740286799731e-05,"g__Pauljensenia","p__Actinobacteriota"
"g__Veillonella_HROM_Genome_2849",-0.50234130341494,8.67467694152537e-08,2.43510574144248e-05,"g__Veillonella","p__Firmicutes_C"
"s__Arachnia rubra",-0.498718284466584,1.10971320752296e-07,2.72573306597828e-05,"g__Arachnia","p__Actinobacteriota"
"g__JABCPE02_HROM_Genome_1195",0.491016329755901,1.8557429588414e-07,4.05170546013707e-05,"g__JABCPE02","p__Bacteroidota"
"s__Kingella_B oralis",-0.487381153025839,2.35519168360341e-07,4.62795165828069e-05,"g__Kingella_B","p__Proteobacteria"
"s__Pauljensenia sp018382595",-0.475503000299182,5.03530955524681e-07,8.51518117496318e-05,"g__Pauljensenia","p__Actinobacteriota"
"s__Streptococcus sinensis",0.474852558977916,5.2449324266614e-07,8.51518117496318e-05,"g__Streptococcus","p__Firmicutes"
"g__Alloprevotella_HROM_Genome_1039",-0.473709727497562,5.63345319463213e-07,8.51518117496318e-05,"g__Alloprevotella","p__Bacteroidota"
"g__Nanogingivalis_HROM_Genome_3843",-0.47129032893809,6.54796069704023e-07,8.76748627038707e-05,"g__Nanogingivalis","p__Patescibacteria"
"s__Actinomyces massiliensis",-0.470870885469236,6.72018874439556e-07,8.76748627038707e-05,"g__Actinomyces","p__Actinobacteriota"
"g__Nanoperiomorbus_HROM_Genome_3257",-0.469892184041912,7.13892011838133e-07,8.76748627038707e-05,"g__Nanoperiomorbus","p__Patescibacteria"
"s__Cutibacterium acnes",-0.465551855972908,9.31266449484443e-07,0.000107643445484525,"g__Cutibacterium","p__Actinobacteriota"
"g__Capnocytophaga_HROM_Genome_1217",0.463892318770054,1.02990098320336e-06,0.000112430857333034,"g__Capnocytophaga","p__Bacteroidota"
"g__Bacteroides_D_HROM_Genome_1076",-0.460044380860139,1.29805126686455e-06,0.000134245828388886,"g__Bacteroides_D","p__Bacteroidota"
"g__Veillonella_HROM_Genome_2836",-0.45913862612305,1.37015549296719e-06,0.000134617777184027,"g__Veillonella","p__Firmicutes_C"
"g__Actinomyces_HROM_Genome_0330",-0.457272406631195,1.53084854325275e-06,0.000143243685118651,"g__Actinomyces","p__Actinobacteriota"
"g__Abiotrophia_HROM_Genome_2562",0.452798342963426,1.99179209323884e-06,0.000177903248327923,"g__Abiotrophia","p__Firmicutes"
"s__Rothia dentocariosa",-0.448676854965129,2.53002126734739e-06,0.000208383231453059,"g__Rothia","p__Actinobacteriota"
"g__Eubacterium_B_HROM_Genome_1919",0.448573513820628,2.54513870477019e-06,0.000208383231453059,"g__Eubacterium_B","p__Firmicutes_A"
"s__Leptotrichia buccalis",0.447260473396392,2.74480543778593e-06,0.000215741707409974,"g__Leptotrichia","p__Fusobacteriota"
"s__Haemophilus_D parainfluenzae",-0.446464138694656,2.87301498534483e-06,0.000217133632546253,"g__Haemophilus_D","p__Proteobacteria"
"g__Pauljensenia_HROM_Genome_0275",-0.440792533528857,3.96375415876637e-06,0.000281806373476281,"g__Pauljensenia","p__Actinobacteriota"
"g__JABCPE02_HROM_Genome_1200",0.440561535676445,4.01556155589612e-06,0.000281806373476281,"g__JABCPE02","p__Bacteroidota"
"g__Pauljensenia_HROM_Genome_0296",-0.439692254284474,4.21630438396027e-06,0.000285690969464894,"g__Pauljensenia","p__Actinobacteriota"
"g__Lancefieldella_HROM_Genome_0455",-0.438543343913267,4.49617514807971e-06,0.000290071836301219,"g__Lancefieldella","p__Actinobacteriota"
"s__Actinomyces oris_A",-0.438227241588914,4.57619690856885e-06,0.000290071836301219,"g__Actinomyces","p__Actinobacteriota"
"g__Kingella_B_HROM_Genome_4884",-0.437218145707324,4.84073403344546e-06,0.00029725132424126,"g__Kingella_B","p__Proteobacteria"
"g__Streptococcus_HROM_Genome_2534",0.435941578628206,5.19607388489846e-06,0.000309402581328045,"g__Streptococcus","p__Firmicutes"
"g__Ottowia_HROM_Genome_4905",0.434531275950322,5.61717432967112e-06,0.000324639634053051,"g__Ottowia","p__Proteobacteria"
"s__CAISGS01 sp017418605",-0.431260832671437,6.72075036488729e-06,0.000377322127628672,"g__CAISGS01","p__Proteobacteria"
"s__Pauljensenia cardiffensis",0.429789741085024,7.28107666439049e-06,0.000397425434597981,"g__Pauljensenia","p__Actinobacteriota"
"g__Oribacterium_HROM_Genome_1758",-0.426525376696992,8.68541441724193e-06,0.000461265927834605,"g__Oribacterium","p__Firmicutes_A"
"g__Haemophilus_D_HROM_Genome_4952",-0.42425187151799,9.80999984886455e-06,0.000507280255342601,"g__Haemophilus_D","p__Proteobacteria"
"s__Haemophilus_D parainfluenzae_N",-0.422495072061488,1.07713189290244e-05,0.000542708761423923,"g__Haemophilus_D","p__Proteobacteria"
"s__Pauljensenia sp001072465",-0.421935814103017,1.10954758235205e-05,0.000545065249830443,"g__Pauljensenia","p__Actinobacteriota"
"s__Paraclostridium bifermentans",-0.420124304628839,1.2209547173127e-05,0.000581711547132341,"g__Paraclostridium","p__Firmicutes_A"
"g__Oribacterium_HROM_Genome_1771",-0.419625835578897,1.25340623861364e-05,0.000581711547132341,"g__Oribacterium","p__Firmicutes_A"
"g__Granulicatella_HROM_Genome_2607",0.418969315366779,1.29738480996885e-05,0.000581711547132341,"g__Granulicatella","p__Firmicutes"
"g__Kingella_B_HROM_Genome_4883",-0.418489082989396,1.33046786001462e-05,0.000581711547132341,"g__Kingella_B","p__Proteobacteria"
"s__Capnocytophaga bilenii",0.418464767425984,1.33216384839467e-05,0.000581711547132341,"g__Capnocytophaga","p__Bacteroidota"
"s__Streptococcus anginosus_C",0.415249034164776,1.57525137045695e-05,0.000665263995902555,"g__Streptococcus","p__Firmicutes"
"g__Nanosynbacter_HROM_Genome_3462",-0.415054509657481,1.59121668231146e-05,0.000665263995902555,"g__Nanosynbacter","p__Patescibacteria"
"g__Granulicatella_HROM_Genome_2601",0.414586435061805,1.63025778131938e-05,0.000667386779227623,"g__Granulicatella","p__Firmicutes"
"g__JABCPE02_HROM_Genome_1196",0.414075808230157,1.67387242224902e-05,0.000671257001983534,"g__JABCPE02","p__Bacteroidota"
"s__Actinomyces johnsonii",-0.412537848844362,1.81194331313372e-05,0.000712093722061553,"g__Actinomyces","p__Actinobacteriota"
"s__Actinomyces oris_E",-0.40948016674533,2.11876007490496e-05,0.000816345793566324,"g__Actinomyces","p__Actinobacteriota"
"s__Prevotella conceptionensis",-0.407419422746181,2.35231863154168e-05,0.000888905021342192,"g__Prevotella","p__Bacteroidota"
"s__Veillonella tobetsuensis",-0.406051672304268,2.52042580783418e-05,0.000932433601290166,"g__Veillonella","p__Firmicutes_C"
"s__Bergeyella_A cardium",0.405723412198209,2.56241295011038e-05,0.000932433601290166,"g__Bergeyella_A","p__Bacteroidota"
"s__Haemophilus_D parainfluenzae_K",-0.405000024186708,2.65726341095853e-05,0.000945845957140452,"g__Haemophilus_D","p__Proteobacteria"
"s__Peptidiphaga sp000466165",-0.404677842971502,2.70055722603052e-05,0.000945845957140452,"g__Peptidiphaga","p__Actinobacteriota"
"g__Rothia_HROM_Genome_0129",-0.404361740647149,2.74367529552192e-05,0.000945845957140452,"g__Rothia","p__Actinobacteriota"
"s__Actinomyces oris",-0.402835939043059,2.96101855889403e-05,0.00100317266693565,"g__Actinomyces","p__Actinobacteriota"
"s__Alloprevotella tannerae_A",-0.401595845309058,3.14942464788494e-05,0.00104891854798202,"g__Alloprevotella","p__Bacteroidota"
"s__Kingella_B oralis_A",-0.401012271787175,3.24191479902369e-05,0.00104936626390768,"g__Kingella_B","p__Proteobacteria"
"g__Streptococcus_HROM_Genome_2245",-0.400915009533528,3.25757466149459e-05,0.00104936626390768,"g__Streptococcus","p__Firmicutes"
"f__Anaerovoracaceae_HROM_Genome_1924",-0.400367909356763,3.34698790311198e-05,0.0010567368792023,"g__","p__Firmicutes_A"
"s__Haemophilus_D sp900756155",-0.399875519197674,3.42941732367386e-05,0.0010567368792023,"g__Haemophilus_D","p__Proteobacteria"
"s__Haemophilus_D sp001815355",-0.399802572507439,3.44178932666397e-05,0.0010567368792023,"g__Haemophilus_D","p__Proteobacteria"
"g__Actinomyces_HROM_Genome_0334",-0.398878581097791,3.602157355711e-05,0.00107172680299941,"g__Actinomyces","p__Actinobacteriota"
"g__Pauljensenia_HROM_Genome_0295",-0.398598952118555,3.65205004933782e-05,0.00107172680299941,"g__Pauljensenia","p__Actinobacteriota"
"s__Flexilinea sp001717545",0.398586794336849,3.65423388300053e-05,0.00107172680299941,"g__Flexilinea","p__Chloroflexota"
"g__Actinomyces_HROM_Genome_0335",-0.397729670726584,3.81130805433935e-05,0.00110135593040836,"g__Actinomyces","p__Actinobacteriota"
"g__Lancefieldella_HROM_Genome_0675",-0.396878626007171,3.97349374388775e-05,0.00113158191402021,"g__Lancefieldella","p__Actinobacteriota"
"g__Oribacterium_HROM_Genome_1775",-0.396331525830406,4.0811374861439e-05,0.00113179228850082,"g__Oribacterium","p__Firmicutes_A"
"s__Leptotrichia shahii",0.396222105795053,4.10299059424847e-05,0.00113179228850082,"g__Leptotrichia","p__Fusobacteriota"
"g__Kingella_B_HROM_Genome_4871",-0.396003265724347,4.14702517923966e-05,0.00113179228850082,"g__Kingella_B","p__Proteobacteria"
"s__Brevundimonas sp002434505",-0.395091432096405,4.33529823754342e-05,0.00116696726531135,"g__Brevundimonas","p__Proteobacteria"
"g__Prevotella_HROM_Genome_1162",-0.392702427991197,4.86711792780197e-05,0.00129241712542309,"g__Prevotella","p__Bacteroidota"
"g__Granulicatella_HROM_Genome_2613",0.391395466457814,5.18323848044635e-05,0.00135800848187694,"g__Granulicatella","p__Firmicutes"
"s__Alloprevotella tannerae",-0.391097600806019,5.2579165672275e-05,0.00135944816507921,"g__Alloprevotella","p__Bacteroidota"
"s__Parvimonas sp000214475",-0.390732867354843,5.35072628904219e-05,0.00136547755298284,"g__Parvimonas","p__Firmicutes_A"
"g__Saccharimonas_HROM_Genome_3618",-0.390155372723813,5.50080624057156e-05,0.00138578003368245,"g__Saccharimonas","p__Patescibacteria"
"g__Kingella_B_HROM_Genome_4874",-0.38794265645334,6.11295820906938e-05,0.00151235439365349,"g__Kingella_B","p__Proteobacteria"
"g__Oribacterium_HROM_Genome_1742",-0.387559686329604,6.22514703035118e-05,0.00151235439365349,"g__Oribacterium","p__Firmicutes_A"
"s__Pauljensenia odontolytica_B",-0.38752929187534,6.2341326150602e-05,0.00151235439365349,"g__Pauljensenia","p__Actinobacteriota"
"s__Haemophilus_D parainfluenzae_L",-0.38674511495531,6.47018311635034e-05,0.00155047680775956,"g__Haemophilus_D","p__Proteobacteria"
"s__Prevotella micans",-0.38532265449572,6.9197575434306e-05,0.00163823175576399,"g__Prevotella","p__Bacteroidota"
"g__Streptococcus_HROM_Genome_2216",-0.382824230355159,7.78054659975105e-05,0.00182009215101319,"g__Streptococcus","p__Firmicutes"
"g__Campylobacter_B_HROM_Genome_1371",-0.382271051287541,7.98415185351032e-05,0.00184456840837026,"g__Campylobacter_B","p__Campylobacterota"
"g__Actinomyces_HROM_Genome_0328",-0.382033974544276,8.07292026055179e-05,0.00184456840837026,"g__Actinomyces","p__Actinobacteriota"
"s__Pseudoleptotrichia goodfellowii",-0.381760424455893,8.17648642735701e-05,0.00184675814135132,"g__Pseudoleptotrichia","p__Fusobacteriota"
"s__Ottowia sp001262075",0.380319727323745,8.74264169892863e-05,0.00193406895952207,"g__Ottowia","p__Proteobacteria"
"s__Treponema_D parvum_A",0.380277175087775,8.75990521106687e-05,0.00193406895952207,"g__Treponema_D","p__Spirochaetota"
"g__Oribacterium_HROM_Genome_1862",-0.379486919276891,9.08633287756754e-05,0.00198384934493558,"g__Oribacterium","p__Firmicutes_A"
"g__Prevotella_HROM_Genome_1169",-0.379207290297656,9.20452259238339e-05,0.00198756998835531,"g__Prevotella","p__Bacteroidota"
"s__Actinomyces oris_B",-0.378271141106302,9.61068728290393e-05,0.00205271744683763,"g__Actinomyces","p__Actinobacteriota"
"s__JABZIP01 sp015258265",-0.376125292635212,0.000106053929393937,0.00224081689525898,"g__JABZIP01","p__Firmicutes_A"
"s__Sphingomonas echinoides",-0.375383667951153,0.000109708492969663,0.0022933743477169,"g__Sphingomonas","p__Proteobacteria"
"s__Cutibacterium modestum",-0.37422259979824,0.000115665635764634,0.00239245236081585,"g__Cutibacterium","p__Actinobacteriota"
"g__Pauljensenia_HROM_Genome_0292",-0.37275758710268,0.00012361090993829,0.00248880922299266,"g__Pauljensenia","p__Actinobacteriota"
"s__Cardiobacterium hominis",-0.372453642560032,0.000125321509517369,0.00248880922299266,"g__Cardiobacterium","p__Proteobacteria"
"g__Rothia_HROM_Genome_0124",-0.372441484778326,0.000125390388333982,0.00248880922299266,"g__Rothia","p__Actinobacteriota"
"g__Streptococcus_HROM_Genome_2214",-0.372441484778326,0.000125390388333982,0.00248880922299266,"g__Streptococcus","p__Firmicutes"
"g__Oribacterium_HROM_Genome_1821",-0.371772806784502,0.000129233287471511,0.00253943409881518,"g__Oribacterium","p__Firmicutes_A"
"g__Alloprevotella_HROM_Genome_1044",-0.371280416625414,0.000132132614706315,0.00257069889007831,"g__Alloprevotella","p__Bacteroidota"
"g__Veillonella_HROM_Genome_2832",-0.370478003032825,0.000136987056811288,0.00263901535915863,"g__Veillonella","p__Firmicutes_C"
"g__Veillonella_HROM_Genome_2825",-0.369839719493265,0.000140966119103856,0.00268930508775803,"g__Veillonella","p__Firmicutes_C"
"s__Staphylococcus aureus",-0.369590484968295,0.000142548742205212,0.00269334883108886,"g__Staphylococcus","p__Firmicutes"
"g__Pseudoleptotrichia_HROM_Genome_2886",-0.369329092661618,0.000144226256543642,0.00269909137245958,"g__Pseudoleptotrichia","p__Fusobacteriota"
"s__Haemophilus_D sp905215245",-0.366684775140586,0.000162256487717126,0.00296093454778737,"g__Haemophilus_D","p__Proteobacteria"
"g__Nanosynbacter_HROM_Genome_3464",-0.366636144013763,0.000162606828850397,0.00296093454778737,"g__Nanosynbacter","p__Patescibacteria"
"g__Saccharimonas_HROM_Genome_3318",-0.366617907341204,0.000162738387359306,0.00296093454778737,"g__Saccharimonas","p__Patescibacteria"
"g__Oribacterium_HROM_Genome_1777",-0.36594922934738,0.000167630848586608,0.00302196896763931,"g__Oribacterium","p__Firmicutes_A"
"g__Kingella_B_HROM_Genome_4860",-0.364921896793232,0.000175413502860964,0.00310779143645523,"g__Kingella_B","p__Proteobacteria"
"s__Actinomyces oricola",0.364903660120673,0.000175554630761593,0.00310779143645523,"g__Actinomyces","p__Actinobacteriota"
"g__Prevotella_HROM_Genome_1171",-0.364459901088408,0.000179021318392286,0.00314086509500752,"g__Prevotella","p__Bacteroidota"
"g__Prevotella_HROM_Genome_0980",-0.363055677301377,0.000190413257254687,0.0033111685885439,"g__Prevotella","p__Bacteroidota"
"g__Cardiobacterium_HROM_Genome_4910",-0.361317114517434,0.00020544651832899,0.00354124919751285,"g__Cardiobacterium","p__Proteobacteria"
"s__Veillonella parvula_A",-0.360721383213846,0.000210845290026338,0.00360270430349351,"g__Veillonella","p__Firmicutes_C"
"g__Veillonella_HROM_Genome_2828",-0.35934755388108,0.000223799442126839,0.00379108537740722,"g__Veillonella","p__Firmicutes_C"
"g__JABCPE02_HROM_Genome_1193",0.358721428123226,0.000229944020810666,0.00383908209148051,"g__JABCPE02","p__Bacteroidota"
"s__Kocuria palustris",-0.358551219179344,0.000231641137917585,0.00383908209148051,"g__Kocuria","p__Actinobacteriota"
"s__Streptococcus infantis_C",-0.358466114707403,0.000232494029967522,0.00383908209148051,"g__Streptococcus","p__Firmicutes"
"s__Pauljensenia sp018375675",-0.356745788596019,0.000250369110228666,0.00407760026006316,"g__Pauljensenia","p__Actinobacteriota"
"g__Abiotrophia_HROM_Genome_2564",0.356678920796636,0.0002510888709759,0.00407760026006316,"g__Abiotrophia","p__Firmicutes"
"g__Streptococcus_HROM_Genome_2239",-0.356447922944224,0.000253590045272272,0.00408446261442634,"g__Streptococcus","p__Firmicutes"
"g__Streptococcus_HROM_Genome_2304",-0.355718456041871,0.00026164032340104,0.00417986370311417,"g__Streptococcus","p__Firmicutes"
"g__GN02-873_HROM_Genome_2932",0.35530509146387,0.000266306221902268,0.00422009456482223,"g__GN02-873","p__Patescibacteria"
"g__Granulicatella_HROM_Genome_2610",0.354606019015781,0.000274372218743553,0.00428909947723932,"g__Granulicatella","p__Firmicutes"
"g__Rothia_HROM_Genome_0128",-0.354423652290193,0.00027651315594716,0.00428909947723932,"g__Rothia","p__Actinobacteriota"
"s__Streptococcus sp901875575",-0.354302074473134,0.00027794900030142,0.00428909947723932,"g__Streptococcus","p__Firmicutes"
"s__Nanosynbacter sp900556355",-0.354180496656075,0.000279391721672587,0.00428909947723932,"g__Nanosynbacter","p__Patescibacteria"
"s__Xanthomonas campestris",-0.351536179135043,0.000312532030279715,0.00476066232170264,"g__Xanthomonas","p__Proteobacteria"
"g__JABCPE02_HROM_Genome_1203",0.351019473412543,0.00031941657803878,0.00482810442958617,"g__JABCPE02","p__Bacteroidota"
"g__Haemophilus_D_HROM_Genome_4955",-0.350217059819954,0.000330385411654957,0.00494982305112176,"g__Haemophilus_D","p__Proteobacteria"
"g__Oribacterium_HROM_Genome_1829",-0.349870563041336,0.000335228389528514,0.00494982305112176,"g__Oribacterium","p__Firmicutes_A"
"g__Treponema_B_HROM_Genome_5025",0.34975506411513,0.00033685719403782,0.00494982305112176,"g__Treponema_B","p__Spirochaetota"
"g__UBA9732_HROM_Genome_5020",0.349706432988307,0.000337545185165555,0.00494982305112176,"g__UBA9732","p__Spirochaetota"
"g__Streptococcus_HROM_Genome_2371",-0.34944504068163,0.000341265367462426,0.00496730701528642,"g__Streptococcus","p__Firmicutes"
"g__Leptotrichia_HROM_Genome_2872",0.348904019395718,0.000349085555132234,0.00504377291055029,"g__Leptotrichia","p__Fusobacteriota"
"s__Prevotella pleuritidis",-0.348521049271982,0.00035472059438674,0.00508778078810177,"g__Prevotella","p__Bacteroidota"
"g__Nanoperiomorbus_HROM_Genome_2968",-0.347487637826981,0.00037034687939274,0.00527341752178793,"g__Nanoperiomorbus","p__Patescibacteria"
"g__Streptococcus_HROM_Genome_2325",-0.346849354287422,0.000380312422565757,0.00536905430569848,"g__Streptococcus","p__Firmicutes"
"g__Flexilinea_HROM_Genome_1646",0.346709539797804,0.000382528042136278,0.00536905430569848,"g__Flexilinea","p__Chloroflexota"
"s__Veillonella sp900538355",-0.34608341403995,0.000392596626588686,0.00540407938761663,"g__Veillonella","p__Firmicutes_C"
"g__Haemophilus_D_HROM_Genome_4947",-0.345986151786303,0.000394182380354672,0.00540407938761663,"g__Haemophilus_D","p__Proteobacteria"
"g__Campylobacter_B_HROM_Genome_1401",-0.34587673175095,0.000395973395900979,0.00540407938761663,"g__Campylobacter_B","p__Campylobacterota"
"g__Saccharimonas_HROM_Genome_3596",-0.345736917261332,0.000398272810545741,0.00540407938761663,"g__Saccharimonas","p__Patescibacteria"
"g__Abiotrophia_HROM_Genome_2559",0.345706522807068,0.000398774305956443,0.00540407938761663,"g__Abiotrophia","p__Firmicutes"
"g__Oribacterium_HROM_Genome_1774",-0.345116870394332,0.000408618997398205,0.00547176327059141,"g__Oribacterium","p__Firmicutes_A"
"s__Mesocricetibacter sp905373425",-0.345074318158361,0.000409338015662563,0.00547176327059141,"g__Mesocricetibacter","p__Proteobacteria"
"g__Haemophilus_D_HROM_Genome_4940",-0.344733900270596,0.000415132190188632,0.00551172130892339,"g__Haemophilus_D","p__Proteobacteria"
"g__JABCPE02_HROM_Genome_1206",0.344429955727949,0.000420369196137447,0.00554379510342338,"g__JABCPE02","p__Bacteroidota"
"g__Pauljensenia_HROM_Genome_0279",-0.344028748931655,0.000427375071534816,0.00559861343710609,"g__Pauljensenia","p__Actinobacteriota"
"g__Nanosynbacter_HROM_Genome_3817",-0.343809908860948,0.000431241548635668,0.00561185194085489,"g__Nanosynbacter","p__Patescibacteria"
"s__Bacteroides zoogleoformans",0.342934548578124,0.000447031211784992,0.00577905481024677,"g__Bacteroides","p__Bacteroidota"
"g__Campylobacter_B_HROM_Genome_1410",-0.341961926041653,0.000465197269241508,0.00597459237947427,"g__Campylobacter_B","p__Campylobacterota"
"s__Alloprevotella tannerae_B",-0.341779559316064,0.000468677985387194,0.00598020935899893,"g__Alloprevotella","p__Bacteroidota"
"s__Streptococcus sp013394695",-0.341408746974035,0.000475829332296585,0.0060322879868567,"g__Streptococcus","p__Firmicutes"
"g__Rothia_HROM_Genome_0045",-0.341056171304564,0.000482721790810553,0.00608043794194062,"g__Rothia","p__Actinobacteriota"
"s__Streptococcus oralis_BH",-0.340879883469828,0.000486202294161129,0.0060852707517619,"g__Streptococcus","p__Firmicutes"
"g__Streptococcus_HROM_Genome_2437",-0.340411808874151,0.000495555758332563,0.00616308269065497,"g__Streptococcus","p__Firmicutes"
"g__Saccharimonas_HROM_Genome_3591",-0.339864708697386,0.000506697639219904,0.00626201799413278,"g__Saccharimonas","p__Patescibacteria"
"s__Prevotella melaninogenica_A",-0.33970665753521,0.000509958951244945,0.00626293336997698,"g__Prevotella","p__Bacteroidota"
"g__Campylobacter_A_HROM_Genome_1546",-0.337378442338531,0.000560286876159762,0.00683828392331635,"g__Campylobacter_A","p__Campylobacterota"
"s__Pauljensenia sp000466265",-0.337056261123325,0.000567599284887716,0.00685090176734085,"g__Pauljensenia","p__Actinobacteriota"
"g__Campylobacter_A_HROM_Genome_1597",0.33702586666906,0.000568293632608936,0.00685090176734085,"g__Campylobacter_A","p__Campylobacterota"
"g__Kingella_B_HROM_Genome_4877",-0.33650916094656,0.000580217339567791,0.00690352222783283,"g__Kingella_B","p__Proteobacteria"
"f__Nanosyncoccaceae_HROM_Genome_4791",-0.336490924274001,0.000580642336289406,0.00690352222783283,"g__","p__Patescibacteria"
"g__Oribacterium_HROM_Genome_1860",-0.336381504238648,0.000583198315430152,0.00690352222783283,"g__Oribacterium","p__Firmicutes_A"
"g__Veillonella_HROM_Genome_2823",-0.335749299589941,0.000598169247185638,0.00703833874682502,"g__Veillonella","p__Firmicutes_C"
"s__Streptococcus infantis_B",-0.335591248427765,0.000601966610186334,0.00704085945842945,"g__Streptococcus","p__Firmicutes"
"g__Stomatobaculum_HROM_Genome_1896",-0.333822291189557,0.000646001425611522,0.00751120000784994,"g__Stomatobaculum","p__Firmicutes_A"
"g__Granulicatella_HROM_Genome_2622",0.332308647367174,0.000686001966851118,0.00791341364172552,"g__Granulicatella","p__Firmicutes"
"g__Mogibacterium_HROM_Genome_1915",-0.332211385113527,0.00068864821004329,0.00791341364172552,"g__Mogibacterium","p__Firmicutes_A"
"g__Nanosyncoccus_HROM_Genome_4714",-0.331907440570879,0.000696978049516602,0.00796256899593095,"g__Nanosyncoccus","p__Patescibacteria"
"s__Actinomyces oris_C",-0.331378577066673,0.000711692073651139,0.00808367008511265,"g__Actinomyces","p__Actinobacteriota"
"g__Oribacterium_HROM_Genome_1849",-0.331153658105114,0.000718035459650263,0.00810884872536073,"g__Oribacterium","p__Firmicutes_A"
"s__Abiotrophia defectiva",0.330667346836878,0.000731928072890135,0.00821850664702352,"g__Abiotrophia","p__Firmicutes"
"s__Catonella morbi",-0.330296534494848,0.000742685913887738,0.00829191943630344,"g__Catonella","p__Firmicutes_A"
"g__Campylobacter_B_HROM_Genome_1474",-0.329877091025995,0.000755028780852984,0.00838209917726618,"g__Campylobacter_B","p__Campylobacterota"
"g__Oribacterium_HROM_Genome_1836",-0.329633935391877,0.000762269662761264,0.00841494318722407,"g__Oribacterium","p__Firmicutes_A"
"g__Corynebacterium_HROM_Genome_0379",-0.329305675285818,0.000772145569307164,0.00844734810081452,"g__Corynebacterium","p__Actinobacteriota"
"s__Capnocytophaga sp000466425",0.329250965268142,0.000773802879463925,0.00844734810081452,"g__Capnocytophaga","p__Bacteroidota"
"s__Cutibacterium avidum",-0.328940941834641,0.000783255880855376,0.00850330279492162,"g__Cutibacterium","p__Actinobacteriota"
"s__Streptococcus mitis_AV",-0.328138528242052,0.000808214671141831,0.00869491782148832,"g__Streptococcus","p__Firmicutes"
"s__Campylobacter_A concisus_AD",-0.32807166044267,0.000810327026360928,0.00869491782148832,"g__Campylobacter_A","p__Campylobacterota"
