"feature","synergy","p","padj","Genus"
"s__Pseudomonas aeruginosa",5.72446498980736,0.00270174895361256,0.205332920474554,"g__Pseudomonas"
"s__Lactobacillus gasseri",5.07323838176112,0.0712736442968532,0.852378399856379,"g__Lactobacillus"
"s__Prevotella jejuni",-2.07368441842551,0.0867648475394175,0.852378399856379,"g__Prevotella"
"s__Brevundimonas sp002434505",-3.23503753586299,0.0940219109100418,0.852378399856379,"g__Brevundimonas"
"s__Prevotella sp905372445",2.01028464272331,0.0992748232564765,0.852378399856379,"g__Prevotella"
"s__Alloprevotella sp900095835",-2.21724998733824,0.115183887741299,0.852378399856379,"g__Alloprevotella"
"s__Kocuria palustris",-2.4745124629673,0.128570751978246,0.852378399856379,"g__Kocuria"
"s__Paraclostridium bifermentans",5.5389994550895,0.132858838037546,0.852378399856379,"g__Paraclostridium"
"s__Porphyromonas pasteri",2.24866192659856,0.134283940232843,0.852378399856379,"g__Porphyromonas"
"g__Cupriavidus_HROM_Genome_4891",-2.49893594862636,0.13550599710885,0.852378399856379,"g__Cupriavidus"
"s__Porphyromonas endodontalis",-2.13285041495884,0.13643754244453,0.852378399856379,"g__Porphyromonas"
"s__CAISGS01 sp017418605",-0.949416785857363,0.150612889375082,0.852378399856379,"g__CAISGS01"
"s__Prevotella pallens",-2.08173547635078,0.173654788783068,0.852378399856379,"g__Prevotella"
"s__Corynebacterium aurimucosum_E",2.16383194558191,0.176812871725761,0.852378399856379,"g__Corynebacterium"
"s__Corynebacterium argentoratense",-1.22950070466247,0.182315907617424,0.852378399856379,"g__Corynebacterium"
"s__Neisseria flavescens",-2.03183368038779,0.183941593169858,0.852378399856379,"g__Neisseria"
"s__Prevotella sp013333285",-1.42519857956405,0.201466076679211,0.852378399856379,"g__Prevotella"
"s__Prevotella nanceiensis",-1.51177582714549,0.266369117627217,0.852378399856379,"g__Prevotella"
"g__Corynebacterium_HROM_Genome_0366",1.73365911336147,0.275572679026844,0.852378399856379,"g__Corynebacterium"
