"feature","name","saliva_log2FC","saliva_p","saliva_fdr","urine_log2FC","urine_p","urine_fdr","same_dir","n_healthy","n_disease","tier"
"P_Propionic acid","P_Propionic acid",-0.773131775967045,9.35493292771566e-07,1.67640398064665e-05,-0.374738123521546,0.00862317375910431,0.140194777751542,TRUE,34,67,"priority"
"P_N-lauroylethanolamine","P_N-lauroylethanolamine",-0.297178060848044,0.033107366517567,0.180879270730122,-0.622355440649866,0.0233706138505188,0.223927472702492,TRUE,34,67,"priority"
"N_2-Hydroxyphenylacetic acid","N_2-Hydroxyphenylacetic acid",-0.638085460404632,0.0461262130657987,0.224614602755194,-0.390524251345198,0.0197007385254955,0.211668399971603,TRUE,34,67,"priority"
"P_(E)-1-(4-methylquinazolin-2(1H)-ylidene)guanidine","P_(E)-1-(4-methylquinazolin-2(",-1.22451972518616,3.83000583615475e-07,7.79928461180605e-06,-0.338859772396528,0.0381455466533745,0.279734008791413,TRUE,34,67,"unconfirmed"
"P_2-(methyl(2H-pyrazolo[3,4-d]pyrimidin-4-yl)amino)ethanol","P_2-(methyl(2H-pyrazolo[3,4-d]",-0.582907909898182,0.000159064717995061,0.00203602839033678,-0.442602135014546,0.0325195615746407,0.250400624124733,TRUE,34,67,"unconfirmed"
"P_N-(4-((6aR,8aS)-4-hydroxy-6a,8a,9-trimethyl-3,4,5,6,6a,6b,7,8,8a,8b,11a,12,12a,12b-tetradecahydro-1H-naphtho[2',1':4,5]indeno[2,1-b]furan-10-yl)-2-methylbutyl)acetamide","P_N-(4-((6aR,8aS)-4-hydroxy-6a",-5.22311974236286,0.00217327584907153,0.024964809753437,-1.60937603136484,0.000319297439414731,0.0368788542524014,TRUE,34,67,"unconfirmed"
"P_Tri-isobutylphosphate","P_Tri-isobutylphosphate",1.30857110006123,2.94271974257175e-06,4.8827349802672e-05,0.951673859844497,0.00183744937050991,0.0707418007646317,TRUE,34,67,"exclude"
