"saliva_microbe","urine_microbe","urine_metab","ACME","ACME_p","ADE","prop_med","total_p","ACME_fdr"
"Streptococcus_sp013276505","Rubrivivax_sp022843905","P_3`-Aminoacetophenone",0.00643197706021373,0.58,0.0354042680702341,0.0370280365772505,0.533333333333333,0.993333333333333
"CAJPNN01_sp905372035","Pseudomonas_E_fluorescens_E","P_2-Phenylacetamide",-0.00371150557187083,0.58,-0.0133698254790291,0.0245485297251226,0.76,0.993333333333333
"Klebsiella_pneumoniae","BOG_935_sp003165275","P_Phenylacetylglutamine",-0.00615817021523444,0.593333333333333,-0.040863701832741,0.0276769887057179,0.566666666666667,0.993333333333333
"Bulleidia_extructa","Lactobacillus_iners","N_D-(-)-Mannitol",0.00454769430075638,0.593333333333333,-0.0687609843265072,-0.0313004959971878,0.2,0.993333333333333
"Treponema_C_sp905372025","Klebsiella_aerogenes","N_GLUCURONOLACTONE",0.0103192864785526,0.606666666666667,0.23600489767271,0.0234205627622133,0.04,0.993333333333333
"Gallibacter_brachus","Ralstonia_pickettii_A","N_Dehydroascorbic acid",-0.00679569552756961,0.62,0.141022142723138,-0.0355174317872189,0.14,0.993333333333333
"Lancefieldella_sp018376005","Kocuria_palustris","P_2-Phenylacetamide",-0.00423460618113368,0.633333333333333,0.0315177672213707,-0.025662166826382,0.46,0.993333333333333
"Treponema_B_denticola_B","Pseudomonas_E_fluorescens_E","P_5-OXO-L-PROLINE",-0.00278287497416024,0.653333333333333,0.0291617016128864,-0.00785097958810035,0.52,0.993333333333333
"Gallibacter_brachus","Pseudomonas_E_fluorescens_E","P_5-OXO-L-PROLINE",-0.0029680588481417,0.653333333333333,-0.0562508888109096,0.0285850173632424,0.253333333333333,0.993333333333333
"Treponema_B_denticola_B","Pseudomonas_E_fluorescens_E","P_2-Phenylacetamide",-0.00291120612351803,0.653333333333333,0.0173039775573754,-0.00140883198194654,0.813333333333333,0.993333333333333
"Lancefieldella_sp018376005","Kocuria_palustris","P_5-OXO-L-PROLINE",-0.00301296109595713,0.653333333333333,0.035411960790955,-0.0218474584236428,0.4,0.993333333333333
"CAJPSE01_sp905373185","Klebsiella_aerogenes","N_GLUCURONOLACTONE",0.00639167369966645,0.666666666666667,0.226402076827542,0.0265151724501188,0.0133333333333333,0.993333333333333
