"feature","R2","F","p"
"P_N,N-Dimethylformamide",0.00768408953469938,0.766615606897335,0.705
"P_METHYLGUANIDINE",0.0813018941709393,8.76118876468068,0.005
"P_Glycine",0.0247714997973816,2.51467064327105,0.01
"P_Trimethylamine N-oxide",0.0340505045297569,3.48983043549794,0.005
"P_Dimethyl sulfoxide",0.0212301208155767,2.14737090448006,0.04
"P_Pyridine",0.018595614649072,1.87584840432503,0.055
"P_2-Methylpyrrolidine; CE10; RGHPCLZJAFCTIK-UHFFFAOYSA-N",0.0205314410519468,2.07521991959166,0.015
"P_DIACETYL",0.0309381051796096,3.16065715632027,0.015
"P_Vinyl Carbamate",0.0187756875039044,1.89436099290898,0.06
"P_N-Nitrosomethylethylamine (NMEA)",0.0334457392522064,3.42570336755509,0.005
"P_SARCOSINE",0.0260441436700957,2.64731733638872,0.01
"P_4-Methylpyrimidine",0.012415179573459,1.24455414092086,0.15
"P_3-Hydroxypyridine",0.026325771596176,2.67671805619621,0.005
"P_Propionic acid",0.0187383292598536,1.89051977881318,0.055
"P_Cyclohexylamine",0.0117068876944816,1.17271067391127,0.175
"P_5-VALEROLACTONE",0.015318666127051,1.54014085004858,0.095
"P_N-Nitrosopyrrolidine (NPYR)",0.0131368617763382,1.31786188528478,0.16
"P_Homoserine",0.0180297098968064,1.81771413837404,0.045
"P_Hexylamine",0.0160924273096025,1.61920727908856,0.075
"P_2-Imidazolidinethione",0.0259604153959436,2.63857975057876,0.01
"P_(R)-4-aminoisoxazolidin-3-one",0.0106046148342096,1.06110952641125,0.335
"P_N-Nitrosodiethylamine (NDEA)",0.0146875025661273,1.475737654636,0.11
"P_Cadaverine",0.0109257576854053,1.09359840200052,0.365
"P_Biuret",0.0114147970410562,1.14311331353348,0.26
"P_DL-3-Aminoisobutyric acid",0.0408246921983796,4.21366615129285,0.005
"P_N,N-Dimethylglycine",0.0299568138905511,3.05731189871988,0.005
"P_4-AMINOBUTANOATE",0.0295511158040031,3.01464663645844,0.015
"P_Serine",0.00731217064491641,0.729237200698856,0.76
"P_3-Methylthiopropylamine",0.0415216784746222,4.28872106616421,0.005
"P_DIETHANOLAMINE",0.0207887402954308,2.101778619119,0.03
"P_Diethanolamine; CE0; ZBCBWPMODOFKDW-UHFFFAOYSA-N",0.0518404052432603,5.41280196652916,0.005
"P_N-Methylaniline",0.0190004181163135,1.91747420513994,0.01
"P_2-Aminophenol",0.0216125639487245,2.18690853140881,0.02
"P_3-Pyridinemthanol",0.022832584006355,2.31324313483233,0.01
"P_Uracil",0.0154028128597025,1.5487333226489,0.08
"P_Methimazole",0.0313726946627448,3.2064931005949,0.005
"P_Dihydrouracil",0.0355150253097466,3.6454559665837,0.01
"P_piperazine-2,5-dione",0.0297372018120996,3.03421195257219,0.045
"P_5,6-DIHYDROURACIL",0.00900261660211315,0.89935559724012,0.505
"P_Prolinamide",0.0539678521993298,5.64760656406297,0.005
"P_N-Nitrosopiperidine (NPIP)",0.024790859380921,2.5166858845818,0.005
"P_Proline",0.016454168951709,1.65621435707067,0.075
"P_Indole",0.0176868887169877,1.7825293817923,0.075
"P_Betaine",0.013935667400458,1.39912886718886,0.18
"P_Valine",0.0217572849520504,2.20187809949335,0.02
"P_5-Aminovaleric acid",0.011818288432283,1.18400344906185,0.27
"P_4-AMINOBENZOATE",0.0716386667912926,7.63951250298739,0.005
"P_Threonine",0.0378503290421125,3.8945942489785,0.005
"P_L-beta-Homoserine",0.0435689117643302,4.5098097685485,0.005
"P_Phenylacetaldehyde",0.0186523137131676,1.88167668137128,0.055
"P_Benzamidine",0.0116815079390386,1.17013826540189,0.255
"P_2,6-Xylidine",0.0171036218171692,1.72272336889696,0.04
"P_Niacinamide",0.0075931540949234,0.757473871224502,0.7
"P_4-(Dimethylamino)pyridine",0.0225631405241151,2.28531479065068,0.025
"P_Nicotinic acid",0.0117312930597045,1.17518444604653,0.24
"P_5-Methylcytosine",0.022716145697139,2.30117218668367,0.005
"P_3-METHYLHISTAMINE",0.026895059945044,2.7362012306802,0.01
"P_Thymine",0.0356997378550772,3.66511779203632,0.005
"P_Melamine",0.0111183985191556,1.11309731291196,0.26
"P_N-Cyclohexylformamide",0.0277642944955991,2.82715923669794,0.01
"P_DL-Coniine",0.0132843793084112,1.33285976623225,0.145
"P_4-Piperidinecarboxamide",0.0250764873664128,2.54642771161466,0.005
"P_Pyroglutamic acid",0.0170574044873964,1.7179874511101,0.07
"P_Indole-3-carbinol",0.0152607048086214,1.53422310192253,0.1
"P_Pipecolic acid",0.0133920981027848,1.34381420382524,0.135
"P_N-Methylproline",0.0447137395434293,4.63385730334258,0.005
"P_N,N-Dimethylacetoacetamide",0.0188981849296994,1.90695835977654,0.05
"P_L-beta-Homoproline",0.0165770941509904,1.66879611120225,0.065
"P_Metformin",0.0133981910238127,1.34443389348121,0.11
"P_TRANS-CINNAMATE",0.00995691816155629,0.995648488511862,0.39
"P_N-acetyl putrescine",0.0273438286870616,2.78314076428981,0.01
"P_N-ACETYLPUTRESCINE",0.02933449830143,2.99188064967762,0.01
"P_Creatine",0.0113905500104015,1.14065716349526,0.24
"P_3-Guanidinopropionic acid",0.0165093630217743,1.6618632427223,0.04
"P_Isoleucine",0.0161375502413863,1.62382198272656,0.055
"P_Aminocaproic acid",0.00737899122532492,0.735950705102389,0.755
"P_Cinnamaldehyde",0.016767489709428,1.68828986415716,0.1
"P_Ornithine",0.0107067957955527,1.07144452145723,0.3
"P_Aspartic acid",0.0162145738483437,1.6317001332957,0.08
"P_2-Oxindole",0.0546152228561357,5.71926605280491,0.005
"P_L-beta-Homothreonine",0.0230987725000921,2.3408492211249,0.01
"P_Benzothiazole",0.00944331733112023,0.943801028389422,0.425
"P_4-Hydroxybenzotriazole",0.0543332986716282,5.68804692069135,0.005
"P_1-Hydroxybenzotriazole",0.0142897135057817,1.43519009231795,0.18
"P_METHYLMALONATE",0.0279381311869796,2.84536928795322,0.005
