"feature","name","saliva_log2FC","saliva_p","saliva_fdr","urine_log2FC","urine_p","urine_fdr","same_dir","n_healthy","n_disease"
"P_2-(2-amino-4-hydroxy-6-methylpyrimidin-5-yl)acetic acid","P_2-(2-amino-4-hydroxy-6-methy",-0.632391892895857,0.934134585441571,0.988813684201804,-0.664663945934791,0.0543028266126255,0.319066256893474,TRUE,34,67
"P_Phosphocholine","P_Phosphocholine",0,NA,NA,1.13956845903405,0.370941319456353,0.729254849314192,FALSE,34,67
"P_2,3-dihydro-1H-carbazol-4(9H)-one","P_2,3-dihydro-1H-carbazol-4(9H",0.225293266393827,0.282655777710413,0.590225447611262,0.16508801074573,0.470148773053579,0.824266696604045,TRUE,34,67
"P_Ecgonine","P_Ecgonine",-0.0266952799105589,0.394440086333123,0.67359304961343,-0.235550606335636,0.465742679443175,0.821271442376896,TRUE,34,67
"P_NCGC00380284-01!N-(5-acetamidopentyl)acetamide [IIN-based: Match]","P_NCGC00380284-01!N-(5-acetami",-0.392249895007009,0.627616365048533,0.828829760745111,-0.353480421044523,0.47457779501445,0.824266696604045,TRUE,34,67
"P_Atrazine-desethyl","P_Atrazine-desethyl",-0.169886542746749,0.19211820095317,0.509283751639173,-0.461675782851302,0.202099526127537,0.546023281116504,TRUE,34,67
"P_Deprenyl","P_Deprenyl",-7.44422338304314,3.139545225025e-10,1.4065162608112e-07,0.766952432879048,0.0115358670018127,0.171921630801208,FALSE,34,67
"P_N8-Acetylspermidine","P_N8-Acetylspermidine",0.686208980540243,0.0582746184376409,0.239514028073974,0,NA,NA,FALSE,34,67
"P_N-epsilon-Acetyllysine","P_N-epsilon-Acetyllysine",-0.229266058953566,0.674188434792314,0.862298857056386,-0.11533147384074,0.587421724579571,0.88944405108105,TRUE,34,67
"P_NALPHA-ACETYL-L-LYSINE","P_NALPHA-ACETYL-L-LYSINE",-0.0952935641928647,0.240001678293611,0.540305285806723,-0.134763304334673,0.562921028283486,0.869797709254082,TRUE,34,67
"P_N6-Acetyl-L-lysine; CE0; DTERQYGMUDWYAZ-ZETCQYMHSA-N","P_N6-Acetyl-L-lysine",0.150131461355333,0.793086320251939,0.93500703019176,-0.0790296805735089,0.602355104396077,0.88944405108105,FALSE,34,67
"P_Propamocarb","P_Propamocarb",0,0.761492114039394,0.919537647141909,-0.0692055018553219,0.93114166586649,0.982163127009859,FALSE,34,67
"P_N,N,N-TRIMETHYLLYSINE","P_N,N,N-TRIMETHYLLYSINE",0.41003137318771,0.141662925166223,0.431734629078013,-0.430894291076523,0.45699970502147,0.818348308991934,FALSE,34,67
"P_Kynurenic acid","P_Kynurenic acid",-0.0486702363563865,0.894233634390365,0.969144397219431,-0.265434138283695,0.363305579236519,0.727919817531622,TRUE,34,67
"P_3-(2-hydroxyethyl)quinazolin-4(3H)-one","P_3-(2-hydroxyethyl)quinazolin",0.174620276092678,0.95129173636379,0.988813684201804,0.436497528911303,0.74912261108428,0.925386754868816,TRUE,34,67
"P_trans-3-Hydroxycotinine","P_trans-3-Hydroxycotinine",0,NA,NA,0.0510409290286802,0.997133032244234,0.997133032244234,FALSE,34,67
"P_2-(methyl(2H-pyrazolo[3,4-d]pyrimidin-4-yl)amino)ethanol","P_2-(methyl(2H-pyrazolo[3,4-d]",-0.582907909898182,0.000159064717995061,0.00203602839033678,-0.442602135014546,0.0325195615746407,0.250400624124733,TRUE,34,67
"P_3,4-Methylenedioxy-N-methylamphetamine (MDMA)","P_3,4-Methylenedioxy-N-methyla",0,NA,NA,-0.108857881201921,0.147598247161048,0.480214015411296,FALSE,34,67
"P_4-Hexyloxyaniline","P_4-Hexyloxyaniline",-0.36254066707491,2.07822029986093e-07,5.1920553501607e-06,-0.139128893175094,0.612404719387458,0.88944405108105,TRUE,34,67
"P_Ferulic acid","P_Ferulic acid",-0.456861596877982,0.939850633217627,0.988813684201804,-0.122719328909877,0.0663377101429558,0.333557683220143,TRUE,34,67
"P_Caffeine","P_Caffeine",0.225046702672159,0.985665901506654,0.997133032244234,-0.386432674617957,0.102066946583099,0.410042863664275,FALSE,34,67
"P_N-(n-octyl)-2-pyrrolidinone","P_N-(n-octyl)-2-pyrrolidinone",0,NA,NA,-0.106012856182261,0.333756088134515,0.704088185927607,FALSE,34,67
"P_Dictamnine","P_Dictamnine",-0.239949976708161,0.991399244794386,0.997133032244234,0.436489172985372,0.242888997714521,0.613195174557972,FALSE,34,67
"P_N-Methyldodecylamine","P_N-Methyldodecylamine",-0.339975673934379,0.0146955714419837,0.109726933433478,-0.290297476861987,0.0826479009200236,0.370711943932533,TRUE,34,67
"P_Harmalol","P_Harmalol",-0.266103092067148,0.285887840246277,0.590225447611262,-0.215720856048705,0.367111076807073,0.727919817531622,TRUE,34,67
"P_(E)-1-(4-methylquinazolin-2(1H)-ylidene)guanidine","P_(E)-1-(4-methylquinazolin-2(",-1.22451972518616,3.83000583615475e-07,7.79928461180605e-06,-0.338859772396528,0.0381455466533745,0.279734008791413,TRUE,34,67
"P_1-Cinnamoylpyrrolidine","P_1-Cinnamoylpyrrolidine",-0.0719410054049732,0.0741268170314336,0.276740116917352,-0.192819625159466,0.302421799032714,0.680262132884991,TRUE,34,67
"P_N,N-Dimethyldecylamine oxide","P_N,N-Dimethyldecylamine oxide",-0.400744205268936,0.0144057990905177,0.109726933433478,0.189522659167721,0.61445919516186,0.88944405108105,FALSE,34,67
"P_N,N-Dimethylarginine","P_N,N-Dimethylarginine",0.541669720925416,0.0776864472737134,0.285274822775603,0.117650308294781,0.632722719140241,0.891213098301194,TRUE,34,67
"P_N-Acetylgalactosamine","P_N-Acetylgalactosamine",-0.619276880301395,0.382580121943049,0.661760210928517,-0.11719071884184,0.26997583026105,0.65646754516108,TRUE,34,67
"P_1h-indole-3-butanoic acid","P_1h-indole-3-butanoic acid",-0.311732057230142,0.820911486022476,0.952767735072718,-1.55056301835501,0.406519799384724,0.76658019312548,TRUE,34,67
"P_Acetylcarnitine","P_Acetylcarnitine",0,NA,NA,-0.0296688391861473,0.627616365048533,0.88944405108105,FALSE,34,67
"P_Sorbitol","P_Sorbitol",0.540112740918723,0.826504883375375,0.95585635893483,-4.55130633049817,0.882519481887127,0.960781253693834,FALSE,34,67
"P_Tryptophan","P_Tryptophan",0.875404745612379,0.0368284964501102,0.194107840113522,-0.367743664562923,0.273108630063471,0.657167641090227,FALSE,34,67
"P_N-Methylcytisine","P_N-Methylcytisine",0.863780024396092,0.676806022287348,0.862298857056386,0.167450647106291,0.99138518524535,0.997133032244234,TRUE,34,67
"P_Panthenol","P_Panthenol",0,NA,NA,-0.0539470924322139,0.394440086333123,0.759297166191262,FALSE,34,67
"P_Norlidocaine","P_Norlidocaine",-0.158603901910055,0.558080703661807,0.788707114323311,0,NA,NA,FALSE,34,67
"P_Miglitol","P_Miglitol",-0.55492184384606,0.00348588536169304,0.0380896741960605,0.169172299662648,0.0545589486895768,0.319066256893474,FALSE,34,67
"P_Phenylalanine betaine; CE10; XTFQIRIHLGODFV-NSHDSACASA-N","P_Phenylalanine betaine",-1.74714305299645,0.0141210778464909,0.109726933433478,0,NA,NA,FALSE,34,67
"P_Pilocarpine","P_Pilocarpine",2.33570716624461,4.0917507812653e-08,2.38642084657278e-06,-0.00761866484395313,0.452663030743208,0.813736654487791,FALSE,34,67
"P_Cyclo(proline-leucine)","P_Cyclo(proline-leucine)",-0.394428722916341,0.0813840757544479,0.294032789822521,0.0213037241387006,0.732835745060248,0.921127425406416,FALSE,34,67
"P_methyl 1-methyl-9H-beta-carbolin-7-yl ether","P_methyl 1-methyl-9H-beta-carb",-0.145891665394657,0.352037897048712,0.630851911511292,0.260903612656477,0.888552901478213,0.960781253693834,FALSE,34,67
"P_N-Butylbenzenesulfonamide","P_N-Butylbenzenesulfonamide",0,NA,NA,0,NA,NA,TRUE,34,67
"P_Irgarol-descyclopropyl","P_Irgarol-descyclopropyl",0.164798920877551,0.0573265335638036,0.239514028073974,-0.356209908579554,0.0313707310204051,0.245648775108935,FALSE,34,67
"P_N,N-Dimethyldodecylamine","P_N,N-Dimethyldodecylamine",0,NA,NA,0.187792149412989,0.0976258789155073,0.399142973973136,FALSE,34,67
"P_Ethyl 3-(N-butylacetamido)propionate","P_Ethyl 3-(N-butylacetamido)pr",0.809733467243117,9.09567311598817e-06,0.000127339423623834,-0.273268508697573,0.0168717554736247,0.190115878751576,FALSE,34,67
"P_1,2,3,4-tetrahydro-6-methoxy-1-oxo-beta-carboline","P_1,2,3,4-tetrahydro-6-methoxy",-0.17509635793526,0.406519799384724,0.684664925279536,0.462667281440194,0.0663377101429558,0.333557683220143,FALSE,34,67
"P_N-Acetylarginine; CE10; SNEIUMQYRCDYCH-LURJTMIESA-N","P_N-Acetylarginine",-0.0502172022977874,0.934134585441571,0.988813684201804,0,NA,NA,FALSE,34,67
"P_(R)-2-amino-3-(1H-indol-3-yl)-N-methylpropanamide oxalate","P_(R)-2-amino-3-(1H-indol-3-yl",-0.748575237657818,0.410594925753914,0.686367637081169,-0.560718620228766,0.882871113884362,0.960781253693834,TRUE,34,67
"P_Propionylcarnitine","P_Propionylcarnitine",-0.20456341215219,0.295733410132259,0.590225447611262,0.469550022962725,0.2286945914292,0.593578096855563,FALSE,34,67
"P_(Z)-2-((Z)-1-(hydroxyimino)ethyl)-6,6-dimethylbicyclo[3.1.0]hexan-3-one oxime","P_(Z)-2-((Z)-1-(hydroxyimino)e",0.635162147842021,0.0845725144978331,0.303107891960234,-1.22553598978016,0.06740733166642,0.333557683220143,FALSE,34,67
"P_methyl 2-(2-amino-4-hydroxy-6-methylpyrimidin-5-yl)acetate","P_methyl 2-(2-amino-4-hydroxy-",0.423383186074403,0.587421724579571,0.804785726641125,1.05640925453904,0.0611973245694115,0.328757720361257,TRUE,34,67
"P_Pantothenic acid","P_Pantothenic acid",0.362218387706097,0.316098262473991,0.607776916688189,-0.483536725860493,0.309210060402269,0.680262132884991,FALSE,34,67
"P_Syringic acid","P_Syringic acid",0,0.244319506507246,0.542456607400315,-0.519774549274693,0.553237597114368,0.86062777009448,FALSE,34,67
"P_N-ACETYL-D-GALACTOSAMINE","P_N-ACETYL-D-GALACTOSAMINE",-1.13574732098369,0.202099526127537,0.517374786886495,-0.268882305661691,0.370941319456353,0.729254849314192,TRUE,34,67
"P_Tetraglyme","P_Tetraglyme",2.45613086295093,1.46520385063166e-07,4.10257078176864e-06,-0.214179442988076,0.0839275874570328,0.371444807464857,FALSE,34,67
"P_Carnosine","P_Carnosine",0,NA,NA,-0.277604059815996,0.700626845789984,0.919572735099354,FALSE,34,67
"P_N,N-Dimethyldodecylamine N-oxide","P_N,N-Dimethyldodecylamine N-o",-0.186795025007775,0.0261348208454807,0.165823946015064,-0.426480426423247,0.175531152799247,0.506846203707826,TRUE,34,67
"P_Butyryl carnitine (isomer of 920)","P_Butyryl carnitine (isomer of",-0.196594738404066,0.439793437165749,0.705985751205581,0,NA,NA,FALSE,34,67
"P_Pentaethylene glycol","P_Pentaethylene glycol",0.918673304344523,3.50360556837913e-06,5.6057689094066e-05,-0.0716973122064211,0.398442317293658,0.763818882114813,FALSE,34,67
"P_securinine","P_securinine",-0.0178781875489875,0.510816580346027,0.755266759059473,-0.2060722627091,0.305802031991459,0.680262132884991,TRUE,34,67
"P_Anserine","P_Anserine",0,NA,NA,0,NA,NA,TRUE,34,67
"P_(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone","P_(4R,4aS,6R)-6-isopropenyl-4,",0.0342924590412643,0.47457779501445,0.725634307735405,-0.339396468951492,0.497062856296176,0.844762302861704,FALSE,34,67
"P_dioctylamine","P_dioctylamine",-0.697664660922925,1.87293634204822e-05,0.000254265297344728,0.200296138136835,0.899919797418043,0.962414227794296,FALSE,34,67
"P_N-lauroylethanolamine","P_N-lauroylethanolamine",-0.297178060848044,0.033107366517567,0.180879270730122,-0.622355440649866,0.0233706138505188,0.223927472702492,TRUE,34,67
"P_Ribavirin","P_Ribavirin",0.849375766343773,0.18250416358538,0.504560110674628,-0.052415224514796,0.760043541455866,0.927624434815535,FALSE,34,67
"P_Thermopsine","P_Thermopsine",0.55764804260274,0.11888717438382,0.38595256611559,0.0696134863760633,0.815327180650231,0.931845470620107,TRUE,34,67
"P_N-Acetyltryptophan","P_N-Acetyltryptophan",0.160629133162775,0.344650409299653,0.630851911511292,-0.0229278529415105,0.979928389076694,0.997133032244234,FALSE,34,67
"P_Isoleucylaspartate","P_Isoleucylaspartate",0.0111920921996322,0.679445304778804,0.862298857056386,-0.0455940242738038,0.723708183433022,0.921127425406416,FALSE,34,67
"P_Octopine","P_Octopine",0.490888383032562,0.10821626263076,0.356477100430739,-0.132474123179133,0.617457166412851,0.88944405108105,FALSE,34,67
"P_Tryptophan betaine; CE10; AOHCBEAZXHZMOR-ZDUSSCGKSA-N","P_Tryptophan betaine",0,NA,NA,-0.456407128505745,0.295733410132259,0.680262132884991,FALSE,34,67
"P_Lupanine","P_Lupanine",0,0.317850307335622,0.608162697214415,0,NA,NA,TRUE,34,67
"P_cordycepin","P_cordycepin",1.14949886620788,0.899919507510891,0.969144397219431,0.00901222537995139,0.991399244794386,0.997133032244234,TRUE,34,67
"P_Cybutryne","P_Cybutryne",0.268751130769878,0.897026841266702,0.969144397219431,-0.499582607571352,0.0416144653302396,0.286953477351801,FALSE,34,67
"P_Anabasamine","P_Anabasamine",-0.19891918471216,0.607370634615997,0.8189770575689,-0.246153983969453,0.225928064898366,0.58971054227709,TRUE,34,67
"P_Daidzein","P_Daidzein",-0.451092741586727,0.289144785516972,0.590225447611262,-2.00727529475019,0.132919590692141,0.465218567422495,TRUE,34,67
"P_5-butyl-3-methyl-7H-furo[3,2-g]chromen-7-one","P_5-butyl-3-methyl-7H-furo[3,2",-0.00830107646812195,0.299065126356599,0.590225447611262,-0.24715282609116,0.151659501906509,0.48321855090212,TRUE,34,67
"P_BETAINE","P_BETAINE",-0.930122039173849,0.122091319113796,0.388678959080153,-0.115975517500249,0.359524862139347,0.727919817531622,TRUE,34,67
"P_sn-Glycero-3-phosphocholine","P_sn-Glycero-3-phosphocholine",-0.314113885163643,0.899919797418043,0.969144397219431,-0.185626719168347,0.738251761578445,0.921127425406416,TRUE,34,67
"P_N,N-Dimethyltetradecylamine-N-oxide","P_N,N-Dimethyltetradecylamine-",-0.255306391925707,0.00638640154873558,0.0583899570170111,-0.391141347159383,0.0545589486895768,0.319066256893474,TRUE,34,67
"P_Hexanoyl-L-Carnitine","P_Hexanoyl-L-Carnitine",0.0819770239438462,0.738251761578445,0.903652429473069,0.0552182188031942,0.968471496313183,0.995754867080436,TRUE,34,67
"P_NCGC00380330-01!2-(6-methyl-7-oxooctyl)-2H-furan-5-one [IIN-based on: CCMSLIB00000848756]","P_NCGC00380330-01!2-(6-methyl-",1.48639648441577,0.0519037177479983,0.225755976224303,0.0921373406739043,0.882877886587816,0.960781253693834,TRUE,34,67
"P_Olaquindox","P_Olaquindox",0,0.586767782915434,0.804785726641125,0.942272743357282,0.435852369331069,0.80224619374882,FALSE,34,67
"P_MMV688514","P_MMV688514",-0.150724537751248,0.92842193149654,0.988813684201804,0.588721987683105,0.461359621854169,0.819800558833177,FALSE,34,67
"P_Vitamin B1","P_Vitamin B1",14.5803763529463,0.225785200616297,0.535542433687066,0,NA,NA,FALSE,34,67
"P_Phenylacetylglutamine","P_Phenylacetylglutamine",0.427294492691029,0.0510430234491589,0.225755976224303,-0.343711358447067,0.16654553074373,0.496413130345828,FALSE,34,67
"P_Tri-isobutylphosphate","P_Tri-isobutylphosphate",1.30857110006123,2.94271974257175e-06,4.8827349802672e-05,0.951673859844497,0.00183744937050991,0.0707418007646317,TRUE,34,67
"P_Atenolol","P_Atenolol",-1.51586763419003,0.0652813265251847,0.258817568029708,0,NA,NA,FALSE,34,67
"P_Adenosine","P_Adenosine",0.163233994739937,0.548461207821232,0.780033717790196,-0.0860643470039761,0.302421799032714,0.680262132884991,FALSE,34,67
"P_Atenolol acid","P_Atenolol acid",0.0631070915938743,0.997133032244234,0.997133032244234,-0.839462801753863,0.0155992863586916,0.189654481518829,FALSE,34,67
"P_Metoprolol","P_Metoprolol",-14.609134823076,0.16312813185614,0.471492923042262,-0.794756864134815,0.723941410788955,0.921127425406416,TRUE,34,67
"P_Inosine","P_Inosine",0.496842864899662,0.282654376033512,0.590225447611262,0.0333286556313155,0.637845661490824,0.895698162944562,TRUE,34,67
"P_Hypaphorine","P_Hypaphorine",-0.291504774568924,0.582471300307818,0.804785726641125,-0.183137949246429,0.422965036848518,0.787942931548449,TRUE,34,67
"P_MMV006372","P_MMV006372",11.1065629404449,0.0504400501884839,0.225755976224303,-0.468874562903771,0.291914554579492,0.680262132884991,FALSE,34,67
"P_Genistein","P_Genistein",-1.41646850315383,0.273775189561383,0.584053737730951,-1.44280715870217,0.0350844662052304,0.261435861077685,TRUE,34,67
"P_(E)-5-hydroxy-3-isobutyl-6-(3-methylbenzylidene)-1,6-dihydropyrazin-2(3H)-one","P_(E)-5-hydroxy-3-isobutyl-6-(",-0.422046374349119,0.488001310283326,0.736109720562054,0.109994538990968,0.760043541455866,0.927624434815535,FALSE,34,67
"P_N-ACETYLNEURAMINATE","P_N-ACETYLNEURAMINATE",0,NA,NA,-0.177391981287478,0.708630606386429,0.921127425406416,FALSE,34,67
"P_Lauryldiethanolamine","P_Lauryldiethanolamine",-0.152875092541056,0.0302568951921988,0.1715834056469,-0.676725522054348,0.337362582808397,0.705255716097193,TRUE,34,67
"P_Oleamide","P_Oleamide",-0.250285086617119,0.0152905677650066,0.110486683205209,-0.328000137199453,0.155805310857981,0.489673834125084,TRUE,34,67
"P_Hexaethylene glycol; CE10; IIRDTKBZINWQAW-UHFFFAOYSA-N","P_Hexaethylene glycol",0.404746228898745,5.67268799470708e-06,8.76332490216818e-05,-0.0647591869489581,0.126731658217414,0.459687880023346,FALSE,34,67
"P_Piperine","P_Piperine",0.207651588112878,0.237138636475092,0.539279741831682,0.934571074873695,0.162184497318463,0.496413130345828,TRUE,34,67
"P_Viridiflorine","P_Viridiflorine",0.296016392429767,0.309210060402269,0.602287422000941,0,NA,NA,FALSE,34,67
