"feature","R2","F","p"
"g__Actinomyces_HROM_Genome_0303",0.00765027093294948,0.716960136053233,0.735
"g__Actinomyces_HROM_Genome_0320",0.00998559139003694,0.938026751123075,0.455
"g__Actinomyces_HROM_Genome_0322",0.00911492198275276,0.855485427323441,0.53
"g__Actinomyces_HROM_Genome_0328",0.0135819856115115,1.28051662018117,0.19
"g__Actinomyces_HROM_Genome_0330",0.00938890268844831,0.881443739521402,0.49
"g__Actinomyces_HROM_Genome_0334",0.00970751217197638,0.9116484706189,0.435
"g__Actinomyces_HROM_Genome_0335",0.0132483296041752,1.24863700782392,0.165
"g__Actinomyces_HROM_Genome_0338",0.0077337254607531,0.724842198414949,0.715
"g__Actinomyces_HROM_Genome_0339",0.0106819206862444,1.00414481913625,0.265
"g__Actinomyces_HROM_Genome_0340",0.00883856677809641,0.829316681230208,0.525
"s__Actinomyces dentalis",0.00890633273103616,0.835732253510184,0.53
"s__Actinomyces gerencseriae",0.0102255194073922,0.9607979631058,0.255
"s__Actinomyces graevenitzii",0.0108622528570412,1.02128294933914,0.31
"s__Actinomyces israelii",0.00877252340236002,0.823065033689184,0.495
"s__Actinomyces johnsonii",0.00845110546557073,0.792651590486734,0.52
"s__Actinomyces massiliensis",0.0122206469154105,1.15058100737184,0.145
"s__Actinomyces naeslundii",0.0143573983198643,1.35468783661676,0.115
"s__Actinomyces oricola",0.0130258276793349,1.2273897414456,0.16
"s__Actinomyces oris",0.0112909732652554,1.06205211571359,0.295
"s__Actinomyces oris_A",0.0112277933581081,1.05604180142801,0.3
"s__Actinomyces oris_B",0.0176249442961473,1.66852752421253,0.075
"s__Actinomyces oris_C",0.0125168359399663,1.17882084959385,0.17
"s__Actinomyces oris_D",0.00715880753297463,0.670569579121036,0.78
"s__Actinomyces oris_E",0.00913803002832411,0.857674245645369,0.485
"s__Actinomyces sp000195595",0.0120172437868934,1.13119754889732,0.24
"s__Actinomyces sp000220835",0.00971258386153977,0.912129432731179,0.335
"s__Actinomyces sp001278845",0.00971931100830585,0.912767393952509,0.39
"s__Actinomyces sp002999235",0.00909339800810807,0.853446745691347,0.44
"s__Actinomyces sp900323545",0.0100827921552553,0.947250601371306,0.44
"s__Actinomyces timonensis",0.0114094289444593,1.07332289311821,0.175
"g__Mobiluncus_HROM_Genome_0351",0.00664139794906024,0.621779494320954,0.845
"g__Pauljensenia_HROM_Genome_0220",0.0095756570978729,0.899146024109972,0.39
"g__Pauljensenia_HROM_Genome_0222",0.0103794400124566,0.97541215308887,0.405
"g__Pauljensenia_HROM_Genome_0223",0.00701328399365347,0.656842031112935,0.8
"g__Pauljensenia_HROM_Genome_0224",0.0060886748021807,0.569715569434833,0.96
"g__Pauljensenia_HROM_Genome_0225",0.00771446149553395,0.723022649474427,0.71
"g__Pauljensenia_HROM_Genome_0239",0.00992896343891881,0.932653886156261,0.385
"g__Pauljensenia_HROM_Genome_0243",0.0105171722732062,0.988493174414384,0.395
"g__Pauljensenia_HROM_Genome_0247",0.0155770557664079,1.47158921352018,0.105
"g__Pauljensenia_HROM_Genome_0252",0.00738727371052257,0.692129404432241,0.76
"g__Pauljensenia_HROM_Genome_0253",0.00643447965159184,0.60228197873473,0.93
"g__Pauljensenia_HROM_Genome_0255",0.00757820313984173,0.710154587731804,0.81
"g__Pauljensenia_HROM_Genome_0257",0.00703024500671771,0.658441792750445,0.845
"g__Pauljensenia_HROM_Genome_0258",0.00531043529168617,0.496507151225255,0.975
"g__Pauljensenia_HROM_Genome_0259",0.00909074136466578,0.85319512311172,0.485
"g__Pauljensenia_HROM_Genome_0260",0.0081415655205956,0.763380707462355,0.645
"g__Pauljensenia_HROM_Genome_0261",0.00621474313622146,0.581585516263923,0.94
"g__Pauljensenia_HROM_Genome_0264",0.00759087711637271,0.711351352526254,0.74
