"feature","R2","F","p"
"s__Pauljensenia sp000278725",0.00493300539663034,0.461043833605882,0.69
"s__Pauljensenia sp000308055",0.00600890886809319,0.562206774002674,0.58
"s__Pauljensenia sp000411415",0.00521148830410402,0.48720748840919,0.56
"s__Pauljensenia sp000466265",0.00489465122690156,0.457441581098002,0.71
"s__Pauljensenia sp000758755",0.010121363010205,0.950911278186089,0.355
"s__Pauljensenia sp001064145",0.00587345633971105,0.549458661049277,0.545
"s__Pauljensenia sp001072465",0.00932683314949031,0.875561700798026,0.415
"s__Pauljensenia sp001838165",0.00475191880648182,0.444038483824898,0.72
"s__Pauljensenia sp018375675",0.00484828058339736,0.453086786123712,0.66
"s__Pauljensenia sp018382595",0.00571644023284213,0.534685439009789,0.465
"s__Pauljensenia sp900556405",0.0036486458125011,0.340566667708615,0.8
"s__Pauljensenia sp902373435",0.00246996432064218,0.230275453974961,0.92
"s__Pauljensenia sp902373545",0.00760408044738118,0.712598135152805,0.545
"g__Peptidiphaga_HROM_Genome_0348",0.00686587191357769,0.642940434634989,0.545
"s__Peptidiphaga gingivicola",0.0141065736435559,1.33068272267431,0.205
"s__Peptidiphaga sp000466165",0.01034296455641,0.971948532973325,0.29
"s__Peptidiphaga sp905373325",0.0142864572194974,1.34789719705527,0.215
"s__Alloscardovia omnicolens",0.0061515201955043,0.575632392469362,0.595
"s__Bifidobacterium dentium",0.00327913270570209,0.305962633709213,0.83
"s__Bifidobacterium longum",0.0384109190259404,3.71490851975348,0.085
"s__Parascardovia denticolens",0.00583560764442482,0.54589715252787,0.66
"s__Scardovia wiggsiae",0.00622035425419898,0.582113900316769,0.625
"g__Rothia_HROM_Genome_0029",0.00526995367237103,0.492702209348045,0.765
"g__Rothia_HROM_Genome_0036",0.00524158212801437,0.490035700273981,0.515
"g__Rothia_HROM_Genome_0045",0.00811952485436526,0.761297182853708,0.295
"g__Rothia_HROM_Genome_0056",0.0126631509643392,1.19277735945314,0.295
"g__Rothia_HROM_Genome_0064",0.0150980721987172,1.4256452087725,0.215
"g__Rothia_HROM_Genome_0065",0.00252500423917374,0.235419830312683,0.855
"g__Rothia_HROM_Genome_0069",0.00445955734840637,0.416596670143453,0.68
"g__Rothia_HROM_Genome_0083",0.00892413095726808,0.837417401583558,0.39
"g__Rothia_HROM_Genome_0121",0.00288796095076132,0.269358264570648,0.91
"g__Rothia_HROM_Genome_0129",0.0124741895918962,1.17475373283349,0.32
"g__Rothia_HROM_Genome_0142",0.0037130958656634,0.346604892700802,0.805
"g__Rothia_HROM_Genome_0162",0.00478753451672436,0.447382569549264,0.77
"g__Rothia_HROM_Genome_0195",0.00653805754444676,0.612040910324808,0.645
"g__Rothia_HROM_Genome_0196",0.00957906150049912,0.899468786368825,0.41
"s__Rothia aeria",0.00804917549781562,0.754647612367809,0.3
"s__Rothia dentocariosa",0.0159391287695029,1.50634886408014,0.225
"s__Rothia mucilaginosa",0.0148457317409805,1.40145873229692,0.2
"s__Rothia mucilaginosa_A",0.00631850524883322,0.591357483504952,0.53
"s__Rothia mucilaginosa_B",0.0177933260463546,1.68475674844486,0.215
"s__Rothia sp001808955",0.0277555108923615,2.65495206391841,0.05
"s__Rothia sp015265375",0.0123945866981544,1.16716306675008,0.225
"s__Rothia sp902373285",0.00421373410480554,0.393535525813488,0.77
"g__Corynebacterium_HROM_Genome_0380",0.00305516013792898,0.285000615346688,0.795
"g__Corynebacterium_HROM_Genome_0382",0.00513389874693195,0.479916425801727,0.7
"s__Corynebacterium durum",0.0026651275864651,0.248519200919391,0.91
"s__Corynebacterium matruchotii",0.0056403901965972,0.527531773326202,0.67
"g__Arachnia_HROM_Genome_0390",0.00691279355145005,0.647364900192339,0.615
"g__Arachnia_HROM_Genome_0393",0.0105005349319748,0.986912861652248,0.32
"g__Arachnia_HROM_Genome_0394",0.00441456830672747,0.412375311506308,0.64
"g__Arachnia_HROM_Genome_0395",0.00256899654620062,0.239532035769254,0.895
