"组合","n_sig","pc_q","R2","ci_lo","ci_hi","p"
"① 唾液菌→尿菌",112,10,0.3231,0.2764,0.4048,0.001
"② 唾液菌→尿代谢",80,10,0.2405,0.2181,0.2995,0.001
"③ 唾液代谢→尿代谢",343,10,0.212,0.2119,0.2466,0.001
