"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","Genus"
"Kingella_B_oralis","KidneyDisease","KidneyDisease",-3.75436536008324,0.675131724207358,2.45884214849586e-07,"KidneyDisease",0.00146178165728079,101,96,"Kingella_B"
"Kingella_B_oralis_A","KidneyDisease","KidneyDisease",-3.01954532894173,0.65043848457815,1.1037694626883e-05,"KidneyDisease",0.0156106625977679,101,74,"Kingella_B"
"Streptococcus_mitis_AZ","KidneyDisease","KidneyDisease",3.13461728158908,0.681705251637724,1.31292368358015e-05,"KidneyDisease",0.0156106625977679,101,50,"Streptococcus"
"Treponema_D_sp024696245","Periodontitis","Periodontitis",3.29155115908298,0.715598436488333,1.30512928514638e-05,"Periodontitis",0.0156106625977679,101,41,"Treponema_D"
"Desulfovibrio_sp000403945","Periodontitis","Periodontitis",2.74695163543629,0.618679039935559,2.42688884777368e-05,"Periodontitis",0.0178198035742698,101,18,"Desulfovibrio"
"Prevotella_sp905372445","Periodontitis","Periodontitis",5.97730546453759,1.35687529086573,2.77382995100716e-05,"Periodontitis",0.0178198035742698,101,99,"Prevotella"
"Porphyromonas_gingivalis","Periodontitis","Periodontitis",4.75256035966585,1.09438033496623,3.52011080034156e-05,"Periodontitis",0.0190245988254824,101,101,"Porphyromonas"
"Streptococcus_sp000235485","KidneyDisease","KidneyDisease",2.3779920204288,0.555159639250377,4.40410881244293e-05,"KidneyDisease",0.0202345465150528,101,85,"Streptococcus"
"Haemophilus_haemolyticus_G","Periodontitis","Periodontitis",1.39226295322805,0.330441811010046,5.72720225945434e-05,"Periodontitis",0.0243201553088972,101,13,"Haemophilus"
"Neisseria_cinerea","KidneyDisease","KidneyDisease",3.20060101545758,0.763487533690678,6.19892098676204e-05,"KidneyDisease",0.0245683901775336,101,97,"Neisseria"
"Treponema_D_sp024697295","Periodontitis","Periodontitis",1.43380528106106,0.349340541694162,8.57268868096594e-05,"Periodontitis",0.0268234916886013,101,29,"Treponema_D"
"Prevotella_intermedia","Periodontitis","Periodontitis",2.56647497428872,0.635826566582414,0.000109845354763141,"Periodontitis",0.0309583499065827,101,101,"Prevotella"
"Flexilinea_sp001717545","Periodontitis","Periodontitis",2.87065572171958,0.719330864120461,0.000129615824617137,"Periodontitis",0.0321069198895366,101,81,"Flexilinea"
"Treponema_B_denticola_A","Periodontitis","Periodontitis",3.80187209424502,0.959244441999881,0.000143017835513772,"Periodontitis",0.032701578158822,101,89,"Treponema_B"
"Treponema_B_denticola_B","Periodontitis","Periodontitis",3.53274856403974,0.890218688167076,0.000140469293723358,"Periodontitis",0.032701578158822,101,84,"Treponema_B"
"Treponema_B_denticola_C","Periodontitis","Periodontitis",3.29068045311625,0.843142711997479,0.000177577474186313,"Periodontitis",0.0351899361345878,101,83,"Treponema_B"
"Desulfovibrio_sp000403945","KidneyDisease","KidneyDisease",-2.03503550404989,0.526004449929096,0.000200364826403376,"KidneyDisease",0.0380115951492043,101,18,"Desulfovibrio"
