"feature","Genus","term","lfc","q","diff_abn"
"AWVT01_sp000469545","AWVT01","Periodontitis",-0.204135929571917,0.931066177771918,FALSE
"AWVT01_sp916439735","AWVT01","Periodontitis",-1.57896186241735,0.0153049309492389,TRUE
"Abiotrophia_defectiva","Abiotrophia","Periodontitis",1.21414013179946,0.608162274774077,FALSE
"Abiotrophia_sp001815865","Abiotrophia","Periodontitis",0.981907475010785,0.77226514789054,FALSE
"Acidovorax_sp000302535","Acidovorax","Periodontitis",-0.32858659836855,0.893331348406372,FALSE
"Acinetobacter_baumannii","Acinetobacter","Periodontitis",-0.27059408047252,0.885663601912695,FALSE
"Acinetobacter_johnsonii","Acinetobacter","Periodontitis",0.162360121438946,0.938021888105513,FALSE
"Actinobacillus_B_seminis","Actinobacillus_B","Periodontitis",0.0074021819400049,0.994574801606768,FALSE
"Actinomyces_dentalis","Actinomyces","Periodontitis",-0.701764201167214,0.632942859387323,FALSE
"Actinomyces_denticolens","Actinomyces","Periodontitis",0.285988696411732,0.76907100244705,FALSE
"Actinomyces_gerencseriae","Actinomyces","Periodontitis",-0.8988527804922,0.575575556539127,FALSE
"Actinomyces_glycerinitolerans","Actinomyces","Periodontitis",-0.142841866153924,0.875968450173405,FALSE
"Actinomyces_graevenitzii","Actinomyces","Periodontitis",-0.473508823314212,0.868552608557447,FALSE
"Actinomyces_haliotis","Actinomyces","Periodontitis",-0.0337588721994749,0.964892349556152,FALSE
"Actinomyces_howellii","Actinomyces","Periodontitis",0.132396578960918,0.819024027750225,FALSE
"Actinomyces_israelii","Actinomyces","Periodontitis",0.417860921180224,0.873540514539212,FALSE
"Actinomyces_johnsonii","Actinomyces","Periodontitis",-1.03848863366011,0.212783663461439,FALSE
"Actinomyces_massiliensis","Actinomyces","Periodontitis",-0.470299093466558,0.857780728636503,FALSE
"Actinomyces_naeslundii","Actinomyces","Periodontitis",-0.604397868316474,0.819024027750225,FALSE
"Actinomyces_oricola","Actinomyces","Periodontitis",0.320557916694396,0.893331348406372,FALSE
"Actinomyces_oris","Actinomyces","Periodontitis",-0.154034513411035,0.93885385534952,FALSE
"Actinomyces_oris_A","Actinomyces","Periodontitis",-1.25448691301277,0.307842387142457,FALSE
"Actinomyces_oris_B","Actinomyces","Periodontitis",0.170537358575137,0.931066177771918,FALSE
"Actinomyces_oris_C","Actinomyces","Periodontitis",-0.542923545179475,0.689386536973795,FALSE
"Actinomyces_oris_D","Actinomyces","Periodontitis",-0.192418989961788,0.938021888105513,FALSE
"Actinomyces_oris_E","Actinomyces","Periodontitis",-0.477961772324399,0.875968450173405,FALSE
"Actinomyces_radicidentis","Actinomyces","Periodontitis",-0.152494393869813,0.819024027750225,FALSE
"Actinomyces_respiraculi","Actinomyces","Periodontitis",-0.210945975176561,0.683358294287369,FALSE
"Actinomyces_ruminicola","Actinomyces","Periodontitis",-0.834778773696757,0.120411644096047,FALSE
"Actinomyces_sp000195595","Actinomyces","Periodontitis",-0.907162366880055,0.57522567177908,FALSE
"Actinomyces_sp000220835","Actinomyces","Periodontitis",-1.28875518548241,0.577942499664967,FALSE
"Actinomyces_sp001278845","Actinomyces","Periodontitis",-0.454673275049034,0.830083572453996,FALSE
"Actinomyces_sp002999235","Actinomyces","Periodontitis",-0.228528991392308,0.93516669917832,FALSE
"Actinomyces_sp011752065","Actinomyces","Periodontitis",-0.369795839893285,0.789676745461493,FALSE
"Actinomyces_sp023369555","Actinomyces","Periodontitis",0.10650058792867,0.903619051368462,FALSE
"Actinomyces_sp900323545","Actinomyces","Periodontitis",0.501996531702933,0.856818039687146,FALSE
"Actinomyces_sp915063485","Actinomyces","Periodontitis",-1.01926055404542,0.752763074200707,FALSE
"Actinomyces_sp915069725","Actinomyces","Periodontitis",-0.772356490591657,0.789275472659193,FALSE
"Actinomyces_timonensis","Actinomyces","Periodontitis",1.55486716647633,0.265697825764216,FALSE
"Actinomyces_urogenitalis","Actinomyces","Periodontitis",-0.127375013645078,0.928315219344036,FALSE
"Actinomyces_viscosus","Actinomyces","Periodontitis",-0.099965260483371,0.952324916212912,FALSE
"Actinomyces_wuliandei","Actinomyces","Periodontitis",-0.142916050208788,0.875968450173405,FALSE
"Aeromonas_salmonicida","Aeromonas","Periodontitis",-0.3527839748369,0.555196462682194,FALSE
"Aggregatibacter_actinomycetemcomitans","Aggregatibacter","Periodontitis",1.35286151604604,0.59917720164348,FALSE
"Aggregatibacter_aphrophilus","Aggregatibacter","Periodontitis",0.890082574120182,0.752763074200707,FALSE
"Aggregatibacter_kilianii","Aggregatibacter","Periodontitis",1.09451603562879,0.371639497776618,FALSE
"Aggregatibacter_kilianii_A","Aggregatibacter","Periodontitis",-0.223817967153212,0.830083572453996,FALSE
"Aggregatibacter_segnis","Aggregatibacter","Periodontitis",0.363395212223784,0.897094033392487,FALSE
"Aggregatibacter_segnis_A","Aggregatibacter","Periodontitis",0.330419397151559,0.89010172656167,FALSE
"Aggregatibacter_sp000466335","Aggregatibacter","Periodontitis",-0.164085517169762,0.938021888105513,FALSE
"Akkermansia_muciniphila_B","Akkermansia","Periodontitis",0.371792075203328,0.857780728636503,FALSE
"Alistipes_sp017481145","Alistipes","Periodontitis",0.250821111495471,0.875968450173405,FALSE
"Allisonella_pneumosinta","Allisonella","Periodontitis",0.858836587013987,0.678358016396519,FALSE
"Alloprevotella_rava","Alloprevotella","Periodontitis",0.807607231641494,0.548625327410663,FALSE
"Alloprevotella_sp000318095","Alloprevotella","Periodontitis",1.7724459097524,0.115150165686896,FALSE
"Alloprevotella_sp003639005","Alloprevotella","Periodontitis",1.31732333962383,0.244809620806681,FALSE
"Alloprevotella_sp015257125","Alloprevotella","Periodontitis",0.912014136591146,0.419275293104881,FALSE
"Alloprevotella_sp015259235","Alloprevotella","Periodontitis",1.03357520150353,0.544311524722738,FALSE
"Alloprevotella_sp900095835","Alloprevotella","Periodontitis",1.15919800841645,0.513462399623542,FALSE
"Alloprevotella_sp900541335","Alloprevotella","Periodontitis",0.324885595066832,0.752763074200707,FALSE
"Alloprevotella_sp905369775","Alloprevotella","Periodontitis",0.19487686561853,0.938021888105513,FALSE
"Alloprevotella_sp905371275","Alloprevotella","Periodontitis",0.865728767295948,0.650463956526574,FALSE
"Alloprevotella_sp916438195","Alloprevotella","Periodontitis",0.63954060814569,0.754457896279163,FALSE
"Alloprevotella_tannerae","Alloprevotella","Periodontitis",0.309065902537654,0.875968450173405,FALSE
"Alloprevotella_tannerae_A","Alloprevotella","Periodontitis",0.551864990762071,0.738215691061175,FALSE
"Alloprevotella_tannerae_B","Alloprevotella","Periodontitis",-0.203620301015538,0.931486127236172,FALSE
"Alloscardovia_omnicolens","Alloscardovia","Periodontitis",0.588821661649154,0.789676745461493,FALSE
"Alteromonas_indica","Alteromonas","Periodontitis",-0.00583330596054388,0.994574801606768,FALSE
"Anaeroglobus_geminatus","Anaeroglobus","Periodontitis",-0.21400609029676,0.931066177771918,FALSE
"Anaeroglobus_micronuciformis","Anaeroglobus","Periodontitis",-0.0654030895194485,0.985578636622586,FALSE
"Arachnia_massiliensis","Arachnia","Periodontitis",0.829727599153865,0.502335745811026,FALSE
"Arachnia_propionica","Arachnia","Periodontitis",0.147403588711054,0.93516669917832,FALSE
"Arachnia_propionica_B","Arachnia","Periodontitis",0.141561604382678,0.89010172656167,FALSE
"Arachnia_rubra","Arachnia","Periodontitis",-0.730294815449179,0.76907100244705,FALSE
"Arachnia_sp013333945","Arachnia","Periodontitis",0.29978883464295,0.92019234493797,FALSE
"Arachnia_sp905372155","Arachnia","Periodontitis",0.633156752645057,0.752763074200707,FALSE
"Bacillus_A_bombysepticus","Bacillus_A","Periodontitis",0.621288209902597,0.897094033392487,FALSE
"Bacillus_A_cereus","Bacillus_A","Periodontitis",0.61192894738685,0.840578857209528,FALSE
"Bacillus_A_thuringiensis_S","Bacillus_A","Periodontitis",0.846561277125511,0.65157854827351,FALSE
"Bacteroides_D_periocalifornicus","Bacteroides_D","Periodontitis",2.04300365834853,0.04419129039436,TRUE
"Bacteroides_D_sp013333195","Bacteroides_D","Periodontitis",0.617190553044894,0.77226514789054,FALSE
"Bacteroides_D_sp013333835","Bacteroides_D","Periodontitis",0.634030921263419,0.843468148588481,FALSE
"Bacteroides_D_sp905373475","Bacteroides_D","Periodontitis",0.42257110051292,0.901875023080664,FALSE
"Bacteroides_D_sp905373625","Bacteroides_D","Periodontitis",0.66899816812291,0.764025822042318,FALSE
"Bacteroides_D_sp905373665","Bacteroides_D","Periodontitis",2.51852625224764,0.149100742874051,FALSE
"Bacteroides_F_pectinophilus","Bacteroides_F","Periodontitis",0.630930324645942,0.73646631726645,FALSE
"Bacteroides_heparinolyticus","Bacteroides","Periodontitis",1.77719513806657,0.265697825764216,FALSE
"Bacteroides_pyogenes","Bacteroides","Periodontitis",0.444119832084288,0.663103268016053,FALSE
"Bacteroides_sp900552405","Bacteroides","Periodontitis",-0.271346703932926,0.893331348406372,FALSE
"Bacteroides_stercoris","Bacteroides","Periodontitis",-0.0933580353092064,0.941770406378362,FALSE
"Bacteroides_uniformis","Bacteroides","Periodontitis",-0.208345617055609,0.903619051368462,FALSE
"Bacteroides_zoogleoformans","Bacteroides","Periodontitis",0.209400164943461,0.915480302915744,FALSE
"Bergeyella_A_cardium","Bergeyella_A","Periodontitis",1.30893066991272,0.600207633951212,FALSE
"Bergeyella_A_sp916710115","Bergeyella_A","Periodontitis",0.167267034562506,0.956961761971905,FALSE
"Berryella_intestinalis","Berryella","Periodontitis",0.733352471337487,0.346305086467853,FALSE
