"comparison","feature","Genus","LDA","enriched_in"
"N vs P","Veillonella_sp900765235","Veillonella",-2.5106893573492,"N"
"N vs P","Streptococcus_sp013394695","Streptococcus",-2.51036965694503,"N"
"N vs P","Centipeda_sp000286455","Centipeda",-2.26263820953473,"N"
"N vs P","Streptococcus_mitis_BJ","Streptococcus",-2.12208982613277,"N"
"N vs P","Streptococcus_oralis_BO","Streptococcus",-2.0430983681575,"N"
"N vs P","Streptococcus_sp934201655","Streptococcus",-2.01133760469426,"N"
"N vs P","Treponema_sp010365865","Treponema",2.00456099424415,"P"
"N vs P","Campylobacter_A_showae_A","Campylobacter_A",2.00505119550786,"P"
"N vs P","Streptococcus_mitis_BP","Streptococcus",2.01284366061447,"P"
"N vs P","Bacteroides_heparinolyticus","Bacteroides",2.02738983807718,"P"
"N vs P","Streptococcus_sinensis","Streptococcus",2.09817992335328,"P"
"N vs P","Prevotella_baroniae","Prevotella",2.10004783954199,"P"
"N vs P","Mesocricetibacter_sp905373425","Mesocricetibacter",2.10833871224705,"P"
"N vs P","Treponema_C_sp905372025","Treponema_C",2.11959137331663,"P"
"N vs P","Saccharimonas_sp905371715","Saccharimonas",2.15536623972226,"P"
"N vs P","Allisonella_pneumosinta","Allisonella",2.15544546880255,"P"
"N vs P","Nanosyncoccus_nanoralicus","Nanosyncoccus",2.20335661690573,"P"
"N vs P","Treponema_C_lecithinolyticum","Treponema_C",2.22448981645288,"P"
"N vs P","GN02_873_sp013332525","GN02_873",2.23707785858664,"P"
"N vs P","Treponema_medium","Treponema",2.23965936090563,"P"
"N vs P","CAJPNN01_sp905372035","CAJPNN01",2.24526464020102,"P"
"N vs P","Treponema_B_denticola_C","Treponema_B",2.25286922630004,"P"
"N vs P","Treponema_vincentii","Treponema",2.26073029597656,"P"
"N vs P","Treponema_sp018336815","Treponema",2.27308279764864,"P"
"N vs P","Leptotrichia_A_sp905371725","Leptotrichia_A",2.28317313680831,"P"
"N vs P","F0058_sp905372135","F0058",2.31075350881841,"P"
"N vs P","Gemella_haemolysans_A","Gemella",2.31445280245477,"P"
"N vs P","Treponema_sp000775995","Treponema",2.31485514926854,"P"
"N vs P","Alloprevotella_sp000318095","Alloprevotella",2.3192475757291,"P"
"N vs P","Veillonella_sp900757715","Veillonella",2.3299354359658,"P"
"N vs P","Streptococcus_oralis_D","Streptococcus",2.36259523790746,"P"
"N vs P","Bacteroides_D_sp905373475","Bacteroides_D",2.37653812094845,"P"
"N vs P","Bacteroides_D_sp905373665","Bacteroides_D",2.37859513659178,"P"
"N vs P","W11650_sp002999035","W11650",2.39744319916985,"P"
"N vs P","Arachnia_sp905372155","Arachnia",2.40994390463451,"P"
"N vs P","HOT_345_sp003260355","HOT_345",2.42708603285509,"P"
"N vs P","Alloprevotella_sp003639005","Alloprevotella",2.43991430410247,"P"
"N vs P","Treponema_B_denticola_B","Treponema_B",2.4494921834584,"P"
"N vs P","CAJPSE01_sp905373185","CAJPSE01",2.45786085888519,"P"
"N vs P","Fretibacterium_fastidiosum","Fretibacterium",2.47532191533865,"P"
"N vs P","CAJPNX01_sp905372165","CAJPNX01",2.48844119920336,"P"
"N vs P","Treponema_B_denticola_A","Treponema_B",2.49134727110029,"P"
"N vs P","Leptotrichia_A_sp001274535","Leptotrichia_A",2.52695608967955,"P"
"N vs P","F0058_sp905372605","F0058",2.52710500805666,"P"
"N vs P","Mogibacterium_timidum","Mogibacterium",2.55966329210843,"P"
"N vs P","Streptococcus_pseudopneumoniae_J","Streptococcus",2.601965646513,"P"
"N vs P","Alloprevotella_tannerae_A","Alloprevotella",2.61132926021152,"P"
"N vs P","Peptostreptococcus_stomatis","Peptostreptococcus",2.63397612221556,"P"
"N vs P","Treponema_sp905372265","Treponema",2.6803262507969,"P"
"N vs P","Gallibacter_brachus","Gallibacter",2.68893271005182,"P"
"N vs P","Parvimonas_micra","Parvimonas",2.69085211057632,"P"
"N vs P","Capnocytophaga_bilenii","Capnocytophaga",2.70221849440665,"P"
"N vs P","Fusobacterium_nucleatum_J","Fusobacterium",2.82165850896171,"P"
"N vs P","Campylobacter_A_rectus","Campylobacter_A",2.82267706386768,"P"
"N vs P","Hornefia_nodata","Hornefia",2.84522608234407,"P"
"N vs P","Treponema_B_denticola","Treponema_B",2.85752908546217,"P"
"N vs P","Treponema_B_sp905372345","Treponema_B",2.90282379143148,"P"
"N vs P","Treponema_D_sp905372235","Treponema_D",2.93238105528415,"P"
"N vs P","Gemella_morbillorum","Gemella",2.93986545074949,"P"
"N vs P","Treponema_sp905373565","Treponema",2.94196589975714,"P"
"N vs P","Filifactor_alocis","Filifactor",3.00423381180827,"P"
"N vs P","GN02_873_sp003260345","GN02_873",3.01322639017754,"P"
"N vs P","Prevotella_intermedia","Prevotella",3.03555884442047,"P"
"N vs P","Eubacterium_N_saphenum","Eubacterium_N",3.08798615766552,"P"
"N vs P","Streptococcus_symci","Streptococcus",3.20416226947558,"P"
"N vs P","Capnocytophaga_sputigena","Capnocytophaga",3.2386563184751,"P"
"N vs P","HOT_345_sp916049765","HOT_345",3.26038750781942,"P"
"N vs P","Capnocytophaga_leadbetteri","Capnocytophaga",3.29084098877919,"P"
"N vs P","Tannerella_forsythia","Tannerella",3.29749691424522,"P"
"N vs P","Prevotella_sp905372445","Prevotella",3.35612190123733,"P"
"N vs P","Porphyromonas_endodontalis","Porphyromonas",3.55894849593707,"P"
"N vs P","Porphyromonas_gingivalis","Porphyromonas",3.76816921218715,"P"
"P vs PD","Veillonella_tobetsuensis","Veillonella",-3.85790631356274,"P"
"P vs PD","Haemophilus_A_parahaemolyticus","Haemophilus_A",-3.56090969736119,"P"
"P vs PD","Porphyromonas_endodontalis","Porphyromonas",-3.40427954496333,"P"
"P vs PD","Haemophilus_D_sp900755445","Haemophilus_D",-3.40412002066016,"P"
"P vs PD","Prevotella_shahii","Prevotella",-3.30708354319676,"P"
"P vs PD","Aggregatibacter_sp000466335","Aggregatibacter",-3.27077650726531,"P"
"P vs PD","Prevotella_loescheii","Prevotella",-3.15883233776346,"P"
"P vs PD","Alloprevotella_sp900095835","Alloprevotella",-3.12276920490872,"P"
"P vs PD","Haemophilus_A_paraphrohaemolyticus","Haemophilus_A",-3.09425962576685,"P"
"P vs PD","Streptococcus_pseudopneumoniae","Streptococcus",-3.07206989716287,"P"
"P vs PD","Prevotella_oris","Prevotella",-3.03373463377889,"P"
"P vs PD","Streptococcus_shenyangsis","Streptococcus",-3.02811269650021,"P"
"P vs PD","Prevotella_sp927910885","Prevotella",-3.02204525064712,"P"
"P vs PD","Gemella_haemolysans_B","Gemella",-2.96145494084098,"P"
"P vs PD","Prevotella_melaninogenica_A","Prevotella",-2.94801453364378,"P"
"P vs PD","Haemophilus_D_parainfluenzae_A","Haemophilus_D",-2.94457615715262,"P"
"P vs PD","Campylobacter_A_rectus","Campylobacter_A",-2.92452809529992,"P"
"P vs PD","Treponema_sp905373565","Treponema",-2.8475273262865,"P"
"P vs PD","Actinomyces_naeslundii","Actinomyces",-2.79523953088487,"P"
"P vs PD","Haemophilus_D_parainfluenzae_L","Haemophilus_D",-2.73527149224126,"P"
"P vs PD","F0058_sp905372605","F0058",-2.73455611416241,"P"
"P vs PD","Aggregatibacter_segnis","Aggregatibacter",-2.69633480638907,"P"
"P vs PD","Streptococcus_oralis_BN","Streptococcus",-2.69446012535744,"P"
"P vs PD","Arachnia_rubra","Arachnia",-2.65470778021832,"P"
"P vs PD","Alloprevotella_tannerae","Alloprevotella",-2.64959583859765,"P"
"P vs PD","Treponema_B_sp905372345","Treponema_B",-2.64231660800611,"P"
"P vs PD","F0058_sp000163695","F0058",-2.64024163519968,"P"
"P vs PD","Treponema_B_denticola","Treponema_B",-2.60206289697295,"P"
"P vs PD","Fusobacterium_nucleatum_J","Fusobacterium",-2.59418375468281,"P"
"P vs PD","JABZIP01_sp015258265","JABZIP01",-2.57793964212679,"P"
"P vs PD","CAJPNX01_sp905372165","CAJPNX01",-2.55890258648512,"P"
"P vs PD","Haemophilus_haemolyticus_I","Haemophilus",-2.55080737896779,"P"
"P vs PD","Haemophilus_D_sp905214375","Haemophilus_D",-2.54387144217221,"P"
"P vs PD","Bacteroides_D_sp013333195","Bacteroides_D",-2.53474157901206,"P"
"P vs PD","Arachnia_sp905372155","Arachnia",-2.53178149025456,"P"
"P vs PD","Cardiobacterium_hominis","Cardiobacterium",-2.50462872614479,"P"
"P vs PD","Streptococcus_infantis_L","Streptococcus",-2.4552305607833,"P"
"P vs PD","F0058_sp905372135","F0058",-2.45000549990634,"P"
"P vs PD","CAJPSE01_sp905373185","CAJPSE01",-2.43854015780844,"P"
"P vs PD","Mesocricetibacter_sp905373425","Mesocricetibacter",-2.41734996214001,"P"
"P vs PD","Alloprevotella_sp000318095","Alloprevotella",-2.41434429289478,"P"
"P vs PD","Johnsonella_sp916438835","Johnsonella",-2.39719339424686,"P"
"P vs PD","Actinomyces_massiliensis","Actinomyces",-2.37576181252875,"P"
"P vs PD","Prevotella_conceptionensis","Prevotella",-2.35909629707114,"P"
"P vs PD","Prevotella_nigrescens","Prevotella",-2.35520664130178,"P"
"P vs PD","Treponema_vincentii","Treponema",-2.34158193988374,"P"
"P vs PD","Streptococcus_mitis_BC","Streptococcus",-2.29730183947195,"P"
"P vs PD","Leptotrichia_A_sp905371725","Leptotrichia_A",-2.28257004151154,"P"
"P vs PD","Treponema_B_denticola_C","Treponema_B",-2.27178917439292,"P"
"P vs PD","Prevotella_sp018127805","Prevotella",-2.26900983798181,"P"
"P vs PD","Treponema_sp000775995","Treponema",-2.26857784672742,"P"
"P vs PD","Treponema_sp010365865","Treponema",-2.26759862034764,"P"
"P vs PD","Streptococcus_oralis_H","Streptococcus",-2.26552354813482,"P"
"P vs PD","Prevotella_sp000163055","Prevotella",-2.26341665659076,"P"
"P vs PD","Alloprevotella_sp003639005","Alloprevotella",-2.24327249535219,"P"
"P vs PD","Prevotella_baroniae","Prevotella",-2.18945182839884,"P"
"P vs PD","Prevotella_micans","Prevotella",-2.14515309613658,"P"
"P vs PD","Treponema_medium","Treponema",-2.13956487078099,"P"
"P vs PD","CAJPNN01_sp905372035","CAJPNN01",-2.08575177064266,"P"
"P vs PD","Centipeda_periodontii","Centipeda",-2.08537612984778,"P"
"P vs PD","Treponema_sp018336815","Treponema",-2.07428253096558,"P"
"P vs PD","Streptococcus_sp905373305","Streptococcus",-2.01893157254784,"P"
"P vs PD","Leptotrichia_massiliensis","Leptotrichia",-2.01480177955682,"P"
"P vs PD","Nanosyncoccus_sp916049555","Nanosyncoccus",2.08304776739452,"PD"
"P vs PD","Veillonella_sp900556785","Veillonella",2.12694517021755,"PD"
"P vs PD","Granulicatella_sp900551535","Granulicatella",2.29671331649008,"PD"
"P vs PD","CAG_793_sp013333035","CAG_793",2.32599743624636,"PD"
"P vs PD","Oribacterium_asaccharolyticum","Oribacterium",2.42949859779719,"PD"
"P vs PD","Veillonella_sp900766125","Veillonella",2.44447978817062,"PD"
"P vs PD","Veillonella_sp019414865","Veillonella",2.45034487749964,"PD"
"P vs PD","Stomatobaculum_longum","Stomatobaculum",2.52414628690485,"PD"
"P vs PD","Streptococcus_parasanguinis_F","Streptococcus",3.12130775042861,"PD"
"P vs PD","Rothia_mucilaginosa_A","Rothia",3.13005522334392,"PD"
"P vs PD","Oribacterium_sinus","Oribacterium",3.25041013816954,"PD"
"P vs PD","Rothia_mucilaginosa_B","Rothia",3.36263563977401,"PD"
"P vs PC","Haemophilus_D_parainfluenzae","Haemophilus_D",-3.77078516447631,"P"
"P vs PC","Veillonella_rogosae","Veillonella",-3.75457030188115,"P"
"P vs PC","Veillonella_parvula_A","Veillonella",-3.5689757392055,"P"
"P vs PC","Streptococcus_oralis","Streptococcus",-3.51922820808392,"P"
"P vs PC","Porphyromonas_endodontalis","Porphyromonas",-3.4055362183709,"P"
"P vs PC","Porphyromonas_gingivalis","Porphyromonas",-3.36937378641945,"P"
"P vs PC","Rothia_aeria","Rothia",-3.34085401056249,"P"
"P vs PC","Streptococcus_sanguinis_H","Streptococcus",-3.27920742517741,"P"
"P vs PC","Tannerella_forsythia","Tannerella",-3.22861157464369,"P"
"P vs PC","Actinomyces_sp915069725","Actinomyces",-3.216351324827,"P"
"P vs PC","Prevotella_loescheii","Prevotella",-3.18445772519138,"P"
"P vs PC","Streptococcus_sanguinis","Streptococcus",-3.08755692526494,"P"
"P vs PC","Actinomyces_oris","Actinomyces",-3.02313120265791,"P"
"P vs PC","Eubacterium_N_saphenum","Eubacterium_N",-2.97477812317805,"P"
"P vs PC","Campylobacter_A_rectus","Campylobacter_A",-2.89534546854288,"P"
"P vs PC","Filifactor_alocis","Filifactor",-2.75776590804663,"P"
"P vs PC","Porphyromonas_catoniae","Porphyromonas",-2.74692762062365,"P"
"P vs PC","Cardiobacterium_hominis","Cardiobacterium",-2.73094768959708,"P"
"P vs PC","Haemophilus_D_parainfluenzae_A","Haemophilus_D",-2.71597496982796,"P"
"P vs PC","Pauljensenia_odontolytica_B","Pauljensenia",-2.68423872237844,"P"
"P vs PC","Prevotella_pleuritidis","Prevotella",-2.67626864345178,"P"
"P vs PC","Treponema_sp905373565","Treponema",-2.67222912387354,"P"
"P vs PC","Alloprevotella_tannerae","Alloprevotella",-2.67187460621802,"P"
"P vs PC","Treponema_B_sp905372345","Treponema_B",-2.66084383586745,"P"
"P vs PC","Mogibacterium_timidum","Mogibacterium",-2.63694443033983,"P"
"P vs PC","Leptotrichia_A_sp001274535","Leptotrichia_A",-2.62393221307176,"P"
"P vs PC","Corynebacterium_durum","Corynebacterium",-2.57772884394054,"P"
"P vs PC","Kingella_B_oralis","Kingella_B",-2.56874053799935,"P"
"P vs PC","Alloprevotella_tannerae_A","Alloprevotella",-2.56569564760424,"P"
"P vs PC","Arachnia_rubra","Arachnia",-2.56376053653042,"P"
"P vs PC","Streptococcus_oralis_BN","Streptococcus",-2.55061831894137,"P"
"P vs PC","Gallibacter_brachus","Gallibacter",-2.5154062145792,"P"
