"comparison","feature","Genus","LDA","enriched_in"
"P vs PC","Leptotrichia_hongkongensis","Leptotrichia",-2.49058462177098,"P"
"P vs PC","Bacteroides_D_sp905373475","Bacteroides_D",-2.45744385097002,"P"
"P vs PC","CAJPSE01_sp905373185","CAJPSE01",-2.45497048545184,"P"
"P vs PC","Arachnia_sp905372155","Arachnia",-2.39696271564287,"P"
"P vs PC","Alloprevotella_sp003639005","Alloprevotella",-2.39419274829306,"P"
"P vs PC","Fretibacterium_fastidiosum","Fretibacterium",-2.38360035006793,"P"
"P vs PC","Actinomyces_massiliensis","Actinomyces",-2.35583701582298,"P"
"P vs PC","Peptidiphaga_sp000466165","Peptidiphaga",-2.34796573968588,"P"
"P vs PC","F0058_sp000163695","F0058",-2.33047549274931,"P"
"P vs PC","Treponema_sp905372265","Treponema",-2.30069500173851,"P"
"P vs PC","Treponema_C_lecithinolyticum","Treponema_C",-2.29156840816118,"P"
"P vs PC","Rothia_dentocariosa","Rothia",-2.25669772355994,"P"
"P vs PC","Centipeda_artemidis","Centipeda",-2.24952844678486,"P"
"P vs PC","Prevotella_conceptionensis","Prevotella",-2.24713607185728,"P"
"P vs PC","Arachnia_propionica","Arachnia",-2.18230914633885,"P"
"P vs PC","Leptotrichia_A_sp905371725","Leptotrichia_A",-2.15587015776021,"P"
"P vs PC","W11650_sp002999035","W11650",-2.15146977067891,"P"
"P vs PC","Pauljensenia_sp000185285","Pauljensenia",-2.15012437206922,"P"
"P vs PC","Prevotella_micans","Prevotella",-2.13669515289809,"P"
"P vs PC","Streptococcus_mitis_BP","Streptococcus",-2.12250586783199,"P"
"P vs PC","Saccharimonas_sp013333795","Saccharimonas",-2.10280913437547,"P"
"P vs PC","Veillonella_sp900757715","Veillonella",-2.09700871040162,"P"
"P vs PC","Veillonella_sp934190855","Veillonella",-2.096666704621,"P"
"P vs PC","Treponema_sp000775995","Treponema",-2.09654337594823,"P"
"P vs PC","CAJPNN01_sp905372035","CAJPNN01",-2.05353781752173,"P"
"P vs PC","Saccharimonas_sp013333675","Saccharimonas",-2.05055449736274,"P"
"P vs PC","Mesocricetibacter_sp905373425","Mesocricetibacter",-2.041235472757,"P"
"P vs PC","Treponema_sp018336815","Treponema",-2.00217478567513,"P"
"P vs PC","Streptococcus_mitis_BK","Streptococcus",2.13431668747902,"PC"
"P vs PC","Streptococcus_oralis_O","Streptococcus",2.14566205135349,"PC"
"P vs PC","Streptococcus_oralis_K","Streptococcus",2.15002709142787,"PC"
"P vs PC","Streptococcus_sp905221295","Streptococcus",2.17782907810954,"PC"
"P vs PC","Streptococcus_sp002355895","Streptococcus",2.22656861455497,"PC"
"P vs PC","Granulicatella_sp916050055","Granulicatella",2.24573000979881,"PC"
"P vs PC","Granulicatella_sp015264885","Granulicatella",2.28049100282764,"PC"
"P vs PC","Streptococcus_oralis_Y","Streptococcus",2.33887482208127,"PC"
"P vs PC","Streptococcus_parasanguinis_F","Streptococcus",2.38279312604178,"PC"
"P vs PC","Streptococcus_mitis_AZ","Streptococcus",2.47701613070253,"PC"
"P vs PC","Nanosynbacter_sp022828255","Nanosynbacter",2.47740541788165,"PC"
"P vs PC","CAG_793_sp013333035","CAG_793",2.54579968472777,"PC"
"P vs PC","Rothia_mucilaginosa_A","Rothia",2.64208940438443,"PC"
"P vs PC","Streptococcus_australis_C","Streptococcus",2.75511621672455,"PC"
"P vs PC","Neisseria_meningitidis","Neisseria",2.82120932622802,"PC"
"P vs PC","Streptococcus_sp001556435","Streptococcus",2.91123165225972,"PC"
"P vs PC","Neisseria_cinerea","Neisseria",3.02925160633774,"PC"
"P vs PC","Streptococcus_rubneri","Streptococcus",3.11228929609453,"PC"
"P vs PC","Bergeyella_A_cardium","Bergeyella_A",3.38891509274217,"PC"
"P vs PC","Rothia_mucilaginosa_B","Rothia",3.42272962444485,"PC"
"P vs PC","Veillonella_sp900552445","Veillonella",3.58336015691766,"PC"
"P vs PC","Haemophilus_D_sp905205995","Haemophilus_D",3.61649080421581,"PC"
"P vs PC","Neisseria_subflava","Neisseria",3.79944501369711,"PC"
"P vs PC","Neisseria_flavescens_B","Neisseria",4.32186068003375,"PC"
"PD vs PCD","Rothia_sp001808955","Rothia",-3.92288058367493,"PD"
"PD vs PCD","Haemophilus_D_sp927911595","Haemophilus_D",-3.47388663771583,"PD"
"PD vs PCD","Oribacterium_sinus","Oribacterium",-3.37337969870661,"PD"
"PD vs PCD","Prevotella_melaninogenica_B","Prevotella",-3.03296111651468,"PD"
"PD vs PCD","Streptococcus_infantis_B","Streptococcus",-2.65799472557744,"PD"
"PD vs PCD","Oribacterium_asaccharolyticum","Oribacterium",-2.54799584157249,"PD"
"PD vs PCD","Pauljensenia_sp001838165","Pauljensenia",-2.4159244700125,"PD"
"PD vs PCD","Nanosyncoccus_sp015257445","Nanosyncoccus",-2.2977993948644,"PD"
"PD vs PCD","Veillonella_sp900556785","Veillonella",-2.2398782415614,"PD"
"PD vs PCD","Pauljensenia_sp000308055","Pauljensenia",-2.1798394687064,"PD"
"PD vs PCD","Bulleidia_extructa","Bulleidia",-2.01600071818157,"PD"
"PD vs PCD","Streptococcus_sp013276505","Streptococcus",2.00278206754925,"PCD"
"PD vs PCD","Centipeda_massiliensis","Centipeda",2.03105485817212,"PCD"
"PD vs PCD","Streptococcus_oralis_K","Streptococcus",2.08001440362158,"PCD"
"PD vs PCD","Eikenella_halliae","Eikenella",2.10035022939967,"PCD"
"PD vs PCD","Streptococcus_oralis_J","Streptococcus",2.15521172523289,"PCD"
"PD vs PCD","Leptotrichia_A_sp905371725","Leptotrichia_A",2.18415910971949,"PCD"
"PD vs PCD","Streptococcus_sp905373305","Streptococcus",2.23845304580761,"PCD"
"PD vs PCD","Streptococcus_oralis_H","Streptococcus",2.27001828910965,"PCD"
"PD vs PCD","Streptococcus_sp012843315","Streptococcus",2.31390936482548,"PCD"
"PD vs PCD","Streptococcus_sp000831085","Streptococcus",2.32522964896107,"PCD"
"PD vs PCD","Porphyromonas_sp018127745","Porphyromonas",2.32601592782422,"PCD"
"PD vs PCD","Streptococcus_mitis_K","Streptococcus",2.32828944509481,"PCD"
"PD vs PCD","Streptococcus_oralis_AA","Streptococcus",2.37409878486027,"PCD"
"PD vs PCD","Streptococcus_sp000235485","Streptococcus",2.50235012801762,"PCD"
"PD vs PCD","Streptococcus_cristatus_C","Streptococcus",2.51107615280366,"PCD"
"PD vs PCD","Streptococcus_cristatus_B","Streptococcus",2.52495420011658,"PCD"
"PD vs PCD","Streptococcus_mitis_AZ","Streptococcus",2.57140499681271,"PCD"
"PD vs PCD","Granulicatella_elegans_A","Granulicatella",2.58982231721609,"PCD"
"PD vs PCD","CAJPNX01_sp905372165","CAJPNX01",2.59312843740254,"PCD"
"PD vs PCD","Streptococcus_sp004166885","Streptococcus",2.61953823155733,"PCD"
"PD vs PCD","F0058_sp905372605","F0058",2.68798932846372,"PCD"
"PD vs PCD","Aggregatibacter_segnis","Aggregatibacter",2.71006670482019,"PCD"
"PD vs PCD","Leptotrichia_buccalis","Leptotrichia",2.79757362955619,"PCD"
"PD vs PCD","Porphyromonas_sp927910985","Porphyromonas",2.80439697116132,"PCD"
"PD vs PCD","JABCPE02_sp013333875","JABCPE02",2.84801681576075,"PCD"
"PD vs PCD","Kingella_A_denitrificans","Kingella_A",2.85022405869192,"PCD"
"PD vs PCD","Streptococcus_sp002355895","Streptococcus",2.86891782804863,"PCD"
"PD vs PCD","Streptococcus_mitis_BG","Streptococcus",2.87321777801728,"PCD"
"PD vs PCD","Neisseria_meningitidis","Neisseria",2.93067891505868,"PCD"
"PD vs PCD","Bergeyella_A_cardium","Bergeyella_A",2.93395771519006,"PCD"
"PD vs PCD","Capnocytophaga_bilenii","Capnocytophaga",2.94990735924691,"PCD"
"PD vs PCD","Porphyromonas_sp905372565","Porphyromonas",3.01010191006351,"PCD"
"PD vs PCD","Ottowia_sp001262075","Ottowia",3.10425674374848,"PCD"
"PD vs PCD","Neisseria_perflava_A","Neisseria",3.15793155126015,"PCD"
"PD vs PCD","Haemophilus_A_parahaemolyticus","Haemophilus_A",3.19899867209507,"PCD"
"PD vs PCD","JABCPE02_sp013333255","JABCPE02",3.28724034482937,"PCD"
"PD vs PCD","Neisseria_cinerea","Neisseria",3.30217609909593,"PCD"
"PD vs PCD","Haemophilus_D_sp900755445","Haemophilus_D",3.31852869941873,"PCD"
"PD vs PCD","Bergeyella_A_sp916710115","Bergeyella_A",3.61965524523662,"PCD"
"PD vs PCD","Neisseria_subflava","Neisseria",3.948346445994,"PCD"
"PD vs PCD","Neisseria_subflava_A","Neisseria",3.97769047921139,"PCD"
"PC vs PCD","Nanosynbacter_sp007845355","Nanosynbacter",-3.45708298520594,"PC"
"PC vs PCD","Aggregatibacter_kilianii","Aggregatibacter",-3.44497207803524,"PC"
"PC vs PCD","Neisseria_sp927911515","Neisseria",-3.26155450307401,"PC"
"PC vs PCD","Veillonella_tobetsuensis","Veillonella",-3.23974418119819,"PC"
"PC vs PCD","Nanosynbacter_sp905370345","Nanosynbacter",-3.07807089978711,"PC"
"PC vs PCD","Nanosynbacter_sp900556355","Nanosynbacter",-2.96527953157012,"PC"
"PC vs PCD","Prevotella_melaninogenica_A","Prevotella",-2.79623447332329,"PC"
"PC vs PCD","Streptococcus_australis_C","Streptococcus",-2.74363464206609,"PC"
"PC vs PCD","Streptococcus_mitis_Q","Streptococcus",-2.67365454989035,"PC"
"PC vs PCD","Streptococcus_rubneri","Streptococcus",-2.46503630562112,"PC"
"PC vs PCD","Haemophilus_influenzae_D","Haemophilus",-2.08598237638037,"PC"
"PC vs PCD","Streptococcus_oralis_J","Streptococcus",2.00025434815274,"PCD"
"PC vs PCD","Streptococcus_oralis_BP","Streptococcus",2.01007088391301,"PCD"
"PC vs PCD","Streptococcus_oralis_B","Streptococcus",2.01422218968643,"PCD"
"PC vs PCD","Streptococcus_sp905221195","Streptococcus",2.05523207953976,"PCD"
"PC vs PCD","Johnsonella_sp900766185","Johnsonella",2.05890093686459,"PCD"
"PC vs PCD","Streptococcus_sanguinis_E","Streptococcus",2.06384924301962,"PCD"
"PC vs PCD","Leptotrichia_wadei","Leptotrichia",2.32918645763685,"PCD"
"PC vs PCD","Streptococcus_oralis_N","Streptococcus",2.38726155859053,"PCD"
"PC vs PCD","Streptococcus_oralis_BC","Streptococcus",2.51335879503666,"PCD"
"PC vs PCD","Actinomyces_oris","Actinomyces",2.73958654000419,"PCD"
"PC vs PCD","Streptococcus_sanguinis","Streptococcus",2.9049232536319,"PCD"
"PC vs PCD","Streptococcus_gordonii","Streptococcus",2.98445381690314,"PCD"
