"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","Genus"
"Streptococcus_agalactiae","KidneyDisease","KidneyDisease",3.41258938069931,0.854331725485519,0.000127885336257183,"KidneyDisease",0.054850539396146,101,62,"Streptococcus"
"Bifidobacterium_vaginale","KidneyDisease","KidneyDisease",2.08260421508628,0.659003195982206,0.00211517253745401,"KidneyDisease",0.162400693274342,101,86,"Bifidobacterium"
"Halalkalicoccus_jeotgali","Diabetes","Diabetes",1.25524428548563,0.393364347492006,0.0019217487762519,"Diabetes",0.162400693274342,101,23,"Halalkalicoccus"
"Rothia_aeria","KidneyDisease","KidneyDisease",2.27958575055789,0.712910843185348,0.00188295142412739,"KidneyDisease",0.162400693274342,101,16,"Rothia"
"Rubrivivax_sp022843905","Periodontitis","Periodontitis",-1.58902232917384,0.510597454833185,0.00245404527465324,"Periodontitis",0.175617614967373,101,20,"Rubrivivax"
"Acinetobacter_johnsonii","KidneyDisease","KidneyDisease",3.21685888459476,1.12435223675643,0.0051923473300667,"KidneyDisease",0.277103020831071,101,43,"Acinetobacter"
"Agrobacterium_pusense","Diabetes","Diabetes",-2.7812410008091,0.961721309436704,0.00474622736782506,"Diabetes",0.277103020831071,101,27,"Agrobacterium"
"Lautropia_mirabilis","KidneyDisease","KidneyDisease",2.49477758658586,0.857132069079007,0.00449375330649377,"KidneyDisease",0.277103020831071,101,27,"Lautropia"
"Cardiobacterium_hominis","KidneyDisease","KidneyDisease",1.54690309531088,0.551008099560981,0.00606081218369302,"KidneyDisease",0.289151247930355,101,11,"Cardiobacterium"
"Sphingomonas_zeae","KidneyDisease","KidneyDisease",3.3982223407841,1.20642756992276,0.00590039432482309,"KidneyDisease",0.289151247930355,101,31,"Sphingomonas"
"Bifidobacterium_leopoldii","KidneyDisease","KidneyDisease",1.60570824187748,0.575185778121489,0.00634018836471483,"KidneyDisease",0.289160857120815,101,11,"Bifidobacterium"
"Pelomonas_sp021738245","Periodontitis","Periodontitis",-3.87331335974961,1.39506529947199,0.00662045036669218,"Periodontitis",0.289160857120815,101,69,"Pelomonas"
"Halomonas_sp003202205","Periodontitis","Periodontitis",-0.775805518788156,0.289361361472237,0.00865265310961362,"Periodontitis",0.309602744078362,101,11,"Halomonas"
"Nesterenkonia_salmonea","Diabetes","Diabetes",2.3192018702042,0.858499751265913,0.00817620884997046,"Diabetes",0.309602744078362,101,71,"Nesterenkonia"
"Brevundimonas_sp002434505","Diabetes","Diabetes",-1.83290961186572,0.712011514584213,0.0115901554190384,"Diabetes",0.380188841177034,101,65,"Brevundimonas"
"Corynebacterium_aurimucosum_E","Diabetes","Diabetes",1.34277498001677,0.521816862175748,0.0116214929617434,"Diabetes",0.380188841177034,101,11,"Corynebacterium"
"Methylobacterium_aquaticum","KidneyDisease","KidneyDisease",-1.84776366293917,0.731647609191465,0.013209320718612,"KidneyDisease",0.408774924940832,101,68,"Methylobacterium"
"Prevotella_bivia","KidneyDisease","KidneyDisease",1.89306637861806,0.749458302907627,0.0131942111574277,"KidneyDisease",0.408774924940832,101,92,"Prevotella"
"Bacillus_A_bombysepticus","KidneyDisease","KidneyDisease",1.23249368803885,0.490858771411914,0.0137315634576649,"KidneyDisease",0.409169408517859,101,16,"Bacillus_A"
"Paracoccus_sphaerophysae","Diabetes","Diabetes",1.59151655266468,0.651321327436705,0.0163911260087217,"Diabetes",0.459780085953703,101,18,"Paracoccus"
"Fannyhessea_vaginae","Periodontitis","Periodontitis",2.93676244639352,1.21447565260593,0.0175069352323741,"Periodontitis",0.477272400977818,101,27,"Fannyhessea"
"Muribaculum_arabinoxylanisolvens","KidneyDisease","KidneyDisease",-1.82162828562485,0.757189354635951,0.0180740581048471,"KidneyDisease",0.481274337908137,101,14,"Muribaculum"
"Halioglobus_sp003646415","Periodontitis","Periodontitis",-1.62000883550062,0.677239208157318,0.0187218821596509,"Periodontitis",0.487194433472732,101,19,"Halioglobus"
"Corynebacterium_durum","KidneyDisease","KidneyDisease",1.30009966548272,0.567568644359214,0.0241950376260152,"KidneyDisease",0.493195703374621,101,16,"Corynebacterium"
