"feature","rho","p","padj","Genus","Phylum"
"Treponema_B_sp905372345",0.25809146894355,0.00916580774618892,0.0444822261641577,"Treponema_B","Spirochaetota"
"UBA4372_sp017548165",-0.256346827268754,0.00966535525360303,0.046715883725748,"UBA4372","Bacteroidota"
"Acinetobacter_johnsonii",-0.256158381652313,0.00972071771572575,0.0467765207346317,"Acinetobacter","Pseudomonadota"
"Leptotrichia_sp001553645",0.256036803835254,0.00975658296231174,0.0467765207346317,"Leptotrichia","Fusobacteriota"
"Bacteroides_zoogleoformans",0.255416756968253,0.00994130796883469,0.0471387372785269,"Bacteroides","Bacteroidota"
"Gemella_haemolysans_B",-0.255343810278018,0.00996324074575231,0.0471387372785269,"Gemella","Bacillota"
"Oribacterium_asaccharolyticum",-0.255337731387165,0.00996507039157257,0.0471387372785269,"Oribacterium","Bacillota_A"
"Stomatobaculum_naviforme",-0.255252626915224,0.00999071639544893,0.0471387372785269,"Stomatobaculum","Bacillota_A"
"Porphyromonas_asaccharolytica",-0.254717684520164,0.0101532493686656,0.0477162588906855,"Porphyromonas","Bacteroidota"
"Pauljensenia_sp000185285",-0.254182742125105,0.0103180959199152,0.0483000631841698,"Pauljensenia","Actinomycetota"
"F0422_sp900544365",0.253283066278869,0.0106006309704941,0.0491238755974582,"F0422","Bacillota_C"
"Caviibacterium_pharyngocola",-0.253270908497163,0.0106044949557637,0.0491238755974582,"Caviibacterium","Pseudomonadota"
"Treponema_B_putidum",0.253228356261193,0.0106180286194674,0.0491238755974582,"Treponema_B","Spirochaetota"
"F0422_sp003992315",0.252425942668604,0.0108760819519845,0.0501227187632153,"F0422","Bacillota_C"
"Actinomyces_ruminicola",0.251666081311985,0.0111254937750574,0.050923834036863,"Actinomyces","Actinomycetota"
"Pauljensenia_odontolytica_A",-0.251635686857721,0.0111355734647472,0.050923834036863,"Pauljensenia","Actinomycetota"
"Actinomyces_oris_D",-0.250887983282808,0.0113860616721091,0.0517652542837594,"Actinomyces","Actinomycetota"
"Dialister_invisus",-0.250827194374279,0.0114066413981034,0.0517652542837594,"Dialister","Bacillota_C"
"Streptococcus_mitis_D",-0.250310488651778,0.0115828858147732,0.0523652138165981,"Streptococcus","Bacillota"
"Corynebacterium_argentoratense",-0.250122043035337,0.011647752783996,0.0524590078036789,"Corynebacterium","Actinomycetota"
"Prevotella_sp900113305",-0.249088631590336,0.0120091471206403,0.0538825506658165,"Prevotella","Bacteroidota"
"Campylobacter_A_concisus_Q",-0.24855976808613,0.0121978539856866,0.0545234901841405,"Campylobacter_A","Campylobacterota"
"Streptococcus_mitis_BI",-0.247617540003923,0.0125404728413512,0.0557172436826891,"Streptococcus","Bacillota"
"Parvimonas_sp000214475",-0.247453409950893,0.0126010052067688,0.0557172436826891,"Parvimonas","Bacillota_A"
"Streptococcus_sp905221455",-0.247441252169187,0.0126054992015503,0.0557172436826891,"Streptococcus","Bacillota"
"Corynebacterium_phoceense",-0.246499024086981,0.0129580614644699,0.0567983362382674,"Corynebacterium","Actinomycetota"
"Streptococcus_sp024295625",-0.246340972924804,0.0130180346208528,0.0567983362382674,"Streptococcus","Bacillota"
"Desulfovibrio_sp000403945",-0.246316657361392,0.0130272826855044,0.0567983362382674,"Desulfovibrio","Desulfobacterota"
"Saccharimonas_sp010202265",-0.246280184016275,0.0130411655113936,0.0567983362382674,"Saccharimonas","Patescibacteria"
"Prevotella_sp000688375",-0.245994476146186,0.0131503608168135,0.0570648869021577,"Prevotella","Bacteroidota"
"Campylobacter_A_showae_B",0.245252851462127,0.0134375270506208,0.0580989805934114,"Campylobacter_A","Campylobacterota"
"Streptococcus_sp916439135",0.24441396452442,0.0137689176955411,0.0587948764161425,"Streptococcus","Bacillota"
"Streptococcus_mitis_AF",-0.24420728223542,0.013851647642757,0.0587948764161425,"Streptococcus","Bacillota"
"Streptococcus_infantis_G",-0.24414649332689,0.0138760620836891,0.0587948764161425,"Streptococcus","Bacillota"
"Campylobacter_A_concisus_AD",-0.244116098872626,0.013888283327687,0.0587948764161425,"Campylobacter_A","Campylobacterota"
"Treponema_sp010365865",-0.244061388854949,0.0139103051499912,0.0587948764161425,"Treponema","Spirochaetota"
"Rothia_mucilaginosa",-0.24400059994642,0.0139348094388461,0.0587948764161425,"Rothia","Actinomycetota"
"Nanosynbacter_sp900556355",-0.243976284383008,0.0139446216563097,0.0587948764161425,"Nanosynbacter","Patescibacteria"
"Nanosynbacter_sp905370345",-0.243453499769655,0.0141570419037485,0.0594795859489644,"Nanosynbacter","Patescibacteria"
"Mogibacterium_diversum",-0.243192107462978,0.0142643024112369,0.0597192097428193,"Mogibacterium","Bacillota_A"
"GN02_872_sp002761215",-0.242310668289301,0.0146312157682256,0.0610404054330534,"GN02_872","Patescibacteria"
"Nanogingivalis_sp916438495",-0.240657209977299,0.015341634825742,0.0637130263363915,"Nanogingivalis","Patescibacteria"
"Haemophilus_D_sp001679485",-0.240487001033417,0.0154164360353892,0.0637130263363915,"Haemophilus_D","Pseudomonadota"
"Actinomyces_oris_E",-0.240335028762093,0.0154834897361098,0.0637130263363915,"Actinomyces","Actinomycetota"
"Granulicatella_elegans_A",0.24032894987124,0.0154861771330674,0.0637130263363915,"Granulicatella","Bacillota"
"Streptococcus_mitis_W",-0.240128346473093,0.0155750882882784,0.0638578619819413,"Streptococcus","Bacillota"
"Nanosyncoccus_sp013332955",-0.239490062933534,0.0158609363263009,0.0648063687009338,"Nanosyncoccus","Patescibacteria"
"Metamycoplasma_salivarium",0.239040225010415,0.0160651101339025,0.0649969772834281,"Metamycoplasma","Bacillota"
"DTLM01_sp025060325",-0.238979436101886,0.0160928749365038,0.0649969772834281,"DTLM01","Planctomycetota"
"Pauljensenia_sp001838165",-0.238949041647621,0.0161067729067422,0.0649969772834281,"Pauljensenia","Actinomycetota"
"Pandoraea_iniqua",-0.238906489411651,0.0161262475177555,0.0649969772834281,"Pandoraea","Pseudomonadota"
"Paucibacter_toxinivorans",-0.238328994780621,0.0163925678009648,0.0658471726869837,"Paucibacter","Pseudomonadota"
"Burkholderia_multivorans",-0.23770894791362,0.0166827391945541,0.0667871276172552,"Burkholderia","Pseudomonadota"
"Campylobacter_A_concisus_N",-0.237496186733767,0.0167833260328932,0.0669643444735235,"Campylobacter_A","Campylobacterota"
"Neisseria_animaloris",-0.237094979937473,0.0169744311278918,0.0675003298028876,"Neisseria","Pseudomonadota"
"Porphyromonas_sp905372565",0.236888297648472,0.0170736110068255,0.0676684116237185,"Porphyromonas","Bacteroidota"
"Flavobacterium_sp001429765",-0.236748483158855,0.0171409868354473,0.0677097453400227,"Flavobacterium","Bacteroidota"
"Pauljensenia_sp903645355",-0.236523564197296,0.0172498560011758,0.0678638897997243,"Pauljensenia","Actinomycetota"
"Veillonella_sp002959755",-0.236432380834501,0.0172941619926968,0.0678638897997243,"Veillonella","Bacillota_C"
"Prevotella_koreensis",0.23630472412659,0.0173563554752937,0.0678839034872505,"Prevotella","Bacteroidota"
"Aggregatibacter_actinomycetemcomitans",-0.236122357401001,0.0174455383021767,0.0680090001353706,"Aggregatibacter","Pseudomonadota"
"F0058_sp000163695",-0.235477994970589,0.0177638270250884,0.0688455608669322,"F0058","Bacteroidota"
