"saliva_microbe","urine_microbe","urine_metab","ACME","ACME_p","ADE","prop_med","total_p","ACME_fdr"
"Bacteroides_D_sp013333195","PWLR01_sp020832455","P_Phenylacetylglutamine",0.0027051386775773,0.746666666666667,0.0180490411558815,0.00555760553359604,0.773333333333333,1
"Bacteroides_D_sp013333195","Haladaptatus_litoreus","P_Mesalazine",-0.00373361803547454,0.746666666666667,0.109979364634805,-0.0100169579401197,0.14,1
"Streptococcus_rubneri","Haladaptatus_litoreus","N_Paracetamol",-0.00351602790175289,0.76,0.0545165405736873,-0.00309922099951484,0.52,1
"Bacteroides_D_sp013333195","Nocardioides_panacisoli","N_6-Hydroxynicotinic acid",0.00187695346666441,0.76,-0.0197940280874576,0.001358371682265,0.646666666666667,1
"Bacteroides_D_sp013333195","Nocardioides_panacisoli","P_5-OXO-L-PROLINE",0.00254568614794663,0.76,0.0213303030737022,0.011145895964357,0.673333333333333,1
"Bacteroides_D_sp013333195","Alistipes_sp910580175","N_ProtocatechicAcid",-0.00283035299498634,0.773333333333333,0.0152909042145106,-0.00114912756231125,0.82,1
"Bacteroides_D_sp013333195","Rothia_sp001808955","N_Hydroxyferulic acid",-0.00849481038497995,0.773333333333333,-0.277728537655738,0.0109626871414928,0.04,1
"Bacteroides_D_sp013333195","BOG_935_sp003165275","N_Cyclamate",0.0029492474501017,0.773333333333333,0.0310945625591039,0.00874020726783644,0.6,1
"Bacteroides_D_sp013333195","BOG_935_sp003165275","P_5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid",0.00350612955969517,0.78,0.130891935461798,0.010689982516346,0.0666666666666667,1
"Treponema_C_sp905372025","Klebsiella_aerogenes","N_GLUCURONOLACTONE",0.00494134860166794,0.786666666666667,0.0293640332494428,0.00951507217270987,0.826666666666667,1
"Bacteroides_D_sp013333195","Nocardioides_panacisoli","P_Phenylacetylglutamine",0.00272964291513107,0.786666666666667,0.022042549165746,0.00197674455802313,0.78,1
"Bacteroides_D_sp013333195","PWLR01_sp020832455","P_5-OXO-L-PROLINE",0.0014483320048547,0.793333333333333,0.0197811622313111,0.00174549794746196,0.66,1
"Actinomyces_oris_A","Duncaniella_freteri","N_ProtocatechicAcid",-0.00619995883642494,0.793333333333333,0.132452476525904,-0.0103352422787265,0.153333333333333,1
"F0422_sp003992015","UBA3263_sp001689615","N_ProtocatechicAcid",-0.00284325858762953,0.8,0.0950312240982791,-0.00899605807734382,0.0666666666666667,1
"Bacteroides_D_sp013333195","Nocardioides_panacisoli","P_(13E)-1-amino-13-ethylidene-11-methyl-6-azatricyclo_]trideca-2(7),3,5,10-tetraen-5-ol",0.00303809038214301,0.82,-0.098464712811832,-0.00678952485956149,0.46,1
"Bacteroides_D_sp013333195","PWLR01_sp020832455","P_Propamocarb",-0.0195613041884798,0.82,0.59337407024057,-0.0141638513562762,0.113333333333333,1
"Alloprevotella_tannerae_A","Finegoldia_magna_H","P_(13E)-1-amino-13-ethylidene-11-methyl-6-azatricyclo_]trideca-2(7),3,5,10-tetraen-5-ol",-0.00502357718677288,0.82,0.0299059230997502,-0.00488909680806086,0.86,1
"Fusobacterium_periodonticum_D","Limnobacter_humi","N_6-Hydroxynicotinic acid",0.00126192996603797,0.82,0.0119674796508253,0.0100021961864207,0.706666666666667,1
"Streptococcus_mitis_K","UBA3263_sp001689615","N_ProtocatechicAcid",-0.00119893174393887,0.826666666666667,0.0616825318718832,-0.00598042729400231,0.1,1
"Bacteroides_D_sp013333195","Haladaptatus_litoreus","P_Moroxydine",-0.00297698903034885,0.826666666666667,-0.0773153138796375,0.00515454075427477,0.4,1
"Bacteroides_D_sp013333195","Enterobacter_hormaechei_A","N_Paracetamol",0.00106378273233538,0.833333333333333,0.0509506283779691,0.0079060039633292,0.486666666666667,1
