"feature","name","saliva_log2FC","saliva_p","saliva_fdr","urine_log2FC","urine_p","urine_fdr","same_dir","n_healthy","n_disease","tier"
"P_Propionic acid","P_Propionic acid",-0.807720677482465,7.45374012439144e-07,1.28433675989514e-05,-0.353562167473711,0.0125629004521465,0.133554902776212,TRUE,34,61,"priority"
"P_N-lauroylethanolamine","P_N-lauroylethanolamine",-0.31277074470951,0.0196536809816127,0.135459216611731,-0.63121269413098,0.0155935715871047,0.148330477269233,TRUE,34,61,"priority"
"N_2-Hydroxyphenylacetic acid","N_2-Hydroxyphenylacetic acid",-0.748348807843072,0.0246082563770763,0.157492840813288,-0.390524251345198,0.0173373285119883,0.148330477269233,TRUE,34,61,"priority"
"P_(E)-1-(4-methylquinazolin-2(1H)-ylidene)guanidine","P_(E)-1-(4-methylquinazolin-2(",-1.24998944723012,1.11892648771928e-07,2.38704317380112e-06,-0.453192164645259,0.0166202950059195,0.148330477269233,TRUE,34,61,"unconfirmed"
"P_2-(methyl(2H-pyrazolo[3,4-d]pyrimidin-4-yl)amino)ethanol","P_2-(methyl(2H-pyrazolo[3,4-d]",-0.62793628914261,5.69001748196335e-05,0.000728322237691309,-0.485176003143259,0.0330852901136214,0.201123737269646,TRUE,34,61,"unconfirmed"
"P_N-(4-((6aR,8aS)-4-hydroxy-6a,8a,9-trimethyl-3,4,5,6,6a,6b,7,8,8a,8b,11a,12,12a,12b-tetradecahydro-1H-naphtho[2',1':4,5]indeno[2,1-b]furan-10-yl)-2-methylbutyl)acetamide","P_N-(4-((6aR,8aS)-4-hydroxy-6a",-5.25736018018204,0.000931512510544849,0.0109758229731984,-1.65320920184744,0.000183328322546766,0.0169395370033212,TRUE,34,61,"unconfirmed"
"P_N,N-Dimethyltetradecylamine-N-oxide","P_N,N-Dimethyltetradecylamine-",-0.263724406978412,0.00433030690397455,0.0431106109551245,-0.420464248962322,0.0400325397071367,0.217588627584672,TRUE,34,61,"unconfirmed"
"P_Harman","P_Harman",-2.27883113562741,0.0146230748062991,0.11295064677969,-1.24251403582877,0.0324510482086598,0.199898456965345,TRUE,34,61,"unconfirmed"
"P_Tri-isobutylphosphate","P_Tri-isobutylphosphate",1.54018062924664,8.07171122808526e-07,1.33930615932674e-05,1.10728161692887,0.000609097694290224,0.0312670149735648,TRUE,34,61,"exclude"
