"feature","R2","F","p"
"AWVT01_sp000469545",0.00591496336813772,0.553364725316274,0.925
"AWVT01_sp916439735",0.00868165433252353,0.814464754388311,0.515
"Abiotrophia_defectiva",0.00965005952590367,0.906200423942485,0.37
"Abiotrophia_sp001815865",0.0120120057059972,1.13069848733943,0.19
"Actinomyces_dentalis",0.00941676200691027,0.884084075980261,0.435
"Actinomyces_gerencseriae",0.00949528605893566,0.891526906487352,0.34
"Actinomyces_graevenitzii",0.0101234547745335,0.951109811190819,0.375
"Actinomyces_israelii",0.0087922057736306,0.824928074325561,0.505
"Actinomyces_johnsonii",0.00713246765962707,0.668084584034841,0.805
"Actinomyces_massiliensis",0.0121388777289849,1.14278779004918,0.155
"Actinomyces_naeslundii",0.0163758753274908,1.54831135924376,0.07
"Actinomyces_oricola",0.014273304781785,1.34663832393435,0.11
"Actinomyces_oris",0.0118020542545396,1.11069958240421,0.23
"Actinomyces_oris_A",0.0117659800678495,1.10726419475534,0.205
"Actinomyces_oris_B",0.0156174728153564,1.47546805405224,0.13
"Actinomyces_oris_C",0.00775076733772032,0.726451922239307,0.825
"Actinomyces_oris_D",0.00742338065760694,0.695537641834477,0.64
"Actinomyces_oris_E",0.00711543063802571,0.666477322496431,0.795
"Actinomyces_sp000195595",0.0102376541004667,0.96194994211272,0.25
"Actinomyces_sp000220835",0.00974891350057861,0.915574815230805,0.345
"Actinomyces_sp001278845",0.00889426318287971,0.834589534981617,0.45
"Actinomyces_sp002999235",0.00928994078745043,0.872065934123651,0.42
"Actinomyces_sp900323545",0.00642099032062239,0.601011186831111,0.925
"Actinomyces_sp915063485",0.00641763932055869,0.600695503897453,0.91
"Actinomyces_sp915069725",0.00983074839561305,0.923336691490495,0.405
"Actinomyces_timonensis",0.00887126333427824,0.832412036465989,0.395
"Aggregatibacter_actinomycetemcomitans",0.0992678792672123,10.2493433500963,0.005
"Aggregatibacter_aphrophilus",0.0133388346261054,1.25728230091808,0.105
"Aggregatibacter_kilianii",0.006280474570716,0.587775645068728,0.865
"Aggregatibacter_segnis",0.00633265821709614,0.592690520685958,0.96
"Aggregatibacter_segnis_A",0.00558917039536746,0.522714386543676,0.995
"Aggregatibacter_sp000466335",0.00712584995714871,0.667460267735069,0.86
"Allisonella_pneumosinta",0.0094561795066966,0.887820080170526,0.365
"Alloprevotella_rava",0.00759591494480088,0.711827067728353,0.695
"Alloprevotella_sp000318095",0.00710214660728199,0.665224153945249,0.805
"Alloprevotella_sp003639005",0.00969549892404629,0.910509241305719,0.365
"Alloprevotella_sp015257125",0.00909941134367266,0.854016300574688,0.435
"Alloprevotella_sp015259235",0.00747570473445347,0.700477100279105,0.705
"Alloprevotella_sp900095835",0.00563183825891039,0.526727401611076,0.94
"Alloprevotella_sp905369775",0.00783327401914103,0.734246034163183,0.64
"Alloprevotella_sp905371275",0.00751112985631945,0.703821571859625,0.69
"Alloprevotella_sp916438195",0.007718615677644,0.723415020539875,0.67
"Alloprevotella_tannerae",0.01200363625965,1.12990109388786,0.225
"Alloprevotella_tannerae_A",0.00827430797690055,0.775930933363202,0.665
"Alloprevotella_tannerae_B",0.00686411321904386,0.642774607048184,0.755
"Alloscardovia_omnicolens",0.00563099385885116,0.526647980416661,1
"Anaeroglobus_geminatus",0.00730394411324925,0.684264633171538,0.77
"Anaeroglobus_micronuciformis",0.00704830722856479,0.660145480418061,0.82
"Arachnia_massiliensis",0.00665305509358533,0.622878166461496,0.885
"Arachnia_propionica",0.0107398593161948,1.0096504198741,0.385
"Arachnia_rubra",0.0111595154447633,1.04954737652129,0.255
"Arachnia_sp013333945",0.00803462970796567,0.75327283110783,0.605
"Arachnia_sp905372155",0.00835745657771798,0.783793985931068,0.645
"Bacillus_A_bombysepticus",0.0468510894000871,4.57132276578453,0.01
"Bacteroides_D_periocalifornicus",0.00884265013730387,0.829703238222651,0.545
"Bacteroides_D_sp013333195",0.012316264323195,1.15969570084319,0.195
"Bacteroides_D_sp905373475",0.00592849020823789,0.554637753858996,0.96
"Bacteroides_D_sp905373625",0.00661262386034591,0.619067680728927,0.86
"Bacteroides_D_sp905373665",0.033631932009281,3.23662358108171,0.02
"Bacteroides_heparinolyticus",0.0173022501809135,1.63744067504091,0.045
"Bergeyella_A_cardium",0.0135647304497265,1.2788674237081,0.17
"Bergeyella_A_sp916710115",0.00622807856164722,0.582841287561093,0.91
"Bifidobacterium_dentium",0.00755521862742282,0.707984308586478,0.685
"Bifidobacterium_longum",0.0131161389536944,1.23601263617821,0.095
"Bulleidia_extructa",0.00682127795092302,0.638735844166115,0.85
"Bulleidia_moorei",0.0085693046812883,0.803833630653952,0.5
"Bulleidia_sp015256455",0.00681108004681322,0.637774376685037,0.885
"Bulleidia_sp015256775",0.00914625446442555,0.858453297496302,0.495
"Bulleidia_sp900554555",0.00907900325671924,0.852083370571302,0.36
"Bulleidia_sp927911475",0.00550286922997854,0.514598607229518,0.99
"Butyrivibrio_sp015258065",0.00597756494018199,0.559256531673222,0.96
"CAG_793_sp013333035",0.00726919072439385,0.680984946827559,0.81
"CAG_793_sp013333395",0.0116830347238813,1.09936616237019,0.215
"CAJPNN01_sp905372035",0.0196226114353757,1.86142896070032,0.03
"CAJPNX01_sp905372165",0.00861534800197633,0.808190204043421,0.53
"CAJPPJ01_sp905372515",0.00857398297709018,0.804276267899232,0.57
"CAJPQU01_sp905372875",0.0091043555835161,0.85448460091436,0.42
"CAJPQU01_sp905373705",0.00713694075039638,0.66850658165136,0.835
"CAJPSE01_sp905373185",0.023734195001561,2.26094176795294,0.04
"Campylobacter_A_concisus_A",0.0122620189041482,1.15452456006662,0.21
"Campylobacter_A_concisus_AB",0.00971085518671807,0.911965497243798,0.415
"Campylobacter_A_concisus_AC",0.00767332268693638,0.719137181535177,0.7
"Campylobacter_A_concisus_AD",0.010360575739261,0.973620815956308,0.265
"Campylobacter_A_concisus_AF",0.0115168667195203,1.08354767912006,0.24
"Campylobacter_A_concisus_B",0.0100105366997531,0.940393759316897,0.25
"Campylobacter_A_concisus_C",0.0101233304442595,0.951098010763977,0.33
"Campylobacter_A_concisus_D",0.0278353355790886,2.66280631625018,0.025
"Campylobacter_A_concisus_F",0.0102289979216373,0.961128184918221,0.39
"Campylobacter_A_concisus_I",0.065833129187347,6.55394791414214,0.005
"Campylobacter_A_concisus_J",0.00551027467032495,0.515294961112183,0.97
"Campylobacter_A_concisus_L",0.00707422197078478,0.662589951676758,0.87
"Campylobacter_A_concisus_Q",0.00776930619868536,0.728203109409576,0.635
"Campylobacter_A_concisus_R",0.00849120113859143,0.796444476131556,0.595
"Campylobacter_A_concisus_T",0.0111994606053771,1.0533467517501,0.295
"Campylobacter_A_curvus",0.00745995893802463,0.698990622578793,0.695
"Campylobacter_A_massiliensis",0.0126144414468494,1.18813065918854,0.19
"Campylobacter_A_rectus",0.0217202342330607,2.06483038325039,0.035
"Campylobacter_A_showae",0.0098903413202928,0.928989768682561,0.505
"Campylobacter_A_showae_A",0.00905789572727206,0.850084277380205,0.38
"Campylobacter_A_showae_B",0.0139136356670702,1.31222595083026,0.1
"Campylobacter_A_showae_D",0.0165626360885795,1.56626666096107,0.095
"Campylobacter_A_showae_E",0.0086982357382615,0.816033979583166,0.6
"Campylobacter_A_sp905371695",0.0089898239612275,0.84363778355536,0.385
"Campylobacter_A_sp905372745",0.00721344693731878,0.675724870669447,0.805
"Campylobacter_B_gracilis",0.0131716137708426,1.24131013840122,0.095
"Campylobacter_B_gracilis_A",0.0154172014198841,1.45625104777062,0.075
"Campylobacter_B_sp019423325",0.00982856866905224,0.923129932150456,0.34
"Campylobacter_B_sp900539505",0.0147385887761681,1.39119297738561,0.095
"Campylobacter_B_sp905373215",0.0111601983825493,1.04961233142051,0.19
"Campylobacter_B_sp905373295",0.0119714540707787,1.12683508302419,0.215
"Capnocytophaga_bilenii",0.0105663229459051,0.993162105513671,0.33
"Capnocytophaga_gingivalis",0.00719779123504038,0.674247678892132,0.815
"Capnocytophaga_granulosa",0.00977507358825378,0.918055907764127,0.515
"Capnocytophaga_haemolytica",0.0111789356516519,1.05139448691738,0.235
"Capnocytophaga_leadbetteri",0.00988342358124072,0.928333506323036,0.405
"Capnocytophaga_ochracea",0.0071305844548889,0.667906921012956,0.79
"Capnocytophaga_periodontitidis",0.0108599861170907,1.02106748762971,0.28
"Capnocytophaga_sp000192225",0.00924967808395944,0.868251105025759,0.445
"Capnocytophaga_sp000466425",0.012506265004222,1.17781268293071,0.2
"Capnocytophaga_sp002999135",0.00641691034377477,0.600626830492389,0.905
"Capnocytophaga_sp905372595",0.00510435166863098,0.477140196541067,1
"Capnocytophaga_sp915070235",0.00869829568066664,0.816039652486474,0.525
"Capnocytophaga_sputigena",0.0117922440236808,1.1097653176369,0.195
"Cardiobacterium_hominis",0.0113451822897145,1.06720964086035,0.225
"Cardiobacterium_sp916618745",0.0105174319364113,0.988517839177729,0.225
"Cardiobacterium_valvarum",0.00881004418149445,0.826616637980752,0.465
"Catonella_massiliensis",0.0139617790488039,1.31683075153639,0.095
"Catonella_morbi",0.0142181462293458,1.34135924116615,0.07
"Catonella_sp916438525",0.00776647865978467,0.727936014885269,0.72
"Catonella_sp916438995",0.0123757697069255,1.16536892012313,0.195
"Catonella_sp916439065",0.0137856320441326,1.29998489350918,0.155
"Centipeda_artemidis",0.00972434445913235,0.913244741137622,0.305
"Centipeda_felix",0.00810313506447825,0.759747900852035,0.755
"Centipeda_flueggei",0.00729819906415644,0.6837224555518,0.725
"Centipeda_infelix",0.00817555553916678,0.766593996940489,0.595
"Centipeda_massiliensis",0.00788486031831422,0.739119866509138,0.67
"Centipeda_noxia",0.0101444306446119,0.953100714039817,0.26
"Centipeda_periodontii",0.00750430367521225,0.703177096262547,0.695
"Centipeda_sp000286455",0.00977278742201838,0.917839076429274,0.285
"Centipeda_sp000468035",0.0109576448537677,1.03035119385734,0.265
"Centipeda_sp001683335",0.00794193357657325,0.744512692975842,0.67
"Centipeda_sp001717585",0.00928093875200528,0.871212978227372,0.34
"Centipeda_sp015265235",0.00812813266732725,0.762110876371797,0.73
"Centipeda_sp905372865",0.00896524539534896,0.841310375739612,0.455
"Centipeda_timonae",0.00950871394313785,0.892799774374848,0.33
"Chlamydophila_abortus",0.00722553764600953,0.67686571981873,0.795
"Clostridium_sp900540255",0.0107590546652754,1.01147459432348,0.255
"Clostridium_tertium",0.00913838191733844,0.857707577731178,0.395
"Corynebacterium_durum",0.0096676440523488,0.907867839992056,0.405
"Corynebacterium_matruchotii",0.0096424351110511,0.905477473106702,0.42
"Corynebacterium_sp915275065",0.00952264645353222,0.894120513717479,0.42
"Cryptobacterium_curtum",0.0126373444465315,1.19031545999543,0.095
"Cuspidothrix_issatschenkoi",0.00846990490409582,0.794429901802145,0.505
"Cutibacterium_acnes",0.00799388298336687,0.749421908494797,0.585
"Desulfobulbus_oralis",0.00951198070673564,0.893109445541408,0.385
"Desulfomicrobium_orale",0.0153144941124686,1.44639881865211,0.075
"Desulfovibrio_sp000403945",0.0361686474266439,3.48990951756975,0.035
"Desulfovibrio_sp003860215",0.0151971713312096,1.43514711032357,0.055
"Dialister_invisus",0.00847557250174917,0.794966034928134,0.495
"Eggerthia_catenaformis",0.0083326762691997,0.781450466795797,0.635
"Eikenella_corrodens",0.00645902736004411,0.604594637791332,0.88
"Eikenella_corrodens_B",0.00944375133005105,0.886642101217398,0.505
"Eikenella_exigua",0.00690529289866855,0.646657599707304,0.895
"Eikenella_halliae",0.0106213175959054,0.998386718843575,0.305
"Escherichia_coli",0.00960777012230451,0.90219066185996,0.315
"Eubacterium_B_infirmum",0.00917979463505502,0.861630492028238,0.405
"Eubacterium_B_sulci",0.00712769914080867,0.667634719511845,0.885
"Eubacterium_N_saphenum",0.0139348178701625,1.31425192310915,0.125
"F0058_sp000163695",0.00712285324629467,0.667177559752744,0.81
"F0058_sp905372135",0.00884236281127974,0.829676037992773,0.555
"F0058_sp905372605",0.00842334243821884,0.790025502093411,0.615
"F0422_sp001553345",0.00759213994542457,0.711470599281284,0.75
"F0422_sp003992015",0.00856847480599089,0.803755112387834,0.435
"F0422_sp003992055",0.00759720262402229,0.71194866227931,0.665
"F0422_sp003992315",0.00717657358797232,0.672245764882306,0.73
"F0422_sp003999875",0.00798983860120196,0.749039696190236,0.545
"F0422_sp900544365",0.0087924690467594,0.82495299502239,0.465
"F0422_sp900766245",0.00836821234554546,0.7848112150343,0.49
"F0422_sp916438745",0.0117461456194925,1.1053754435368,0.14
"F0428_sp003043955",0.00802444927801815,0.752310661601018,0.62
"Filifactor_alocis",0.0242288608009371,2.30923416769295,0.025
