"feature","name","saliva_log2FC","saliva_p","saliva_fdr","urine_log2FC","urine_p","urine_fdr","same_dir","n_healthy","n_disease"
"N_Valine","N_Valine",-0.0018600051108173,0.718101695584044,0.908440229962794,-0.172587959643174,0.516828498673734,0.809060508364964,TRUE,34,61
"N_Succinic acid","N_Succinic acid",0,NA,NA,0.108047384211364,0.627526672186144,0.847727684778072,FALSE,34,61
"N_Erythronolactone","N_Erythronolactone",0.386430422542173,0.0723004491885641,0.299912974411821,-0.101434203504876,0.345552939038968,0.691105878077936,FALSE,34,61
"N_Threonine","N_Threonine",-0.18803951574581,0.133042033653952,0.413908549145628,0.528427374388059,0.0231598431207609,0.169838849552247,FALSE,34,61
"N_Benzoic acid","N_Benzoic acid",0,NA,NA,-0.0919071997315655,0.511820722576504,0.807034722970461,FALSE,34,61
"N_Orcinol","N_Orcinol",-0.205015052756611,0.453755699066811,0.754544008866495,-0.48302997716581,0.163460781226712,0.474961515262522,TRUE,34,61
"N_Benzene-1,2,4-triol","N_Benzene-1,2,4-triol",0.217794007483874,0.972131417943475,0.989364711354949,-0.547731952115317,0.123309443179214,0.412818570643457,FALSE,34,61
"N_Pyrogallol","N_Pyrogallol",0.782063554123877,0.0855073912104216,0.327412916771529,-0.609542003099278,0.058706875809931,0.276760985961103,FALSE,34,61
"N_Citraconic acid","N_Citraconic acid",0.179655785965824,0.0786786733617062,0.31192960766411,0,NA,NA,FALSE,34,61
"N_3-methyl-2-oxovaleric acid","N_3-methyl-2-oxovaleric acid",0,NA,NA,0.262691141263137,0.333773874445948,0.679310704819507,FALSE,34,61
"N_N-Acetylalanine","N_N-Acetylalanine",0.168917302417235,0.242650247022979,0.567608011280161,0.516947192127564,0.0115048399739202,0.129639904096369,TRUE,34,61
"N_Creatine","N_Creatine",0.0902450858662966,0.487166754098728,0.755192753758582,0.408908905834121,0.729740879811717,0.899040763928035,TRUE,34,61
"N_Leucine","N_Leucine",0,NA,NA,0.266177791847479,0.0928074148616155,0.343016205328531,FALSE,34,61
"N_L-Leucine","N_L-Leucine",-0.200244439509728,0.190829597515886,0.496466769736095,0.441767170142317,0.0958640480779907,0.3487337811971,FALSE,34,61
"N_Glutaric acid","N_Glutaric acid",0.060220554030078,0.953569151439274,0.982066620332862,0.0500760220566541,0.891932682463113,0.96730727534732,TRUE,34,61
"N_Ribose","N_Ribose",-0.314710631171888,0.17551024384024,0.473666200243538,-0.00301636892943691,0.794807385772766,0.936737276089331,TRUE,34,61
"N_Hydroxyisocaproic acid","N_Hydroxyisocaproic acid",0.138047028543077,0.0556620498417845,0.249365983291195,0.185036762335493,0.435261800704595,0.755981022276402,TRUE,34,61
"N_Ornithine","N_Ornithine",0.0832800318304834,0.759107234470984,0.919135246062164,0.551496265089707,0.077367654508517,0.319141574847633,TRUE,34,61
"N_D-ASPARTATE","N_D-ASPARTATE",0.57326301759565,0.296404849595263,0.638410445282105,-0.282701810220065,0.86133425537221,0.96730727534732,FALSE,34,61
"N_L-beta-Homothreonine","N_L-beta-Homothreonine",-0.016915326461497,0.990708793008128,0.992925143775484,-0.00902374545167106,0.855237954868667,0.96730727534732,TRUE,34,61
"N_D-(+)-Malic acid","N_D-(+)-Malic acid",0,NA,NA,0.208652271878538,0.765023990541973,0.915650475726403,FALSE,34,61
"N_Dihydroxy-Valerate","N_Dihydroxy-Valerate",0,NA,NA,-0.323597806071849,0.177997700150616,0.498393560421726,FALSE,34,61
"N_Threonic acid","N_Threonic acid",0.183507027145886,0.0698706454983776,0.292542515731525,0,NA,NA,FALSE,34,61
"N_Allopurinol","N_Allopurinol",0.159543617259835,0.898073233461,0.97182804007374,0.242739107981112,0.382456086757351,0.719640654655802,TRUE,34,61
"N_Hypoxanthine","N_Hypoxanthine",0,NA,NA,-0.696759042881126,0.0618887455679201,0.277598062644457,FALSE,34,61
"N_Salicylic acid","N_Salicylic acid",0,NA,NA,-0.558428362702365,0.337671119639498,0.684228321374773,FALSE,34,61
"N_4-hydroxy-benzoate","N_4-hydroxy-benzoate",0,NA,NA,0.318578022025751,0.60566967596724,0.847727684778072,FALSE,34,61
"N_Urocanic acid","N_Urocanic acid",-0.177886119495749,0.695020903181751,0.899911458454984,-0.77170082788378,0.000222948221519823,0.0171670130570263,TRUE,34,61
"N_cis,cis-Muconic acid","N_cis,cis-Muconic acid",0.158096716590816,0.382456086757351,0.696505393769484,-1.11614073553218,0.00129124085933444,0.0497127730843758,FALSE,34,61
"N_4-Hydroxyquinoline","N_4-Hydroxyquinoline",-0.0747358220932348,0.141247909918027,0.427561240832947,-0.240907067806159,0.996902868782583,1,TRUE,34,61
"N_4-ACETAMIDOBUTANOATE","N_4-ACETAMIDOBUTANOATE",-0.215742341248014,0.644138058194359,0.869198343587569,-0.0197052009891827,0.735584101908174,0.901431976343705,TRUE,34,61
"N_4-Acetamidobutyric acid","N_4-Acetamidobutyric acid",0.438247037298773,0.0350520459312683,0.189196585267568,-0.303938983101656,0.928860321251599,0.984251074353759,FALSE,34,61
"N_ALPHA-KETOGLUTARIC ACID","N_ALPHA-KETOGLUTARIC ACID",0.868345994976231,0.0134120929662554,0.107296743730043,0.0999676615604308,0.867438828484102,0.96730727534732,TRUE,34,61
"N_adipic acid","N_adipic acid",-0.0948705457844063,0.953569151439274,0.982066620332862,-0.0755661189353845,0.408350677955625,0.734077872433847,TRUE,34,61
"N_ADIPIC ACID","N_ADIPIC ACID",-0.371070964363877,0.0464472574413262,0.231204125930157,0.0872375192899746,0.633043400970638,0.847727684778072,FALSE,34,61
"N_Glutamine","N_Glutamine",0.0192120949907739,0.616555691529895,0.842124846967661,0.441552559663933,0.0898295169159527,0.337408429391627,TRUE,34,61
"N_O-ACETYL-L-SERINE","N_O-ACETYL-L-SERINE",0.270601743861615,0.129079945360257,0.413908549145628,0.337843928107969,0.252168569735834,0.59895469769599,TRUE,34,61
"N_L-Glutamic acid","N_L-Glutamic acid",0.0740861797039543,0.501881656070511,0.770010212053387,-0.513128291011167,0.885798604612106,0.96730727534732,FALSE,34,61
"N_Citramalic acid","N_Citramalic acid",0,NA,NA,0,NA,NA,TRUE,34,61
"N_DL_Alfa_hydroxyglutaric_acid","N_DL_Alfa_hydroxyglutaric_acid",0.361503860383245,0.185617437981366,0.492050959855928,-0.267461859037752,0.0869290254340269,0.331910824384467,FALSE,34,61
"N_citramalic acid","N_citramalic acid",0.036976959743594,0.3616651804741,0.680781516186541,0.223550827393673,1,1,TRUE,34,61
"N_(S,S)-TARTARIC ACID","N_(S,S)-TARTARIC ACID",0.674201072297492,0.103858785341574,0.357913352561731,0.669380277810458,0.261944144674847,0.6081316323607,TRUE,34,61
"N_D-RIBOSE","N_D-RIBOSE",-0.135792875285556,0.221431031747181,0.533339259262027,-0.119240300960168,0.365765674418589,0.708248448394375,TRUE,34,61
"N_Xylose","N_Xylose",-0.20405798662097,0.278812428276232,0.61531018654065,-0.236354482306911,0.386700535062819,0.719640654655802,TRUE,34,61
"N_Paracetamol","N_Paracetamol",0.457861410300509,0.185617437981366,0.492050959855928,-0.319954393811237,0.0618887455679201,0.277598062644457,FALSE,34,61
"N_Xanthine","N_Xanthine",0.564705642911651,0.100599524855385,0.354870764844194,0,NA,NA,FALSE,34,61
"N_4-hydroxyphenylacetic acid","N_4-hydroxyphenylacetic acid",0.42171895469906,0.729740879811717,0.912857832838953,-0.625812468244924,0.000405899828261421,0.0234407150820971,FALSE,34,61
"N_Atranol","N_Atranol",-0.181728338120738,0.616555691529895,0.842124846967661,-0.126518104259741,0.753204547392253,0.908565276488827,TRUE,34,61
"N_(R)-(-)-mandelic acid","N_(R)-(-)-mandelic acid",-0.223329418738217,0.695020903181751,0.899911458454984,-0.237222156571946,0.282272841275796,0.639264964065773,TRUE,34,61
"N_2-Hydroxyphenylacetic acid","N_2-Hydroxyphenylacetic acid",-0.748348807843072,0.0246082563770763,0.157492840813288,-0.390524251345198,0.0173373285119883,0.148330477269233,TRUE,34,61
"N_Ribitol","N_Ribitol",0.193446930525813,0.430706835874038,0.733675522705585,-0.429991221087647,0.0499662867524317,0.250917657387212,FALSE,34,61
"N_5-Chlorobenzotriazole","N_5-Chlorobenzotriazole",-0.396467756518877,0.374053293091401,0.683983164509991,-0.611133313426159,0.444398848496004,0.766090552258037,TRUE,34,61
"N_5-Aminosalicylic?acid","N_5-Aminosalicylic?acid",-1.02122819153021,0.13505806377882,0.414424743650078,-0.409684668151801,0.04730685211794,0.242841840872092,TRUE,34,61
"N_3,4-Dihydroxybenzoic acid","N_3,4-Dihydroxybenzoic acid",0.343213574368516,0.345552939038968,0.664410801242308,-0.564060843037851,0.00329870754036309,0.0635001201519894,FALSE,34,61
"N_ProtocatechicAcid","N_ProtocatechicAcid",-0.0439280182890442,0.879671362382444,0.961201878895939,-0.587427316974551,0.00225144188426177,0.0576478662957135,TRUE,34,61
"N_2_6_dihydroxybenzoic_acid","N_2_6_dihydroxybenzoic_acid",-0.282707213592293,0.753204547392253,0.919135246062164,-0.563333192212333,0.0149404874733792,0.146861813036195,TRUE,34,61
"N_L-Histidine","N_L-Histidine",0.235293357716024,0.60566967596724,0.837469181584331,0.656274339948091,0.292828238447297,0.647304527094025,TRUE,34,61
"N_Histidine","N_Histidine",-0.3649527420326,0.329905763096955,0.656879030521938,0.0777755125238109,0.492045680888391,0.797631945861181,FALSE,34,61
"N_Benzenesulfonic acid","N_Benzenesulfonic acid",1.01182489894842,0.0385517407944007,0.203190351481077,0.192981659182372,0.616555691529895,0.847727684778072,TRUE,34,61
"N_Allantoin","N_Allantoin",-0.211538256303129,0.374053293091401,0.683983164509991,-0.346803310507443,0.430706835874038,0.750892672353983,TRUE,34,61
"N_Pimelic acid","N_Pimelic acid",-1.57799573776819,0.13505806377882,0.414424743650078,0.118750999661852,0.627526672186144,0.847727684778072,FALSE,34,61
"N_6-CARBOXYHEXANOATE","N_6-CARBOXYHEXANOATE",-0.542693870000377,0.198848635704279,0.500472970761332,-0.667698769984195,0.403963836365994,0.731887421180742,TRUE,34,61
"N_3-Methyladipic acid","N_3-Methyladipic acid",-0.0304432867021198,0.48231407406426,0.755192753758582,-0.293657150615502,0.081354936185744,0.324017073429429,TRUE,34,61
"N_L-2-Aminoadipic acid","N_L-2-Aminoadipic acid",0.0995272653771764,0.322256992691108,0.656879030521938,0.262909003007408,0.86133425537221,0.96730727534732,TRUE,34,61
"N_ALPHA-AMINOADIPATE","N_ALPHA-AMINOADIPATE",0.0646175893096377,0.521861540027617,0.778879777282084,0.0471914516262792,0.532002705018567,0.816266557588727,TRUE,34,61
"N_D-TAGATOSE","N_D-TAGATOSE",-0.0674597253437703,0.467914991450869,0.755192753758582,-0.0636332149468011,0.616555691529895,0.847727684778072,TRUE,34,61
"N_ALLOSE","N_ALLOSE",0.0430843858680134,0.891932682463113,0.967520197926089,-0.213883306382144,0.439844439164333,0.761079141924801,FALSE,34,61
"N_Hydroxymethylglutaric acid","N_Hydroxymethylglutaric acid",-0.135303794594183,0.723913308251601,0.908440229962794,-0.18445547956491,0.412765768032357,0.736284883517177,TRUE,34,61
"N_3-HYDROXY-3-METHYLGLUTARATE","N_3-HYDROXY-3-METHYLGLUTARATE",0.525024723948814,0.412765768032357,0.722340094056625,0,NA,NA,FALSE,34,61
"N_Acesulfame","N_Acesulfame",0,NA,NA,-17.4027160296383,0.0255541001915358,0.179318319415477,FALSE,34,61
"N_phenyl pyruvic acid","N_phenyl pyruvic acid",0.480701720117452,0.100599524855385,0.354870764844194,-0.251898959920926,0.0282963020914523,0.184125233327478,FALSE,34,61
"N_P-Coumaric acid","N_P-Coumaric acid",0.468054890238214,0.463168755442603,0.754544008866495,-0.641551184683415,0.0162716435307531,0.148330477269233,FALSE,34,61
"N_Phthalic acid","N_Phthalic acid",-0.227670667644695,0.221431031747181,0.533339259262027,0.00784083977749717,0.81885368453603,0.952922927596085,FALSE,34,61
"N_3-Methylxanthine","N_3-Methylxanthine",-0.372337837338243,0.121431357283459,0.397089401919632,-1.19912141297007,0.154278781179032,0.468926295425741,TRUE,34,61
"N_3-(3-Hydroxyphenyl)propionic acid","N_3-(3-Hydroxyphenyl)propionic",-0.277890661903239,0.236446764524211,0.563447609078971,-0.493343937914126,0.584160265638569,0.847727684778072,TRUE,34,61
"N_3-Phenyllactic acid","N_3-Phenyllactic acid",0.393047002224396,0.0546768135982754,0.249365983291195,0,NA,NA,FALSE,34,61
"N_2,3-Pyridinedicarboxylic acid","N_2,3-Pyridinedicarboxylic aci",-0.471629913856706,0.48231407406426,0.755192753758582,0.0754068327851414,0.922692880079808,0.984251074353759,FALSE,34,61
"N_Quinolinic acid","N_Quinolinic acid",1.50545770732621,0.879671362382444,0.961201878895939,0.490055177232811,0.353551039599802,0.698036667927814,TRUE,34,61
"N_URATE","N_URATE",0.259296927428935,0.193475725267465,0.496466769736095,-0.200772343402733,0.292828238447297,0.647304527094025,FALSE,34,61
"N_Vanillic acid","N_Vanillic acid",0.291863084285445,0.152045709994432,0.444432530962231,-0.832969446777795,0.00112701078027635,0.0473344527716069,FALSE,34,61
"N_furoylglycine","N_furoylglycine",-0.21359782235622,0.563013314262623,0.80057500459864,-0.744350589639911,0.695020903181751,0.877321467950735,TRUE,34,61
"N_Gallic acid","N_Gallic acid",0,NA,NA,-0.743799617155972,0.0105266268874399,0.127511771781338,FALSE,34,61
"N_GallicAcid","N_GallicAcid",0.385612793930431,0.000955484589184682,0.0109758229731984,-1.21685739391076,9.88762155614612e-05,0.0114202028973488,FALSE,34,61
"N_1,4-Cyclohexanedicarboxylic acid","N_1,4-Cyclohexanedicarboxylic ",2.65190345638863,3.79033747865203e-08,1.30620860802778e-06,-0.0442087914468985,0.421680346096957,0.740746463485909,FALSE,34,61
"N_Sulfanilic acid","N_Sulfanilic acid",0.13571490350143,0.42617965041756,0.731526756272288,-0.158751467683743,0.568265293442785,0.844175451995391,FALSE,34,61
"N_4-Hydroxybenzenesulfonic acid","N_4-Hydroxybenzenesulfonic aci",0.469917677388601,0.196148701435913,0.496466769736095,0,NA,NA,FALSE,34,61
"N_cis-Aconitic acid","N_cis-Aconitic acid",0.316157116247666,0.318476350032744,0.656879030521938,0,NA,NA,FALSE,34,61
"N_trans-Aconitic acid","N_trans-Aconitic acid",-0.387381046645764,0.156536686065732,0.446677932213043,-1.03586476896925,0.0271968701682917,0.184125233327478,TRUE,34,61
"N_SUBERIC ACID","N_SUBERIC ACID",0.528997972492782,0.028860234635478,0.170123488377554,-0.332842452625581,0.333773874445948,0.679310704819507,FALSE,34,61
"N_N-Acetylaspartic acid","N_N-Acetylaspartic acid",-0.748357939607502,0.0481797860571843,0.234614610365419,0.408400943719652,0.594870571193552,0.847727684778072,FALSE,34,61
"N_Indolacetic acid","N_Indolacetic acid",-1.05122466382508,0.195960816514711,0.496466769736095,-0.320013642796731,0.221414864715561,0.564716030729362,TRUE,34,61
"N_L-Citrulline","N_L-Citrulline",-0.0344488054378296,0.879671362382444,0.961201878895939,0.383124702226613,0.14549409130994,0.454177501251301,FALSE,34,61
"N_Ascorbic acid","N_Ascorbic acid",0.860927159151931,0.0431392265134245,0.219617880431979,-0.268244108516825,0.885798604612106,0.96730727534732,FALSE,34,61
"N_2-Isopropylmalic acid","N_2-Isopropylmalic acid",0,NA,NA,0,NA,NA,TRUE,34,61
"N_N-Formyl-L-Methionine","N_N-Formyl-L-Methionine",0.298057475211781,0.700765652733258,0.904734906122477,-0.0821357295872467,0.537110462136305,0.816266557588727,FALSE,34,61
"N_6,7-Dihydroxycoumarin","N_6,7-Dihydroxycoumarin",0.568280022283094,0.824874000467763,0.947562395784591,-0.118745654894575,0.594870571193552,0.847727684778072,FALSE,34,61
"N_HIPPURATE","N_HIPPURATE",0,NA,NA,0,NA,NA,TRUE,34,61
"N_Cyclamate","N_Cyclamate",-0.0997798336281441,0.245794540598998,0.567608011280161,-0.252952075609219,0.329905763096955,0.679310704819507,TRUE,34,61
"N_Caffeic acid","N_Caffeic acid",0.699519860532583,0.131049378286665,0.413908549145628,-0.0528388715268058,0.622030685038432,0.847727684778072,FALSE,34,61
"N_3 hydroxy_Phenyl_PyruvicAcid","N_3 hydroxy_Phenyl_PyruvicAcid",-0.167137560767298,0.830942569480214,0.952077419762496,-0.705415316489916,0.0423440513866339,0.227476183030521,TRUE,34,61
"N_D-Galactose","N_D-Galactose",0,NA,NA,-0.684606194340141,0.0760744888292659,0.319141574847633,FALSE,34,61
"N_Acamprosate","N_Acamprosate",-0.095132898554894,0.770954491698175,0.922945339191662,-0.183589953388427,0.268604867495781,0.620477243915254,TRUE,34,61
"N_L-Tyrosine","N_L-Tyrosine",0.164902318220573,0.42617965041756,0.731526756272288,0.188081530934515,0.477487790474974,0.795304029659408,TRUE,34,61
"N_Homovanillic acid","N_Homovanillic acid",0.0033149781857631,0.978322694487148,0.989364711354949,0,NA,NA,FALSE,34,61
"N_4-Hydroxyphenyllactic acid","N_4-Hydroxyphenyllactic acid",0.239155374316802,0.444454641520105,0.748555185718071,0.195573154857296,0.233387432299285,0.570502612287142,TRUE,34,61
"N_3_24_dihydroxyphenyl_propionic_acid","N_3_24_dihydroxyphenyl_propion",0.300389385132704,0.36989506097167,0.683983164509991,-0.620905623534167,0.00321703006686844,0.0635001201519894,FALSE,34,61
"N_Dulcitol","N_Dulcitol",0,NA,NA,-0.477244614014257,0.097422304784215,0.351633631330526,FALSE,34,61
