"from","to","r","p","fdr"
"Bacteroides_D_sp013333195","Enterobacter_hormaechei_A",0.466755319148936,1.862259700074e-06,0.455253049974316
"Bacteroides_D_sp013333195","Alistipes_onderdonkii",0.45540313549832,3.53456682753841e-06,0.455253049974316
"Fusobacterium_periodonticum_D","Limnobacter_humi",0.44290313549832,6.97351408423891e-06,0.455253049974316
"Streptococcus_pseudopneumoniae_G","JABCPE02_sp013333255",-0.440481522956327,7.93030451568124e-06,0.455253049974316
"Fusobacterium_periodonticum_D","Halalkalicoccus_subterraneus",0.440439529675252,7.94793662012025e-06,0.455253049974316
"Bacteroides_D_sp013333195","Bacteroides_uniformis",0.438549832026876,8.78064019313619e-06,0.455253049974316
"Peptostreptococcus_sp900759325","Halalkalicoccus_sp022561895",0.431312989921613,1.27900679365428e-05,0.455253049974316
"Bacteroides_D_sp013333195","Neisseria_mucosa_A",0.431256998880179,1.28269130091379e-05,0.455253049974316
"Bacteroides_D_sp013333195","Haemophilus_seminalis",0.430137178051512,1.35850653184021e-05,0.455253049974316
"Capnocytophaga_periodontitidis","Prevotella_shahii",-0.429241321388578,1.42216478406461e-05,0.455253049974316
"Bacteroides_D_sp013333195","PWLR01_sp020832455",0.428401455767077,1.48437626187017e-05,0.455253049974316
"Alloprevotella_tannerae_A","Finegoldia_magna_H",0.427967525195969,1.51751016658105e-05,0.455253049974316
"Bacteroides_D_sp013333195","Burkholderia_contaminans",0.421178611422172,2.13515729514048e-05,0.49383240592084
"Haemophilus_D_parainfluenzae_K","Cutibacterium_acnes",-0.419694848824188,2.29836599280378e-05,0.49383240592084
"Bifidobacterium_longum","Anaeroglobus_micronuciformis",-0.418631019036954,2.42249302850518e-05,0.49383240592084
"CAJPSE01_sp905373185","Atopobium_deltae",0.41790313549832,2.51100675742854e-05,0.49383240592084
"Treponema_D_paredis","Halodesulfurarchaeum_formicicum",0.416433370660694,2.69903728714288e-05,0.49383240592084
"Bacteroides_D_sp013333195","JAKARV01_sp021784675",0.414809630459127,2.92203770040991e-05,0.49383240592084
"Haemophilus_D_sp900764435","Cutibacterium_acnes",-0.414487681970885,2.96825144890437e-05,0.49383240592084
"Treponema_D_paredis","Rothia_sp001808955",0.412527995520717,3.26462045989605e-05,0.49383240592084
"Bacteroides_D_sp013333195","BOG_935_sp003165275",0.412024076147816,3.34517960265033e-05,0.49383240592084
"Haemophilus_quentini","Acinetobacter_junii",0.411674132138858,3.40221210185868e-05,0.49383240592084
"Treponema_D_paredis","Corynebacterium_gottingense",0.411100223964166,3.49771586966315e-05,0.49383240592084
"Streptococcus_pneumoniae","Prevotella_corporis",0.410456326987682,3.60784479434929e-05,0.49383240592084
"Fusobacterium_periodonticum_D","Halomonas_montanilacus",0.41038633818589,3.62000851539893e-05,0.49383240592084
"Bacteroides_D_sp013333195","Rothia_sp001808955",0.410344344904815,3.62732512099782e-05,0.49383240592084
"Nanogingivalis_sp013333405","Pauljensenia_sp000466265",0.409910414333707,3.7037430444063e-05,0.49383240592084
"Streptococcus_mitis_AH","Ralstonia_pickettii_B",-0.40743281075028,4.16965263011669e-05,0.498020914466436
"Treponema_C_sp905372025","Klebsiella_aerogenes",0.406872900335946,4.2822596244064e-05,0.498020914466436
"Streptococcus_mitis_BW","Puia_sp001898505",-0.406872900335946,4.2822596244064e-05,0.498020914466436
"Alloprevotella_tannerae_A","Xanthomonas_campestris",0.406145016797312,4.43289323077062e-05,0.498020914466436
"Streptococcus_mitis_BI","Prevotella_shahii",-0.405865061590146,4.49213441508526e-05,0.498020914466436
