species,category
Eikenella_corrodens,shared
Eikenella_corrodens_B,shared
Eikenella_exigua,shared
Eikenella_halliae,shared
Enterobacter_cloacae,shared
Enterobacter_ludwigii,shared
Enterobacter_roggenkampii,shared
Enterococcus_faecalis,shared
Escherichia_coli,shared
Eubacterium_B_infirmum,shared
Eubacterium_B_sulci,shared
Eubacterium_N_saphenum,shared
F0058_sp000163695,shared
F0058_sp905372135,shared
F0058_sp905372605,shared
F0422_sp001553345,shared
F0422_sp003992005,shared
F0422_sp003992015,shared
F0422_sp003992055,shared
F0422_sp003992135,shared
F0422_sp003999875,shared
F0422_sp900544365,shared
F0422_sp900766245,shared
F0428_sp003043955,shared
Fannyhessea_vaginae,shared
Fenollaria_massiliensis,shared
Filifactor_alocis,shared
Flexilinea_sp001717545,shared
Fretibacterium_fastidiosum,shared
Fusobacterium_C_necrophorum,shared
Fusobacterium_animalis,shared
Fusobacterium_hwasookii,shared
Fusobacterium_massiliense,shared
Fusobacterium_nucleatum,shared
Fusobacterium_nucleatum_J,shared
Fusobacterium_periodonticum,shared
Fusobacterium_polymorphum,shared
Fusobacterium_pseudoperiodonticum,shared
Fusobacterium_sp000235465,shared
Fusobacterium_vincentii,shared
Gemella_haemolysans_A,shared
Gemella_haemolysans_B,shared
Gemella_massiliensis,shared
Gemella_morbillorum,shared
Gemella_sanguinis,shared
Gemella_sp002871655,shared
Gemella_sp900555985,shared
Gemella_sp900766305,shared
Granulicatella_adiacens,shared
Granulicatella_adiacens_A,shared
Granulicatella_elegans,shared
Granulicatella_sp001058355,shared
Granulicatella_sp001071995,shared
Granulicatella_sp900551535,shared
Granulicatella_sp905371865,shared
Haemophilus_A_parahaemolyticus,shared
Haemophilus_A_parahaemolyticus_A,shared
Haemophilus_A_paraphrohaemolyticus,shared
Haemophilus_A_sputorum,shared
Haemophilus_D_parainfluenzae,shared
Haemophilus_D_parainfluenzae_J,shared
Haemophilus_D_parainfluenzae_K,shared
Haemophilus_D_parainfluenzae_L,shared
Haemophilus_D_parainfluenzae_M,shared
Haemophilus_D_parainfluenzae_N,shared
Haemophilus_D_pittmaniae,shared
Haemophilus_D_sp001815355,shared
Haemophilus_D_sp900756155,shared
Haemophilus_D_sp900756875,shared
Haemophilus_D_sp905215245,shared
Haemophilus_aegyptius,shared
Haemophilus_haemolyticus,shared
Haemophilus_seminalis,shared
Haemophilus_sp001276515,shared
Hafnia_paralvei,shared
Hornefia_minuta,shared
Hornefia_nodata,shared
JABCPE02_sp013333255,shared
JABCPE02_sp013333875,shared
JABCPH02_sp013333235,shared
JABCPO02_sp013333105,shared
JABZIP01_sp015258265,shared
Johnsonella_ignava,shared
Johnsonella_sp900766185,shared
Johnsonella_sp905373785,shared
Jonquetella_anthropi,shared
Kingella_A_denitrificans,shared
Kingella_B_oralis,shared
Kingella_B_oralis_A,shared
Kingella_kingae,shared
